match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
england_switzerland,0,0,0,"Daniele Orsato will referee today's match.",general,General,Orsato,Both,44
england_switzerland,0,0,0,"England will kick-off.",general,Kick Off,,England,22
england_switzerland,1,0,1,"The first half of this match is about to start.",key_event,Kick Off,,Both,46
england_switzerland,3,0,3,"Breel Embolo (Switzerland) looks to break free, but an opposing player clears the ball away.",general,General,Embolo,Switzerland,93
england_switzerland,4,0,4,"Good movement by Bukayo Saka (England), but he can't find any of his teammates as the cross is poor.",general,General,Saka,England,107
england_switzerland,5,0,5,"Remo Freuler (Switzerland) nearly creates a chance, but his attempt to pick out a teammate with a through ball does not come off.",general,General,Freuler,Switzerland,130
england_switzerland,7,0,7,"Bukayo Saka (England) is caught offside!",general,Offside,Saka,England,39
england_switzerland,8,0,8,"Dan Ndoye (Switzerland) passes the ball from the edge of the box in order to find his teammate, who is in a good scoring position, but the defender blocks the pass and spanks the ball to safety.",general,General,Ndoye,Switzerland,189
england_switzerland,9,0,9,"Fabian Rieder (Switzerland) fails to find any of his teammates inside the box as his pass is blocked.",general,General,Rieder,Switzerland,105
england_switzerland,11,0,11,"Breel Embolo (Switzerland) races towards goal but the defender gets back well to make a challenge.",general,General,Embolo,Switzerland,98
england_switzerland,13,0,13,"England are playing possession football and controlling the game at present. They are exchanging inch-perfect passes from player to player, making it difficult for the opposition to win the ball.",general,General,,England,199
england_switzerland,14,0,14,"Declan Rice (England) strikes the ball towards goal, but it fails to reach the target after being well blocked by one of the defenders.",key_event,Shot,Rice,England,138
england_switzerland,15,0,15,"The linesman raises his flag for offside before Kieran Trippier (England) heads on.",general,Offside,Trippier,England,83
england_switzerland,16,0,16,"Kobbie Mainoo (England) volleys the ball towards goal from the edge of the penalty box, but one of the defenders blocks his shot.",key_event,Shot,Mainoo,England,130
england_switzerland,17,0,17,"Harry Kane (England) goes down in the box after a challenge from the defender. Possibly unsighted, the referee just waves play on.",general,Penalty Appeal,Kane,England,133
england_switzerland,18,0,18,"Kobbie Mainoo (England) goes on a solo run, but he fails to create a chance as an opposition player blocks him.",general,General,Mainoo,England,116
england_switzerland,18,0,18,"Declan Rice (England) commits a rough challenge and Daniele Orsato blows his whistle for a foul.",general,General,Rice,England,98
england_switzerland,19,0,19,"The referee blows his whistle as Remo Freuler (Switzerland) was too aggressive in his challenge.",general,General,Freuler,Switzerland,100
england_switzerland,21,0,21,"Bukayo Saka (England) sends a sweet pass into the penalty area, but one of the defenders averts the danger. The ball goes out of play. England are awarded a corner kick.",general,Corner,Saka,England,163
