match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
poland_netherlands,0,0,0,"Artur Soares Dias will officiate today.",general,General,Soares Dias,Both,44
poland_netherlands,0,0,0,"The players are on the pitch and Poland will have the kick-off.",general,Kick Off,,Poland,66
poland_netherlands,1,0,1,"The first half has just begun.",key_event,Kick Off,,Both,33
poland_netherlands,2,0,2,"CHANCE! Cody Gakpo (Netherlands) goes very close! He gathers a cross inside the box and fires a low shot to the bottom left corner, but Wojciech Szczesny produces an excellent save. The ball goes behind for a corner. Netherlands will have an opportunity to threaten the opposition's goal.",key_event,Save,"Gakpo, Szczesny",Netherlands,305
poland_netherlands,3,0,3,"Joey Veerman (Netherlands) puts a cross into the box from the corner but there is no panic from the opposition and they easily clear.",general,Corner,Veerman,Netherlands,138
poland_netherlands,4,0,4,"Memphis Depay (Netherlands) slips through the defence and passes the ball in from the edge of the box. Cody Gakpo picks it up but loses it to one of the defenders.",general,General,"Depay, Gakpo",Netherlands,174
poland_netherlands,6,0,6,"Cody Gakpo receives a sweet cross inside the box from Denzel Dumfries (Netherlands), but one of the defenders rushes in bravely to intercept the ball.",general,General,"Gakpo, Dumfries",Netherlands,165
poland_netherlands,8,0,8,"Artur Soares Dias blows the whistle, Przemyslaw Frankowski (Poland) is penalised for a foul.",general,General,Frankowski,Poland,103
poland_netherlands,8,0,8,"Cody Gakpo (Netherlands) tries to pass the ball into the penalty area but it's blocked. It will be a corner kick for Netherlands.",general,Corner,Gakpo,Netherlands,134
poland_netherlands,9,0,9,"Joey Veerman (Netherlands) sends in the corner, but fails to find the head of any of his teammates, allowing the defence to clear.",general,Corner,Veerman,Netherlands,146
poland_netherlands,10,0,10,"What a big chance! Tijjani Reijnders (Netherlands) picks up an inch-perfect pass inside the box and fires the ball a whisker wide of the right post.",key_event,Shot,Reijnders,Netherlands,160
poland_netherlands,10,0,10,"Adam Buksa (Poland) receives a sweet pass inside the box, but his effort on goal is blocked by the defender.",general,General,Buksa,Poland,123
poland_netherlands,13,0,13,"Kacper Urbanski (Poland) is adjudged offside.",general,Offside,Urbanski,Poland,48
poland_netherlands,14,0,14,"An accurate pass to the edge of the box is well taken by Xavi Simons (Netherlands), whose instinctive shot towards goal flashes inches wide of the left post.",general,General,Simons,Netherlands,172
poland_netherlands,15,0,15,"Joey Veerman (Netherlands) can't expect anything else than a yellow card for his hard tackle. And a yellow it is. Artur Soares Dias didn't think twice about pulling it out of his pocket.",key_event,Yellow Card,Veerman,Netherlands,193
