match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
portugal_france,1,0,1,"KICKOFF:  We're off. France get us started. Let's hope for an absolute cracker here.",key_event,Kick Off,,France,94
portugal_france,3,0,3,"Decent start from France here. The Blues are on the front foot, with Portugal having to sit deep in the early exchanges. Griezmann is playing as the 10, as expected.",general,General,Griezmann,France,161
portugal_france,5,0,5,"Little bit of possession from Portugal in the last couple of minutes. Martinez's side will be looking to settle into this contest. Ronaldo has an early touch and zips a pass into the feet of Mendes, who advances down the left. It is worked into the France box, but the Blues stand strong and manage to force Portugal back.",general,General,"Ronaldo, Mendes, Martinez",Portugal,302
portugal_france,7,0,7,"France came out quickly, but Portugal have been on top in the last few minutes, working the ball from side to side in a bid to create space. France are sitting deep at the moment.",general,General,,Both,173
portugal_france,9,0,9,"Leao and Mendes have been bright for Portugal in the early moments, and they again combine down the left, but France clear the danger. Portugal are the team dominating the ball at this moment in time.",general,General,"Leao, Mendes",Portugal,187
portugal_france,11,0,11,"Not too much from either Ronaldo or Mbappe thus far. Ronaldo has shown some nice touches, though, with the 39-year-old combining with teammates in dangerous positions. Portugal have just had a corner courtesy of a deflected Fernandes free kick, but France deal with the danger. Yet to really take off this game.",general,Corner,"Ronaldo, Mbappe, Fernandes",Both,306
portugal_france,12,0,12,"Leao releases Mendes with a brilliant flick down the France right, but the left-back's cross does not find a teammate.",general,General,"Leao, Mendes",Portugal,117
portugal_france,14,0,14,"Not too much happening at the moment in all honesty. I gave this one the big build-up, but it is yet to produce.",general,General,,Both,116
portugal_france,15,0,15,An error from Maignan leads to Portugal having a corner. Will it be costly?,general,Corner,Maignan,Portugal,81
portugal_france,16,0,16,The answer? No. Comfortable claim for the France goalkeeper.,general,General,,France,60
portugal_france,17,0,17,SHOT!  Fernandes hits one from distance, and the ball deflects wide of the post.,key_event,Shot,Fernandes,Portugal,84
portugal_france,18,0,18,"Kolo Muani heads the Portugal corner clear. Cancelo against Mbappe is a very interesting battle in this match. Cancelo has just got the better of the France captain. Both players are absolutely lightening it must be said.",general,Corner,"Kolo Muani, Cancelo, Mbappe",Both,213
portugal_france,20,0,20,SAVE!  Smart save from Costa to keep out a long-range effort from Hernandez!,key_event,Save,"Costa, Hernandez",France,80
portugal_france,22,0,22,"A bit better from France, but Portugal are back in control of the possession. No real chances for either side in the opening 22 minutes, but Portugal have been the superior outfit. Nothing from Mbappe yet tonight, famous last words.",general,General,Mbappe,Both,217
portugal_france,22,0,22,"And just like that, Mbappe bursts into life. He is down the left and delivers into the Portugal box, Costa palms it clear, and Portugal manage to clear their lines. First sign of Mbappe here.",general,General,"Mbappe, Costa",France,183
portugal_france,24,0,24,"Camavinga attempts to chip one into Hernandez inside the Portugal box, but he gets it wrong, and the ball goes behind for a goal kick. Still level with 24 played here.",general,General,"Camavinga, Hernandez",France,158
portugal_france,26,0,26,"France have the opportunity to threaten from a wide area, with Griezmann standing over a free kick, but his delivery is headed clear by Ronaldo.",general,Free Kick,"Griezmann, Ronaldo",France,145
portugal_france,28,0,28,"I cannot speak from personal experience, but that mask must be really difficult to play in. It simply must have an impact on Mbappe's performances. Just the one piece of strong work from the Real Madrid attacker in the opening 28 minutes. Leao, though, has been very impressive for Portugal down the other end, with the forward just having a low cross cleared behind for another corner.",general,Corner,"Mbappe, Leao",Both,346
portugal_france,28,0,28,The corner was Portugal's fifth, but France deal with it through Saliba.,general,Corner,Saliba,France,71
portugal_france,29,0,29,"SHOT!  Mbappe just burst clear of Mendes, with France on the front foot, but Griezmann has a shot blocked by his own teammate before Hernandez hits one over from distance. Still goalless with little over 15 minutes of the first period remaining here.",key_event,Shot,"Mbappe, Mendes, Griezmann, Hernandez",France,236
portugal_france,30,0,30,"Pass, pass, pass from Portugal. Leao is the one causing France problems - he just delivered another low cross into the France box, but Maignan is on hand to collect.",general,General,"Leao, Maignan",Portugal,163
portugal_france,32,0,32,"Pepe has just shown all of his experience to clear ahead of Griezmann, with France looking threatening. Portugal are then quickly down the other end and win a free kick.",general,Free Kick,"Pepe, Griezmann",Both,159
portugal_france,34,0,34,"Camavinga delivers a dangerous cross into Griezmann, but Fernandes is across to make the clearance. Good spell of possession for France in Portugal's half of the field.",general,General,"Camavinga, Griezmann, Fernandes",France,162
portugal_france,35,0,35,France's first corner of the match is played short, and Portugal deal with it.,general,Corner,,Both,76
portugal_france,36,0,36,"I hope I'm wrong, as I want to see some goals, but I can easily see this match being 0-0 and going all the way to penalties. It is so tight at the moment.",general,General,,Both,155
portugal_france,37,0,37,Saliba has been excellent in the middle of the France defence tonight. He was probably the best centre-back in the Premier League last season.,general,General,Saliba,France,140
portugal_france,39,0,39,"Little over five minutes of the first period remaining, and we are goalless here. There has not been any serious chances for either side, just half-chances at absolute best. It is the match that I thought it would be. Nothing to choose between them.",general,General,,Both,234
portugal_france,41,0,41,"It will be very interesting to see how Martinez uses Ronaldo tonight. Will he face a tough decision in the second period? Jota through the middle might work better for Portugal in this match, as Ronaldo has just not been in the contest so far.",general,General,"Martinez, Ronaldo, Jota",Portugal,239
portugal_france,42,0,42,Free kick for Portugal in a dangerous area as Kolo Muani fouls Vitinha...,general,Free Kick,"Kolo Muani, Vitinha",Portugal,76
portugal_france,42,0,42,SHOT!  ... Fernandes curls his free kick over the crossbar.,key_event,Shot,Fernandes,Portugal,59
portugal_france,43,0,43,"Ronaldo was standing behind Fernandes, but the Manchester United captain took the effort. It was decent, but Maignan was not overly concerned between the France sticks.",general,Shot,"Ronaldo, Fernandes, Maignan",Portugal,165
portugal_france,45,0,45,"Not long left to play in the first period here, and we are all square.",general,General,,Both,75
portugal_france,45,1,45+1,HALF TIME:  PORTUGAL 0-0 FRANCE,key_event,Half Time,,Both,33
portugal_france,46,0,46,KICKOFF:  Portugal get the second period underway here.,key_event,Kick Off,,Portugal,56
portugal_france,50,0,50,"Vitinha has just burst clear for Portugal, but Camavinga is across to make a brilliant challenge. Excellent work from the Real Madrid midfielder, but the signs are positive - the tempo of the match is better at the start of the second period.",general,General,"Vitinha, Camavinga",Portugal,228
portugal_france,51,0,51,"SAVE!  Portugal goalkeeper Costa keeps out an effort from Mbappe, with the France captain taking his shot early. Relatively comfortable save for the stopper, though.",key_event,Save,"Costa, Mbappe",France,164
portugal_france,51,0,51,"PENALTY APPEAL!  Mendes goes down inside the France box, and looks at the referee, but Michael Oliver is not interested. It was a dive from the left-back. No contact from Upamecano.",key_event,Penalty Appeal,"Mendes, Upamecano",Portugal,176
portugal_france,52,0,52,"Better from France as Hernandez gets forward and delivers a dangerous low cross into the Portugal box, but there are no takers in a blue shirt!",general,General,Hernandez,France,139
portugal_france,55,0,55,"Mbappe is down holding his face, and his mask is off.",general,General,Mbappe,France,54
portugal_france,56,0,56,"Mbappe is clearly in a lot of pain here, holding his nose. Replays have shown that a header from Bernardo hit him in the face. The play has been stopped here.",general,General,"Mbappe, Bernardo",France,158
portugal_france,57,0,57,"Mbappe is going to be fine here. His mask is off for now, but it will soon be back on, and the play will continue. Little over 30 minutes of normal time remaining here.",general,General,Mbappe,France,160
portugal_france,58,0,58,"We are back underway. Mbappe has his mask back on. Little over 30 minutes of normal time remaining here, and the score is still level.",general,General,Mbappe,Both,137
portugal_france,60,0,60,"Which manager will blink first in terms of substitutes? There is so much talent on both benches. Leao has just broken into the France box, but Camavinga is across to make an excellent challenge.",general,General,"Leao, Camavinga",Both,190
portugal_france,61,0,61,"SAVE!  Best moment of the match so far! Fernandes breaks into the France box, and his low strike is saved by goalkeeper Maignan! This is more like it.",key_event,Save,"Fernandes, Maignan",Portugal,153
portugal_france,61,0,61,SHOT!  Cancelo fires wide of the post moments after the Fernandes chance.,key_event,Shot,Cancelo,Portugal,70
