match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
spain_england,0,0,0,"First Half begins.",key_event,Kick Off,,Both,19
spain_england,5,0,5,"Corner, Spain. Conceded by John Stones.",general,Corner,Stones,Spain,42
spain_england,10,0,10,"Foul by Rodri (Spain).",general,Foul,Rodri,Spain,23
spain_england,10,0,10,"Jude Bellingham (England) wins a free kick on the left wing.",general,Free Kick,Bellingham,England,62
spain_england,11,0,11,"Aymeric Laporte (Spain) wins a free kick in the defensive half.",general,Free Kick,Laporte,Spain,63
spain_england,11,0,11,"Foul by Marc Guéhi (England).",general,Foul,Guéhi,England,29
spain_england,12,0,12,"Attempt blocked. Nico Williams (Spain) left footed shot from a difficult angle on the left is blocked.",general,General,Williams,Spain,104
spain_england,12,0,12,"Corner, Spain. Conceded by John Stones.",general,Corner,Stones,Spain,42
spain_england,13,0,13,"Attempt missed. Robin Le Normand (Spain) right footed shot from the centre of the box misses to the left. Assisted by Rodri with a headed pass following a corner.",general,Corner,"Le Normand, Rodri",Spain,148
spain_england,15,0,15,"Corner, England. Conceded by Aymeric Laporte.",general,Corner,Laporte,England,48
spain_england,17,0,17,"Attempt blocked. Declan Rice (England) right footed shot from outside the box is blocked. Assisted by Bukayo Saka.",general,General,"Rice, Saka",England,126
spain_england,22,0,22,"Foul by Marc Cucurella (Spain).",general,Foul,Cucurella,Spain,33
spain_england,22,0,22,"Phil Foden (England) wins a free kick in the defensive half.",general,Free Kick,Foden,England,61
spain_england,23,0,23,"Corner, Spain. Conceded by Marc Guéhi.",general,Corner,Guéhi,Spain,42
spain_england,24,0,24,"Bukayo Saka (England) wins a free kick in the defensive half.",general,Free Kick,Saka,England,61
spain_england,24,0,24,"Foul by Dani Carvajal (Spain).",general,Foul,Carvajal,Spain,31
spain_england,25,0,25,"Fabián Ruiz (Spain) wins a free kick in the defensive half.",general,Free Kick,Ruiz,Spain,60
spain_england,25,0,25,"Foul by Harry Kane (England).",general,Foul,Kane,England,29
spain_england,25,0,25,"Harry Kane (England) is shown the yellow card for a bad foul.",key_event,Yellow Card,Kane,England,63
spain_england,26,0,26,"Delay in match because of an injury Fabián Ruiz (Spain).",general,Injury,Ruiz,Spain,58
spain_england,27,0,27,"Delay over. They are ready to continue.",general,General,,Both,42
spain_england,28,0,28,"Attempt saved. Fabián Ruiz (Spain) right footed shot from the right side of the box is saved in the centre of the goal. Assisted by Dani Carvajal.",general,General,"Ruiz, Carvajal",Spain,142
spain_england,30,0,30,"Declan Rice (England) wins a free kick in the defensive half.",general,Free Kick,Rice,England,61
spain_england,30,0,30,"Foul by Dani Olmo (Spain).",general,Foul,Olmo,Spain,27
spain_england,31,0,31,"Dani Olmo (Spain) is shown the yellow card for a bad foul.",key_event,Yellow Card,Olmo,Spain,58
spain_england,31,0,31,"Delay in match because of an injury Declan Rice (England).",general,Injury,Rice,England,59
spain_england,32,0,32,"Delay over. They are ready to continue.",general,General,,Both,42
spain_england,32,0,32,"Foul by Rodri (Spain).",general,Foul,Rodri,Spain,23
spain_england,32,0,32,"Jude Bellingham (England) wins a free kick in the defensive half.",general,Free Kick,Bellingham,England,65
spain_england,33,0,33,"Delay in match because of an injury Phil Foden (England).",general,Injury,Foden,England,58
spain_england,33,0,33,"Delay over. They are ready to continue.",general,General,,Both,42
spain_england,34,0,34,"Corner, Spain. Conceded by Luke Shaw.",general,Corner,Shaw,Spain,41
spain_england,35,0,35,"Corner, Spain. Conceded by Marc Guéhi.",general,Corner,Guéhi,Spain,42
spain_england,35,0,35,"Attempt blocked. Dani Olmo (Spain) right footed shot from outside the box is blocked. Assisted by Lamine Yamal.",general,General,"Olmo, Yamal",Spain,120
spain_england,43,0,43,"Attempt blocked. Álvaro Morata (Spain) right footed shot from the centre of the box is blocked.",general,General,Morata,Spain,95
spain_england,43,0,43,"Corner, Spain. Conceded by John Stones.",general,Corner,Stones,Spain,42
spain_england,45,0,45,"Foul by Nico Williams (Spain).",general,Foul,Williams,Spain,31
spain_england,45,0,45,"Kyle Walker (England) wins a free kick on the right wing.",general,Free Kick,Walker,England,58
spain_england,45,0,45,"Attempt blocked. Harry Kane (England) right footed shot from the centre of the box is blocked. Assisted by Jude Bellingham.",general,General,"Kane, Bellingham",England,127
spain_england,45,1,45+1,"Attempt saved. Phil Foden (England) left footed shot from a difficult angle on the left is saved in the bottom left corner.",general,General,Foden,England,123
spain_england,45,2,45+2,"First Half ends, Spain 0, England 0.",general,Half Time,,Both,40
