match_id,minute,period,home_team,away_team,home_score,away_score,stage,detected_type,player,team,llm_commentary,model,agent_model,momentum_used,chain_used,generated_at
3930158,0,1,Germany,Scotland,0,0,Group Stage,Kick Off,,Germany,"[Kick Off] The Group Stage match is underway! Germany versus Scotland, both teams looking to make their mark.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:17:59.277762
3930158,1,1,Germany,Scotland,0,0,Group Stage,Free Kick,Angus Gunn,Scotland,[Foul] Foul by Germany on Angus Gunn. Free kick awarded to Scotland in their defensive half.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:18:01.178905
3930158,2,1,Germany,Scotland,0,0,Group Stage,Foul,Maximilian Mittelstädt,Germany,[Foul] Foul by John McGinn (Scotland) on Maximilian Mittelstädt (Germany) in the defensive half.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:18:03.363434
3930158,3,1,Germany,Scotland,0,0,Group Stage,Free Kick,Maximilian Mittelstädt,Germany,[Foul] Free kick awarded to Germany after a foul by Scotland on Maximilian Mittelstädt in the defensive half.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:18:05.419828
3930158,4,1,Germany,Scotland,0,0,Group Stage,General,Antonio Rüdiger,Germany,"[General] Germany holds 56% possession, controlling the midfield early on. Rüdiger active with 8 touches.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:18:11.136214
3930158,5,1,Germany,Scotland,0,0,Group Stage,General,Manuel Neuer,Germany,"[General] Scotland dominating midfield early on, holding 73% possession against Germany.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:18:14.385175
3930158,6,1,Germany,Scotland,0,0,Group Stage,General,İlkay Gündoğan,Germany,"[General] Germany dominating possession early, controlling midfield with 100% possession. Kimmich influential with 10 touches.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:18:18.043928
3930158,7,1,Germany,Scotland,0,0,Group Stage,General,Maximilian Mittelstädt,Germany,"[General] Germany in control, dominating midfield for the last 2 minutes with 85% possession. Toni Kroos leading the charge.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:18:21.784855
3930158,8,1,Germany,Scotland,0,0,Group Stage,General,Toni Kroos,Germany,"[General] Germany in control, dominating midfield for the last 3 minutes. Toni Kroos leading the charge with 17 touches.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:18:25.561040
3930158,9,1,Germany,Scotland,1,0,Group Stage,Goal,Florian Wirtz,Germany,"[Goal] Goal! Germany 1, Scotland 0. Florian Wirtz scores with a right-footed shot from the edge of the box, assisted by Joshua Kimmich.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:18:27.171452
3930158,11,1,Germany,Scotland,1,0,Group Stage,General,Florian Wirtz,Germany,"[General] Scotland dominating the midfield early, with Tierney leading the charge.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:18:30.226150
3930158,12,1,Germany,Scotland,1,0,Group Stage,General,Robert Andrich,Germany,"[General] Germany dominating midfield with 78% possession, Tah leading the charge.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:18:33.445537
3930158,13,1,Germany,Scotland,1,0,Group Stage,Foul,Ryan Christie,Scotland,[Foul] Foul by Robert Andrich (Germany) on Ryan Christie (Scotland) in the defensive half.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:18:35.324204
3930158,14,1,Germany,Scotland,1,0,Group Stage,Free Kick,Kieran Tierney,Scotland,[Foul] Free kick awarded to Scotland after a foul by Germany on Kieran Tierney.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:18:36.548181
3930158,15,1,Germany,Scotland,1,0,Group Stage,General,Toni Kroos,Germany,"[General] A balanced contest so far, Germany and Scotland exchanging possession in midfield.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:18:39.004406
3930158,16,1,Germany,Scotland,1,0,Group Stage,General,Ryan Porteous,Scotland,"[General] Germany dominating possession with 77%, mostly in their defensive third.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:18:42.264225
