match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
hungary_switzerland,0,0,0,"The referee of today's match will be Slavko Vincic.",general,General,Vincic,Both,54
hungary_switzerland,0,0,0,"The players are on the pitch and Hungary will have the kick-off.",general,Kick Off,,Hungary,67
hungary_switzerland,1,0,1,"The referee blows his whistle and we are underway.",key_event,Kick Off,Vincic,Both,51
hungary_switzerland,1,0,1,"Remo Freuler (Switzerland) commits a rough foul. Slavko Vincic stops the game and makes a call. Hungary are given an advantage. They have a free kick.",general,Free Kick,Freuler,Switzerland,161
hungary_switzerland,2,0,2,"It seemed like Dominik Szoboszlai (Hungary) was going to take a quick free kick, but instead he is going to send the ball inside the penalty box for his teammates.",general,Free Kick,Szoboszlai,Hungary,171
hungary_switzerland,2,0,2,"The linesman raises his flag. Michel Aebischer (Switzerland) is adjudged offside.",general,Offside,Aebischer,Switzerland,84
hungary_switzerland,5,0,5,"Today's referee Slavko Vincic rightly decides to book Silvan Widmer (Switzerland) for his harsh tackle.",key_event,Yellow Card,Widmer,Switzerland,112
hungary_switzerland,6,0,6,"Michel Aebischer (Switzerland) did his best to latch on to a crossfield pass, but it was too long and it goes out of play.",general,General,Aebischer,Switzerland,135
hungary_switzerland,7,0,7,"Milos Kerkez (Hungary) passes the ball from the edge of the box in order to find his teammate, who is in a good scoring position, but the defender blocks the pass and spanks the ball to safety.",general,General,Kerkez,Hungary,204
hungary_switzerland,10,0,10,"Roland Sallai (Hungary) makes some space for himself and from mid-range let's fly with a wild effort which goes high over the crossbar.",general,General,Sallai,Hungary,145
hungary_switzerland,12,0,12,"Gooal! No wait, it's been ruled out for offside. Kwadwo Duah (Switzerland) disagrees, but the linesman is sure about his call.",key_event,VAR,Duah,Switzerland,148
hungary_switzerland,13,0,13,"The Switzerland players joy may have been justified, because referee Slavko Vincic is going use VAR to determine whether it was offside.",key_event,VAR,Vincic,Switzerland,155
hungary_switzerland,13,0,13,"Here comes the VAR decision. The goal is given and Switzerland players have a reason to celebrate!",key_event,Goal,Duah,Switzerland,107
hungary_switzerland,15,0,15,"Barnabas Varga (Hungary) makes a rough challenge and Slavko Vincic blows his whistle for a foul. Switzerland are awarded the free kick.",general,Free Kick,Varga,Hungary,140
hungary_switzerland,17,0,17,"The resulting corner from Ricardo Rodriguez (Switzerland) only finds one of the defenders, who heads it out of danger.",general,Corner,Rodriguez,Switzerland,130
hungary_switzerland,19,0,19,"Remo Freuler (Switzerland) commits a minor foul to interrupt the attacking move of his opponent and is warned by the referee that he will get a yellow card if he does it again. Hungary have a free kick.",general,Free Kick,Freuler,Switzerland,211
hungary_switzerland,20,0,20,"Ruben Vargas (Switzerland) runs onto a loose pass inside the box and releases a tremendous shot towards the middle of the goal. However, Peter Gulacsi anticipates the shot and makes a decent save. The ball is out of play. A goal-scoring opportunity from a corner for Switzerland.",key_event,Save,"Vargas, Gulacsi",Switzerland,277
hungary_switzerland,22,0,22,"Ruben Vargas (Switzerland) swings in the corner, but the goalkeeper does a brilliant job to intercept the effort.",general,Corner,Vargas,Switzerland,121
hungary_switzerland,22,0,22,"Fabian Schar (Switzerland) decides to strike the ball towards goal, but his effort fails to threaten the goalkeeper after being blocked by one of the defenders.",general,General,Schar,Switzerland,171
hungary_switzerland,26,0,26,"A long cross from the side is directed to the well-positioned Attila Fiola (Hungary), but the defence gets it clear.",general,General,Fiola,Hungary,131
