match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
portugal_slovenia,0,0,0,"Let us introduce today's referee to you, and it's Daniele Orsato.",general,General,Orsato,Both,67
portugal_slovenia,0,0,0,"Portugal will kick-off.",general,Kick Off,,Portugal,23
portugal_slovenia,1,0,1,"Here we go, today's match is starting right now.",key_event,Kick Off,,Both,48
portugal_slovenia,1,0,1,"Bernardo Silva (Portugal) is flagged for offside.",general,Offside,Silva,Portugal,49
portugal_slovenia,2,0,2,"Timi Max Elsnik (Slovenia) whips a promising cross into the box, but the opposition's defence intercepts the ball.",general,General,Elsnik,Slovenia,123
portugal_slovenia,3,0,3,"Benjamin Sesko (Slovenia) commits a foul and Daniele Orsato immediately signals a free kick.",general,General,Sesko,Slovenia,96
portugal_slovenia,4,0,4,"Nuno Mendes (Portugal) races towards goal but the defender gets back well to make a challenge.",general,General,Mendes,Portugal,97
portugal_slovenia,4,0,4,"Bruno Fernandes (Portugal) whips the ball into the penalty area, but one of the defenders is alert and spanks it away. The referee and his assistant both point at the corner flag. Portugal will have an opportunity to threaten the opposition's goal.",general,Corner,Fernandes,Portugal,234
portugal_slovenia,4,0,4,"The referee and his assistant both point at the corner flag. Portugal will have an opportunity to threaten the opposition's goal.",general,Corner,,Portugal,128
portugal_slovenia,5,0,5,"Ruben Dias (Portugal) receives a fine cross inside the box and attempts to score a goal, but his shot flies just wide of the right post. The ball goes out of play and Slovenia will have a goal kick.",key_event,Shot,Dias,Portugal,192
portugal_slovenia,6,0,6,"The linesman raises his flag for offside before Andraz Sporar (Slovenia) heads on.",general,Offside,Sporar,Slovenia,83
portugal_slovenia,7,0,7,"A poorly executed mid-range free kick by Vitinha (Portugal) as he fails to deliver a decent cross. The ball is off of the pitch and it's a goal kick for Slovenia.",general,Free Kick,Vitinha,Portugal,156
portugal_slovenia,8,0,8,"The ball is cleared after Cristiano Ronaldo (Portugal) attempted to dribble past an opposing player.",general,General,Ronaldo,Portugal,100
portugal_slovenia,10,0,10,"Vitinha (Portugal) steps up to take the corner. He launches the ball into the penalty area, but it only finds the head of an opposing player who clears the danger.",general,Corner,Vitinha,Portugal,168
portugal_slovenia,12,0,12,"Zan Karnicnik (Slovenia) robs an opponent of the ball and explodes in anger when Daniele Orsato blows for a foul.",general,General,Karnicnik,Slovenia,119
portugal_slovenia,13,0,13,"Bernardo Silva (Portugal) clips a neat ball into the box in the direction of Bruno Fernandes, but he can't get on the end of the pass. The ball goes out of play and Slovenia will have a goal kick.",general,General,"Silva, Fernandes",Portugal,194
portugal_slovenia,14,0,14,"Rafael Leao (Portugal) fails to find any of his teammates inside the box as his pass is blocked.",general,General,Leao,Portugal,101
portugal_slovenia,16,0,16,"Bruno Fernandes (Portugal) sends a cross into the box, but the opposition's defence clears the ball away to eliminate the danger.",general,General,Fernandes,Portugal,138
portugal_slovenia,18,0,18,"Daniele Orsato blows his whistle. Jan Mlakar (Slovenia) commits a foul after dangerous play.",general,General,Mlakar,Slovenia,97
portugal_slovenia,19,0,19,"Nuno Mendes (Portugal) is clearly asking for some medical attention with his painful gestures. The extent of his injury is yet to be discovered.",general,General,Mendes,Portugal,148
portugal_slovenia,20,0,20,"Nuno Mendes (Portugal) has picked up a minor injury, but it looks like he will be able to continue.",general,General,Mendes,Portugal,100
portugal_slovenia,21,0,21,"Andraz Sporar (Slovenia) tries to find Benjamin Sesko, but he puts too much power on the pass.",general,General,"Sporar, Sesko",Slovenia,99
portugal_slovenia,22,0,22,"Zan Karnicnik (Slovenia) tries to send a pass but it's blocked.",general,General,Karnicnik,Slovenia,59
portugal_slovenia,23,0,23,"The foul by Andraz Sporar (Slovenia) was seen by Daniele Orsato who didn't hesitate to blow the whistle.",general,General,Sporar,Slovenia,111
portugal_slovenia,25,0,25,"Handball by Joao Palhinha (Portugal).",general,General,Palhinha,Portugal,36
portugal_slovenia,26,0,26,"Rafael Leao (Portugal) commits an ugly challenge. The referee sees it and immediately blows his whistle.",general,General,Leao,Portugal,110
portugal_slovenia,27,0,27,"A cross into the box from Joao Cancelo (Portugal) is cleared.",general,General,Cancelo,Portugal,61
portugal_slovenia,29,0,29,"Bernardo Silva (Portugal) steps up to take the corner, but the ball just sails in among the defenders.",general,Corner,Silva,Portugal,109
portugal_slovenia,30,0,30,"Ruben Dias (Portugal) is caught offside!",general,Offside,Dias,Portugal,42
portugal_slovenia,31,0,31,"Bruno Fernandes (Portugal) is picked out by one of his teammates with a brilliant long-range cross, but he doesn't control the ball well and the defence eliminates the danger without any problem.",general,General,Fernandes,Portugal,203
portugal_slovenia,32,0,32,"Cristiano Ronaldo (Portugal) attempts a nice header from inside the penalty area, but his effort is blocked.",key_event,Shot,Ronaldo,Portugal,114
portugal_slovenia,32,0,32,"The foul by Vanja Drkusic (Slovenia) is worthy of a card and a yellow is duly shown by Daniele Orsato.",key_event,Yellow Card,Drkusic,Slovenia,112
portugal_slovenia,33,0,33,"Portugal earn a free kick which could lead to a goal-scoring opportunity.",general,Free Kick,,Portugal,71
portugal_slovenia,34,0,34,"Cristiano Ronaldo (Portugal) takes the free kick and curls the ball just over the crossbar. That was close! The ball is off of the pitch and it's a goal kick for Slovenia.",key_event,Shot,Ronaldo,Portugal,164
portugal_slovenia,35,0,35,"Rafael Leao (Portugal) slaloms his way past challenges, but an opposing player does well to get the ball away. The ball is out of play. Portugal will have a chance to score from a corner.",general,Corner,Leao,Portugal,177
portugal_slovenia,35,0,35,"Vitinha (Portugal) takes a short corner kick.",general,Corner,Vitinha,Portugal,45
portugal_slovenia,36,0,36,"Vitinha (Portugal) attempts to find Cristiano Ronaldo, but puts far too much on the pass and the chance is gone. The ball is off of the pitch and it's a goal kick for Slovenia.",general,General,Vitinha,Portugal,166
portugal_slovenia,37,0,37,"The expression of the referee Daniele Orsato is crystal clear. This behaviour won't be tolerated. Zan Karnicnik (Slovenia) is shown a yellow card.",key_event,Yellow Card,Karnicnik,Slovenia,154
portugal_slovenia,38,0,38,"Cristiano Ronaldo (Portugal) steps up to take the free kick. He attempts to threaten the goal but his powerful shot sails way past the right post. What a waste! The ball goes out of play and Slovenia will have a goal kick.",key_event,Shot,Ronaldo,Portugal,218
portugal_slovenia,39,0,39,"Petar Stojanovic (Slovenia) tries to slide the ball through to a teammate but it's well blocked by a defender. Corner kick. Slovenia will have an opportunity.",general,Corner,Stojanovic,Slovenia,160
