minute,sequence_rank,real_commentary,real_commentary_type,our_sequence_commentary,sequence_id,score_before,average_score,cosine_similarity,entity_overlap,semantic_similarity,entity_players_match,entity_actions_match,entity_outcome_match
1,1,KICKOFF:  THE SECOND EURO 2024 SEMI-FINAL IS UNDERWAY!,key_event,"[0:00]  THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between England and Netherlands. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Kobbie Mainoo under pressure, plays a long pass back along the ground to Jordan Pickford Jordan Pickford receives under pressure, carries the ball from the central defensive third into the right defensive third - BUT LOSES IT! . Memphis Depay closes down Jordan Pickford .  THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between England and Netherlands. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Jordan Pickford under MASSIVE pressure, plays a long ball forward through the air into the left attacking third, INTERCEPTED! England loses the ball",2,N/A,0.3289,0.1374,0.2,0.6493,0.0,0.0,1.0
1,2,KICKOFF:  THE SECOND EURO 2024 SEMI-FINAL IS UNDERWAY!,key_event,[0:00] Starting XI . Starting XI . Half Start . Half Start,1,N/A,0.1855,0.0,0.2,0.3566,0.0,0.0,1.0
1,3,KICKOFF:  THE SECOND EURO 2024 SEMI-FINAL IS UNDERWAY!,key_event,"[0:39] Jerdy Schouten under pressure, delivers the free kick a short pass back along the ground to Stefan de Vrij Stefan de Vrij receives under pressure, carries the ball under pressure, delivers the free kick a medium pass along the ground to Virgil van Dijk Virgil van Dijk receives",6,N/A,0.1654,0.0,0.2,0.2963,0.0,0.0,1.0
1,4,KICKOFF:  THE SECOND EURO 2024 SEMI-FINAL IS UNDERWAY!,key_event,"[0:28] Nathan Aké under pressure, carries the ball under pressure, delivers the free kick a medium pass back along the ground to Virgil van Dijk Virgil van Dijk receives under pressure, carries the ball under pressure, delivers the free kick a medium pass along the ground to Stefan de Vrij",5,N/A,0.1408,0.0,0.2,0.2225,0.0,0.0,1.0
1,5,KICKOFF:  THE SECOND EURO 2024 SEMI-FINAL IS UNDERWAY!,key_event,"[0:13] Harry Kane under pressure, carries the ball - BUT LOSES IT! . Tijjani Reijnders closes down Harry Kane . Harry Kane loses control under pressure!",3,N/A,0.138,0.0,0.2,0.214,0.0,0.0,1.0
1,6,KICKOFF:  THE SECOND EURO 2024 SEMI-FINAL IS UNDERWAY!,key_event,"[0:16] Cody Mathès Gakpo wins the ball back under pressure, carries the ball - BUT LOSES IT! . Kyle Walker closes down Cody Mathès Gakpo ⚠ FOUL by Kyle Walker in the central midfield . Cody Mathès Gakpo is fouled",4,N/A,0.137,0.0,0.2,0.2111,0.0,0.0,1.0
2,1,Malen immediately tries a run in behind but the Dutchman is caught offside.,general,"[1:49] Kobbie Mainoo under pressure, delivers the free kick a short pass along the ground to Jude Bellingham Jude Bellingham receives under pressure, carries the ball - BUT LOSES IT! . Xavi Simons closes down Jude Bellingham . Jude Bellingham under MASSIVE pressure, delivers the free kick a short pass along the ground, INTERCEPTED! England loses the ball",12,N/A,0.1778,0.0,0.2,0.3334,0.0,0.0,1.0
2,2,Malen immediately tries a run in behind but the Dutchman is caught offside.,general,"[0:51] Denzel Dumfries receives under pressure, carries the ball under pressure, delivers the free kick a medium pass back along the ground to Stefan de Vrij Stefan de Vrij receives under pressure, carries the ball",7,N/A,0.1767,0.0,0.2,0.33,0.0,0.0,1.0
2,3,Malen immediately tries a run in behind but the Dutchman is caught offside.,general,"[1:36] Phil Foden under pressure, carries the ball under pressure, delivers the free kick a medium pass back along the ground to Jude Bellingham Jude Bellingham receives under pressure, carries the ball under pressure, delivers the free kick a medium pass along the ground to John Stones",10,N/A,0.17,0.0,0.2,0.3099,0.0,0.0,1.0
2,4,Malen immediately tries a run in behind but the Dutchman is caught offside.,general,"[1:20] Marc Guehi under pressure, delivers the free kick a long pass back along the ground to Jordan Pickford Jordan Pickford receives under pressure, delivers the free kick a medium pass forward along the ground to John Stones John Stones receives under pressure, carries the ball",8,N/A,0.1597,0.0,0.2,0.2792,0.0,0.0,1.0
