data_source,minute,sequence_rank,real_commentary,real_type,our_sequence_commentary,sequence_id,average_score,average_score_no_sentiment,TF-IDF,Embeddings_BERT,content_overlap_ratio,real_sentiment,our_sentiment,sentiment_diff,real_word_count,our_word_count,real_content_words,our_content_words,matching_content_words,real_unique_players,our_unique_players,matching_players,entity_players_match,real_unique_teams,our_unique_teams,matching_teams,entity_teams_match,real_unique_events,our_unique_events,matching_events,entity_events_match,real_player_mentions,our_player_mentions,real_player_repetitions,our_player_repetitions,real_team_mentions,our_team_mentions,real_team_repetitions,our_team_repetitions,real_event_mentions,our_event_mentions,real_event_repetitions,our_event_repetitions
ESPN,0,1,First Half begins.,Kick Off,,-1,0.0,0.0,0.0,0.0,0.0,0.093155100941658,0.0,0.093155100941658,3,0,3,0,0,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
ESPN,2,1,Attempt missed. Adrien Rabiot (France) left footed shot from the centre of the box misses to the left. Assisted by Aurélien Tchouaméni with a cross.,General,"[1:05] Adrien Rabiot receives under pressure in the central attacking third under pressure, shoots with the left foot from a DANGEROUS position (15m out!) - just wide!",10,0.4440565930130062,0.33702748038000224,0.2426306271462241,0.6650035381317139,0.1034482758620689,-0.2505485713481903,-0.4854046404361725,0.2348560690879821,25,27,16,19,3,4,1,1,0.25,1,0,0,0.0,4,0,0,0.0,4,1,0,0,1,0,0,0,4,0,0,0
ESPN,2,2,Attempt missed. Adrien Rabiot (France) left footed shot from the centre of the box misses to the left. Assisted by Aurélien Tchouaméni with a cross.,General,"[1:07] The goalkeeper deals with it, From the goal kick, Wout Faes under pressure, plays a short pass along the ground to Koen Casteels",11,0.3442911957175553,0.22294065167122679,0.2476620021347283,0.421159952878952,0.0,-0.2505485713481903,0.041108600795269,0.2916571721434593,25,24,16,15,0,4,3,0,0.0,1,0,0,0.0,4,3,0,0.0,4,3,0,0,1,0,0,0,4,4,0,1
ESPN,2,3,Attempt missed. Adrien Rabiot (France) left footed shot from the centre of the box misses to the left. Assisted by Aurélien Tchouaméni with a cross.,General,"[1:49] Wout Faes under pressure, carries the ball From the goal kick, Wout Faes under pressure, plays a short pass along the ground to Jan Vertonghen, Jan Vertonghen under pressure, carries the ball From the goal kick, Jan Vertonghen under pressure, plays a medium pass along the ground to Wout Faes, Wout Faes under pressure, carries the ball",13,0.3361034818749418,0.20616495818042627,0.1862173441095314,0.4322775304317474,0.0,-0.2505485713481903,0.0235323756933212,0.2740809470415115,25,58,16,44,0,4,3,0,0.0,1,0,0,0.0,4,3,0,0.0,4,3,0,0,1,0,0,0,4,6,0,3
ESPN,2,4,Attempt missed. Adrien Rabiot (France) left footed shot from the centre of the box misses to the left. Assisted by Aurélien Tchouaméni with a cross.,General,"[1:31] Koen Casteels under pressure, carries the ball From the goal kick, Koen Casteels under pressure, plays a short pass forward along the ground to Amadou Onana, Amadou Onana under pressure, carries the ball From the goal kick, Amadou Onana under pressure, plays a medium pass along the ground to Jan Vertonghen, Jan Vertonghen under pressure, carries the ball",12,0.3335341045350774,0.20105918095720396,0.1948108627263482,0.4083666801452636,0.0,-0.2505485713481903,0.0184925533831119,0.2690411247313022,25,59,16,45,0,4,4,0,0.0,1,0,0,0.0,4,3,0,0.0,4,4,0,0,1,0,0,0,4,6,0,3
ESPN,3,1,"Offside, France. Marcus Thuram is caught offside.",Offside,"[2:04] From the goal kick, Amadou Onana under pressure, plays a short pass along the ground to Jan Vertonghen, Jan Vertonghen under pressure, carries the ball From the goal kick, Jan Vertonghen under pressure, plays a medium pass along the ground to Arthur Theate, Arthur Theate under pressure, carries the ball From the goal kick, Arthur Theate under pressure, plays a long ball forward through the air to Ikoma Loïs Openda, but the pass doesn't find its target",14,0.3306038165464997,0.11881512403488159,0.0,0.3564453721046448,0.0,-0.0589773803949356,-0.0249472744762897,0.0340301059186458,7,78,6,57,0,2,5,0,0.0,1,0,0,0.0,1,3,0,0.0,2,5,0,0,1,0,0,0,2,9,1,6
ESPN,3,2,"Offside, France. Marcus Thuram is caught offside.",Offside,"[2:14] N'Golo Kanté under pressure, carries the ball under pressure, plays a short pass along the ground to Jules Koundé, Jules Koundé under pressure, carries the ball under pressure, plays a medium pass back along the ground to Dayotchanculle Upamecano, Dayotchanculle Upamecano under pressure, carries the ball",15,0.3130228389054537,0.10341943303743996,0.0,0.3102582991123199,0.0,-0.0589773803949356,-0.0008104369044303,0.0581669434905052,7,47,6,37,0,2,3,0,0.0,1,0,0,0.0,1,1,0,0.0,2,3,0,0,1,0,0,0,2,2,1,1
ESPN,3,3,"Offside, France. Marcus Thuram is caught offside.",Offside,"[2:31] Yannick Ferreira Carrasco under pressure, carries the ball - BUT LOSES IT! . Kylian Mbappé Lottin closes down Yannick Ferreira Carrasco . Yannick Ferreira Carrasco under MASSIVE pressure, plays a short pass along the ground to Timothy Castagne . Kylian Mbappé Lottin closes down Yannick Ferreira Carrasco . Timothy Castagne under pressure, carries the ball",18,0.3022797293961048,0.10581745704015096,0.0,0.3174523711204529,0.0,-0.0589773803949356,-0.1673108339309692,0.1083334535360336,7,56,6,43,0,2,3,0,0.0,1,0,0,0.0,1,1,0,0.0,2,3,0,0,1,0,0,0,2,1,1,0
ESPN,3,4,"Offside, France. Marcus Thuram is caught offside.",Offside,"[2:22] Aurélien Djani Tchouaméni under pressure, carries the ball under pressure, plays a long pass along the ground to Theo Bernard François Hernández, Theo Bernard François Hernández under pressure, carries the ball under pressure, plays a short pass forward along the ground to Kylian Mbappé Lottin, Kylian Mbappé Lottin under pressure, carries the ball - BUT LOSES IT!",16,0.2980642393231392,0.12531758348147073,0.0,0.3759527504444122,0.0,-0.0589773803949356,-0.242673173546791,0.1836957931518554,7,58,6,45,0,2,3,0,0.0,1,0,0,0.0,1,1,0,0.0,2,3,0,0,1,0,0,0,2,2,1,1
ESPN,3,5,"Offside, France. Marcus Thuram is caught offside.",Offside,"[2:42] Dayotchanculle Upamecano wins the ball back under pressure, carries the ball under pressure, plays a medium pass back along the ground to Mike Maignan . Ikoma Loïs Openda closes down Dayotchanculle Upamecano . Mike Maignan under pressure, carries the ball",19,0.2897597877308726,0.08707696199417114,0.0,0.2612308859825134,0.0,-0.0589773803949356,0.0432143546640872,0.1021917350590229,7,41,6,32,0,2,3,0,0.0,1,0,0,0.0,1,1,0,0.0,2,3,0,0,1,0,0,0,2,1,1,0
