match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
croatia_italy,0,0,0,"Let us introduce today's referee to you, and it's Danny Makkelie.",general,General,Makkelie,Both,67
croatia_italy,0,0,0,"The players are on the pitch and Croatia will have the kick-off.",general,Kick Off,,Croatia,65
croatia_italy,1,0,1,"Here we go, today's match is starting right now.",key_event,Kick Off,,Both,51
croatia_italy,2,0,2,"Croatia keep possession of the ball by producing short passes and one-two passes from player to player.",general,General,,Croatia,116
croatia_italy,4,0,4,"Josip Stanisic (Croatia) attempts to slip the ball through the defence, but is unable to find any of his teammates.",general,General,Stanisic,Croatia,125
croatia_italy,5,0,5,"A dangerous attempt from Luka Sucic (Croatia) was aimed to the top left corner, but Gianluigi Donnarumma pulls off a superb save and stops this one. Croatia have a corner.",key_event,Save,"Sucic, Donnarumma",Croatia,186
croatia_italy,5,0,5,"Luka Modric (Croatia) lifts the ball into the box from the corner, but one of the defending players gets there first to head it clear.",general,Corner,Modric,Croatia,145
croatia_italy,6,0,6,"Federico Dimarco (Italy) races towards goal but the defender gets back well to make a challenge.",general,General,Dimarco,Italy,100
croatia_italy,7,0,7,"Giovanni Di Lorenzo (Italy) fails to find any of his teammates inside the box as his pass is blocked. The ball is out of play. Italy will have a throw-in.",general,General,Di Lorenzo,Italy,164
croatia_italy,8,0,8,"Matteo Darmian (Italy) produces a dangerous low pass into the penalty area, but the defence manage to cut it out.",general,General,Darmian,Italy,126
croatia_italy,10,0,10,"Another attempt to send the ball beyond the defence by Marcelo Brozovic (Croatia) is thwarted and cleared to safety.",general,General,Brozovic,Croatia,128
croatia_italy,11,0,11,"A lofted pass to the edge of the six-yard box is won in the air by Lorenzo Pellegrini (Italy), but his tame header goes well wide of the left post.",key_event,Shot,Pellegrini,Italy,160
croatia_italy,12,0,12,"Josko Gvardiol (Croatia) makes a reckless foul in order to win the ball from his opponent. Danny Makkelie has a clear sight of it and blows his whistle.",general,General,Gvardiol,Croatia,163
croatia_italy,12,0,12,"Andrej Kramaric (Croatia) tries to play a through ball from just inside the box to Mario Pasalic, but one of the defending players is alert to the danger and makes a timely interception.",general,General,"Kramaric, Pasalic",Croatia,192
croatia_italy,14,0,14,"Giovanni Di Lorenzo (Italy) fails to send a pass into the box as his effort is cut out. The referee and his assistant both point at the corner flag. Italy will have an opportunity to threaten the opposition's goal.",general,Corner,Di Lorenzo,Italy,214
croatia_italy,14,0,14,"Federico Dimarco (Italy) floats the ball in from the corner but it's intercepted.",general,Corner,Dimarco,Italy,83
croatia_italy,15,0,15,"Luka Modric (Croatia) looks to break free, but an opposing player clears the ball away.",general,General,Modric,Croatia,92
croatia_italy,16,0,16,"Nicolo Barella (Italy) makes a rough challenge and Danny Makkelie blows his whistle for a foul.",general,General,Barella,Italy,101
croatia_italy,17,0,17,"Josip Stanisic (Croatia) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack.",general,General,Stanisic,Croatia,169
croatia_italy,19,0,19,"Marin Pongracic (Croatia) escapes without any punishment from the referee after using excessive force to foul his opponent.",general,General,Pongracic,Croatia,130
croatia_italy,20,0,20,"Nicolo Barella (Italy) takes the free kick and immediately restarts play with a short pass.",general,Free Kick,Barella,Italy,93
croatia_italy,21,0,21,"Mateo Retegui (Italy) meets a cross inside the box, but his header is blocked by an opposing player. The ball is out of play. Italy win a corner kick.",general,Corner,Retegui,Italy,163
croatia_italy,22,0,22,"Lorenzo Pellegrini (Italy) takes the corner and sends it into the penalty area, but the opposition's defence is ready and makes a good clearance.",general,Corner,Pellegrini,Italy,161
croatia_italy,23,0,23,"The defender bravely blocks the shot from Mateo Retegui (Italy) inside the box. Italy earn a corner.",key_event,Shot,Retegui,Italy,107
croatia_italy,23,0,23,"Federico Dimarco (Italy) decides to speed play up with a short corner kick.",general,Corner,Dimarco,Italy,75
croatia_italy,24,0,24,"This yellow card was deserved. The tackle by Luka Sucic (Croatia) was quite harsh and Danny Makkelie didn't hesitate to show him a yellow card.",key_event,Yellow Card,Sucic,Croatia,155
croatia_italy,25,0,25,"Luka Sucic (Croatia) nearly creates a chance, but his attempt to pick out a teammate with a through ball does not come off.",general,General,Sucic,Croatia,130
croatia_italy,26,0,26,"Mateo Retegui (Italy) has a shot blocked from inside the box. Italy will have a chance to score from a corner kick.",key_event,Shot,Retegui,Italy,119
croatia_italy,27,0,27,"The resulting corner, taken by Federico Dimarco (Italy), comes to nothing.",general,Corner,Dimarco,Italy,75
croatia_italy,28,0,28,"Dominik Livakovic makes a superb save to deny a header which was nodded towards the roof of the net by Alessandro Bastoni (Italy) after a cross from the side. The ball goes behind for a corner. Italy will have an opportunity to threaten the opposition's goal.",key_event,Save,"Livakovic, Bastoni",Italy,260
croatia_italy,28,0,28,"The corner is swung in but Italy can't take advantage as a defender sweeps the ball away.",general,Corner,,Italy,94
croatia_italy,30,0,30,"Half-chance! Luka Modric (Croatia) plays a pass into the box, but Gianluigi Donnarumma reacts well to snuff out the attack.",general,General,"Modric, Donnarumma",Croatia,134
croatia_italy,31,0,31,"Luka Modric (Croatia) decides to strike the ball towards goal, but his effort fails to threaten the goalkeeper after being well blocked by one of the defenders.",key_event,Shot,Modric,Croatia,162
croatia_italy,33,0,33,"One of the defenders reacts at the last minute to brilliantly block a pass from Luka Sucic (Croatia).",general,General,Sucic,Croatia,113
croatia_italy,34,0,34,"Marin Pongracic (Croatia) makes a strong challenge and Danny Makkelie blows for a foul.",general,General,Pongracic,Croatia,89
croatia_italy,35,0,35,"Josko Gvardiol (Croatia) commits a rough challenge and Danny Makkelie blows his whistle for a foul.",general,General,Gvardiol,Croatia,101
croatia_italy,35,0,35,"Giovanni Di Lorenzo (Italy) sends a quick through ball into space for his teammate who is lurking close to the offside line, but one of the defenders intercepts and clears the danger.",general,General,Di Lorenzo,Italy,188
