match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
spain_england,1,0,1,"An incredible noise inside the Olympiastadion as England get the Euro 2024 final under way.",key_event,Kick Off,,England,104
spain_england,2,0,2,"Spain are seeing a lot of the ball in these early exchanges but they're being forced back. A first touch for Luke Shaw, a first tackle which he wins.",general,General,Shaw,Spain,167
spain_england,3,0,3,"Spain keeper Unai Simon has touched the ball more than anyone else so far.",general,General,Simon,Spain,76
spain_england,4,0,4,"Great start for Luke Shaw. He wins another tackle. That's three out of three. Now a first corner for Spain after John Stones puts Nico Williams' hopeful cross behind.",general,Corner,"Shaw, Stones, Williams",Spain,175
spain_england,5,0,5,"Spain are starting to show their attacking intent. Marc Cucurella is out wide deep inside England's half but he is forced back.",general,General,Cucurella,Spain,141
spain_england,6,0,6,"Neat and tidy by Spain. England are yet to mount a serious attack.",general,General,,Both,71
spain_england,7,0,7,"Good defending by Kyle Walker and then Declan Rice as Nico Williams looks to pounce inside the penalty area. England look solid at the back but we've seen nothing from them in terms of an attacking threat.",general,General,"Walker, Rice, Williams",England,213
spain_england,9,0,9,"England are trying to break forward and Jude Bellingham wins a free-kick inside Spain's half after a foul by Rodri. This is in a decent position.",general,Free Kick,"Bellingham, Rodri",England,157
spain_england,10,0,10,"The set-piece is floated into the Spain box but there is a foul by Marc Guehi and Spain go again.",general,Free Kick,Guehi,England,110
spain_england,12,0,12,"Oh, that's outstanding by John Stones. A super challenge by the England defender to thwart Nico Williams who has started really strongly. Williams looks Spain's biggest threat at the moment.",general,General,"Stones, Williams",England,203
spain_england,13,0,13,"Half a chance for Robin Le Normand but it drops well wide.",general,General,Le Normand,Spain,63
spain_england,14,0,14,"That's more like it. Kyle Walker finds some space out wide and sends in a pass which is put behind for England's first corner.",general,Corner,Walker,England,137
spain_england,16,0,16,"England are stepping it up! Bukayo Saka is posing a threat and threads a nice pass to Declan Rice who lets fly. It's blocked. England are looking much more lively.",general,General,"Saka, Rice",England,173
spain_england,18,0,18,"Biggest positive for England so far? Luke Shaw. He's won every challenge and is keeping Lamine Yamal very quiet.",general,General,"Shaw, Yamal",England,125
spain_england,20,0,20,"And just like that 20 minutes gone in a flash. Nothing for England to be seriously concerned about so far.",general,General,,England,116
spain_england,22,0,22,"Danger for England. Phil Foden gives the ball away just outside his own penalty area and Dani Olmo tries to tee up Lamine Yamal who cannot find the target.",general,General,"Foden, Olmo, Yamal",England,166
spain_england,25,0,25,"Luke Shaw looks really sharp and is getting into some decent positions. Now Harry Kane has gone in late on Fabian Ruiz and is shown a yellow card. That's England's 12th booking of the tournament - Kane has two.",key_event,Yellow Card,"Shaw, Kane, Ruiz",England,223
spain_england,26,0,26,"One attempt by England. They have yet to register an attempt on target.",general,General,,England,76
spain_england,28,0,28,"England are really struggling to carve out any chances. It's tight and cagey. Goalkeeper Unai Simon has had a really quiet final so far.",general,General,Simon,England,147
spain_england,30,0,30,"That's going to hurt! Dani Olmo's studs make contact with Declan Rice's chest and the referee whips out a yellow card.",key_event,Yellow Card,"Olmo, Rice",Spain,132
spain_england,33,0,33,"Did anyone really expect this to be a rip-roaring end-to-end final? Right now, it feels like one goal could win it although England have played well at this tournament after going behind.",general,General,,Both,195
spain_england,34,0,34,"Tow quick corners for Spain. The second is half cleared to Dani Olmo who lines up a shot but it's blocked. Jordan Pickford has still to be seriously tested.",general,Corner,"Olmo, Pickford",Spain,168
spain_england,37,0,37,"Lamine Yamal has the ball out wide deep inside England's half. He attempts to deliver it into the box but Luke Shaw is in the right place to clear. Shaw has hardly put a foot wrong.",general,General,"Yamal, Shaw",Spain,189
spain_england,39,0,39,"What's this? A terrific run by John Stones who drives towards the edge of Spain's penalty area before he is dispossessed.",general,General,Stones,England,133
spain_england,40,0,40,"A decent spell of possession by England which started with Declan Rice driving forward but it's ended when Kobbie Mainoo gives the ball away.",general,General,"Rice, Mainoo",England,153
