match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
spain_italy,0,0,0,"Slavko Vincic was nominated as the referee for this game.",general,General,Vincic,Both,59
spain_italy,0,0,0,"The players are out and the match is about to start. Italy will have the kick-off.",general,Kick Off,,Italy,84
spain_italy,1,0,1,"The first half of this match is about to start.",key_event,Kick Off,,Both,48
spain_italy,2,0,2,"Pedri (Spain) attempts to convert a lofted cross as he jumps high and heads the ball towards the roof of the net. Gianluigi Donnarumma shows his brilliant reflexes and pulls off a glorious save to stop the ball from hitting the net.",key_event,Save,"Pedri, Donnarumma",Spain,234
spain_italy,2,0,2,"Nico Williams (Spain) works the corner short instead of sending the ball into the penalty area.",general,Corner,Williams,Spain,103
spain_italy,3,0,3,"Nico Williams (Spain) dinks a cross into the box in an attempt to find one of his teammates, but the defence manages to clear.",general,General,Williams,Spain,144
spain_italy,3,0,3,"Slavko Vincic has a clear sight and sees a foul from Lorenzo Pellegrini (Italy).",general,General,Pellegrini,Italy,83
spain_italy,4,0,4,"Lamine Yamal (Spain) tries to send a pass but it's blocked.",general,General,Yamal,Spain,58
spain_italy,5,0,5,"Aymeric Laporte (Spain) escapes without any punishment from the referee after using excessive force to foul his opponent.",general,General,Laporte,Spain,132
spain_italy,6,0,6,"Pedri (Spain) jumps into a tackle and Slavko Vincic signals a foul.",general,General,Pedri,Spain,72
spain_italy,7,0,7,"Lorenzo Pellegrini (Italy) requires medical treatment, so the referee stops play and signals for the physio to come onto the pitch.",general,Injury,Pellegrini,Italy,146
spain_italy,9,0,9,"Slavko Vincic blows for a foul after Marc Cucurella (Spain) was too aggressive in the battle for the ball.",general,General,Cucurella,Spain,116
spain_italy,9,0,9,"Lorenzo Pellegrini (Italy) is moving okay again after that injury scare.",general,Injury,Pellegrini,Italy,75
spain_italy,9,0,9,"Rough tackle by Aymeric Laporte (Spain). The referee blows his whistle for a foul.",general,General,Laporte,Spain,90
spain_italy,10,0,10,"Federico Chiesa (Italy) makes a reckless foul in order to win the ball from his opponent. Slavko Vincic has a clear sight of it and blows his whistle.",general,General,Chiesa,Italy,158
