match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
netherlands_england,0,0,0,"The current period has begun.",key_event,Kick Off,,Both,30
netherlands_england,1,0,1,"Felix Zwayer signals a free kick to Netherlands.",general,Free Kick,Zwayer,Netherlands,50
netherlands_england,2,0,2,"Netherlands's Donyell Malen has run offside.",general,Offside,Malen,Netherlands,45
netherlands_england,3,0,3,"Free kick England.",general,Free Kick,,England,19
netherlands_england,5,0,5,"England drive forward but Kieran Trippier is judged offside.",general,Offside,Trippier,England,62
netherlands_england,7,0,7,"Goal! Xavi Simons gives Netherlands a 1-0 lead in Dortmund.",key_event,Goal,Simons,Netherlands,63
netherlands_england,9,0,9,"Felix Zwayer signals a free kick to England just outside Netherlands's area.",general,Free Kick,Zwayer,England,77
netherlands_england,11,0,11,"Felix Zwayer signals a free kick to England.",general,Free Kick,Zwayer,England,45
netherlands_england,12,0,12,"Felix Zwayer signals a throw-in for England, close to Netherlands's area.",general,General,Zwayer,England,79
netherlands_england,11,0,11,"Felix Zwayer blows against England's Kieran Trippier for offside.",general,Offside,"Zwayer, Trippier",England,68
netherlands_england,13,0,13,"England drives forward and Harry Kane gets in a shot. Without netting, however.",general,General,Kane,England,85
netherlands_england,13,0,13,"Throw-in for England close to the penalty box.",general,General,,England,49
netherlands_england,14,0,14,"England's Harry Kane breaks free at BVB Stadion Dortmund. But the strike goes wide of the post.",general,General,Kane,England,99
netherlands_england,14,0,14,"Goal kick for Netherlands at BVB Stadion Dortmund.",general,General,,Netherlands,53
netherlands_england,16,0,16,"VAR: Penalty.",key_event,VAR,,Both,14
netherlands_england,16,0,16,"VAR Decision: Penalty.",key_event,VAR,,Both,22
netherlands_england,15,0,15,"A penalty awarded for England.",key_event,Penalty,,England,32
netherlands_england,17,0,17,"Denzel Dumfries (Netherlands) gets a yellow card.",key_event,Yellow Card,Dumfries,Netherlands,48
netherlands_england,18,0,18,"Harry Kane scores from the spot and England draw level at BVB Stadion Dortmund.",key_event,Goal,Kane,England,81
netherlands_england,19,0,19,"Throw-in England.",general,General,,England,19
netherlands_england,20,0,20,"Can Netherlands get the ball into an attacking position from this throw-in in England's half?",general,General,,Netherlands,97
netherlands_england,21,0,21,"Throw-in for England at BVB Stadion Dortmund.",general,General,,England,48
netherlands_england,22,0,22,"Ball safe as Netherlands is awarded a throw-in in their half.",general,General,,Netherlands,64
