match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
czech_republic_turkey,0,0,0,"Istvan Kovacs will officiate today.",general,General,Kovacs,Both,35
czech_republic_turkey,0,0,0,"The players are on the pitch and Czech Republic will have the kick-off.",general,Kick Off,,Czech Republic,70
czech_republic_turkey,1,0,1,"Today's match has just started, enjoy the game!",key_event,Kick Off,,Both,47
czech_republic_turkey,1,0,1,"Tomas Soucek (Czech Republic) commits a foul during an attacking move.",general,General,Soucek,Czech Republic,68
czech_republic_turkey,3,0,3,"Lukas Provod (Czech Republic) receives a clever pass and shoots from mid-range. His shot looks like it's going inside the right post, but Mert Gunok has other ideas and makes a brilliant save.",key_event,Save,"Provod, Gunok",Czech Republic,196
czech_republic_turkey,3,0,3,"There's an opportunity for Vladimir Coufal (Czech Republic) to deliver the ball into the box from a corner.",general,Corner,Coufal,Czech Republic,103
czech_republic_turkey,4,0,4,"Istvan Kovacs blows for a foul after Merih Demiral (Turkey) was too aggressive in the battle for the ball.",general,General,Demiral,Turkey,109
czech_republic_turkey,7,0,7,"A defender unwittingly blocks the ball on the line after a snap shot from Kenan Yildiz (Turkey) inside the box following a slide rule pass.",key_event,Shot,Yildiz,Turkey,149
czech_republic_turkey,7,0,7,"Hakan Calhanoglu (Turkey) sends a wonderful cross from the corner kick. However, the defence works perfectly to clear the ball and avert the threat.",general,Corner,Calhanoglu,Turkey,150
czech_republic_turkey,11,0,11,"Turkey are showing great team chemistry. They are passing the ball around seamlessly.",general,General,,Turkey,85
czech_republic_turkey,11,0,11,"This yellow card was deserved. The tackle by Antonin Barak (Czech Republic) was quite harsh and Istvan Kovacs didn't hesitate to show him a yellow card.",key_event,Yellow Card,Barak,Czech Republic,155
czech_republic_turkey,13,0,13,"The keeper doesn't have to worry about this one. Arda Guler (Turkey) sacrificed accuracy for power, and thus his attempt went well wide of the right post.",key_event,Shot,Guler,Turkey,156
czech_republic_turkey,15,0,15,"A lofted cross from Tomas Holes (Czech Republic) is unsuccessful as the opponent's defence quickly clears the ball out of the penalty area.",general,General,Holes,Czech Republic,148
czech_republic_turkey,15,0,15,"David Jurasek (Czech Republic) gets into a good scoring position. He creates some space for himself and tries his luck from distance. His decent effort towards the middle of the goal is, however, saved by Mert Gunok!",key_event,Save,"Jurasek, Gunok",Czech Republic,223
czech_republic_turkey,15,0,15,"A pass by Tomas Soucek (Czech Republic) ends up in no man's land, and the attacking effort comes to an end.",general,General,Soucek,Czech Republic,114
czech_republic_turkey,16,0,16,"Istvan Kovacs blows his whistle. Ladislav Krejci (Czech Republic) commits a foul after dangerous play.",general,General,Krejci,Czech Republic,103
czech_republic_turkey,17,0,17,"Adam Hlozek (Czech Republic) looks to break free, but an opposing player clears the ball away.",general,General,Hlozek,Czech Republic,94
czech_republic_turkey,17,0,17,"Robin Hranac (Czech Republic) misses a great chance after he found some space in the box! His glancing header goes over the crossbar.",key_event,Shot,Hranac,Czech Republic,141
czech_republic_turkey,20,0,20,"Istvan Kovacs has a clear sight and sees a foul from Robin Hranac (Czech Republic).",general,General,Hranac,Czech Republic,81
czech_republic_turkey,20,0,20,"Istvan Kovacs blows his whistle and Antonin Barak (Czech Republic) is shown a second yellow card for his foul. His manager will not be pleased. He has lot of time to think about it as he walks off.",key_event,Red Card,Barak,Czech Republic,188
czech_republic_turkey,22,0,22,"The cross into the penalty area from Ismail Yuksek (Turkey) needed to be more accurate in order to create a goal-scoring opportunity for his team.",general,General,Yuksek,Turkey,145
czech_republic_turkey,23,0,23,"Handball by Salih Ozcan (Turkey).",general,General,Ozcan,Turkey,33
czech_republic_turkey,24,0,24,"Robin Hranac (Czech Republic) gets to the rebound and shoots, but the effort is blocked.",key_event,Shot,Hranac,Czech Republic,87
czech_republic_turkey,25,0,25,"The game is interrupted, a clear handball by Mert Muldur (Turkey).",general,General,Muldur,Turkey,67
czech_republic_turkey,26,0,26,"Kenan Yildiz (Turkey) received a clever through ball which could have put him in a promising position, but the defence was alert to the danger.",general,General,Yildiz,Turkey,148
czech_republic_turkey,27,0,27,"Kenan Yildiz (Turkey) displays brilliant individual ability, gets inside the box and pulls the trigger. His promising effort is blocked by one of the defenders.",key_event,Shot,Yildiz,Turkey,166
czech_republic_turkey,27,0,27,"Arda Guler (Turkey) connects with a precise cross inside the goalmouth and shoots. One of the defending players reacts in time and clears the ball to safety.",key_event,Shot,Guler,Turkey,161
czech_republic_turkey,28,0,28,"Arda Guler (Turkey) looks like he will be the one to try and deliver a quality ball into the penalty box from the corner kick.",general,Corner,Guler,Turkey,129
czech_republic_turkey,28,0,28,"Samet Akaydin (Turkey) misses a complete sitter from the corner, heading the ball well wide of the left post from close in.",key_event,Shot,Akaydin,Turkey,134
czech_republic_turkey,29,0,29,"Merih Demiral (Turkey) makes a strong challenge and Istvan Kovacs blows for a foul.",general,General,Demiral,Turkey,88
czech_republic_turkey,29,0,29,"Baris Alper Yilmaz (Turkey) sends a cross into the box, but Jindrich Stanek comes off his line to gather the ball.",general,General,"Yilmaz, Stanek",Turkey,120
czech_republic_turkey,29,0,29,"Mojmir Chytil (Czech Republic) commits a rough challenge and Istvan Kovacs blows his whistle for a foul.",general,General,Chytil,Czech Republic,107
czech_republic_turkey,31,0,31,"Salih Ozcan (Turkey) is booked after bringing down an opponent. Istvan Kovacs had an easy-decision to make.",key_event,Yellow Card,Ozcan,Turkey,115
czech_republic_turkey,32,0,32,"Baris Alper Yilmaz (Turkey) sends a pass into the penalty area, but the opponent manages to cut it out.",general,General,Yilmaz,Turkey,106
czech_republic_turkey,32,0,32,"Arda Guler (Turkey) floats the ball in from the corner but it's intercepted.",general,Corner,Guler,Turkey,75
czech_republic_turkey,33,0,33,"Hakan Calhanoglu (Turkey) attempts to find his teammate with a final pass from outside of the box, but one of the defenders clears the ball to safety.",general,General,Calhanoglu,Turkey,153
czech_republic_turkey,33,0,33,"Nothing comes of the resulting corner from Arda Guler (Turkey). The defence is alert and manages to cut it out.",general,Corner,Guler,Turkey,115
czech_republic_turkey,34,0,34,"Lukas Provod (Czech Republic) is clearly asking for some medical attention with his painful gestures. The extent of his injury is yet to be discovered.",general,General,Provod,Czech Republic,148
czech_republic_turkey,34,0,34,"Although Patrik Schick (Czech Republic) is just on the bench, Istvan Kovacs has awarded him with a yellow card. Unsporting behavior says the referee.",key_event,Yellow Card,Schick,Czech Republic,153
czech_republic_turkey,34,0,34,"Patrik Schick (Czech Republic) will miss the next game.",general,General,Schick,Czech Republic,52
czech_republic_turkey,37,0,37,"The ball is cleared after Kenan Yildiz (Turkey) attempted to dribble past an opposing player.",general,General,Yildiz,Turkey,93
czech_republic_turkey,37,0,37,"Istvan Kovacs shows a yellow card to Kenan Yildiz (Turkey) for his blatant foul.",key_event,Yellow Card,Yildiz,Turkey,78
czech_republic_turkey,39,0,39,"The game is interrupted now, Vladimir Coufal (Czech Republic) picks up a knock and the physio has to come on.",general,General,Coufal,Czech Republic,116
