match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
poland_austria,0,0,0,"Halil Umut Meler will referee today's match.",general,General,Meler,Both,48
poland_austria,0,0,0,"The match will be delayed due to minute of silence.",general,General,,Both,56
poland_austria,0,0,0,"The players are out and the match is about to start. Austria will have the kick-off.",general,Kick Off,,Austria,87
poland_austria,1,0,1,"The first half has just begun.",key_event,Kick Off,,Both,32
poland_austria,1,0,1,"A pass into the penalty area from Marcel Sabitzer (Austria) is intercepted by the defence.",general,General,Sabitzer,Austria,101
poland_austria,1,0,1,"Stefan Posch (Austria) tries his luck with a long-range effort after receiving a precise pass, but Wojciech Szczesny has a clear view of it and makes a comfortable save.",key_event,Save,"Posch, Szczesny",Austria,177
poland_austria,3,0,3,"Phillipp Mwene (Austria) picks out Marko Arnautovic with a fine lofted pass, but the latter wasn't able to create some space to get into shooting range.",general,General,"Mwene, Arnautovic",Austria,164
poland_austria,4,0,4,"Marcel Sabitzer (Austria) tries to find Marko Arnautovic, but he puts too much power on the pass. The ball goes out of play and Poland will have a goal kick.",general,General,"Sabitzer, Arnautovic",Austria,162
poland_austria,5,0,5,"Stefan Posch (Austria) sends a lofted cross into the penalty area. Unfortunately for him, the opponent's defence deals with his cross comfortably and intercepts it. The ball is out of play. Austria will have a chance to score from a corner.",general,Corner,Posch,Austria,236
poland_austria,5,0,5,"The goalkeeper punched the ball away after Marcel Sabitzer (Austria) took the corner.",general,Corner,"Szczesny, Sabitzer",Austria,88
poland_austria,7,0,7,"Pawel Dawidowicz (Poland) pulls the jersey of one of the opposition players and Halil Umut Meler blows his whistle for a foul. Austria have a free kick.",general,Free Kick,Dawidowicz,Poland,165
poland_austria,7,0,7,"A poorly executed mid-range free kick by Marcel Sabitzer (Austria) as he fails to deliver a decent cross. The ball is off of the pitch and it's a goal kick for Poland.",general,Free Kick,Sabitzer,Austria,175
poland_austria,8,0,8,"Marcel Sabitzer (Austria) puts a cross into the box from the free kick but it's cleared.",general,Free Kick,Sabitzer,Austria,92
poland_austria,9,0,9,"Phillipp Mwene displays his great technique and produces a beautiful lofted cross deep into the box. Gernot Trauner (Austria) gets onto the scoresheet by superbly heading it into the top left corner - 0:1.",key_event,Goal,"Mwene, Trauner",Austria,213
poland_austria,10,0,10,"Marcel Sabitzer (Austria) is caught off guard a bit when the ball lands at his feet, causing him to rush a first-time shot that is easily blocked by an opposition player.",general,General,Sabitzer,Austria,175
poland_austria,12,0,12,"Phillipp Mwene (Austria) delivers a promising cross into the box, but it's cleared.",general,General,Mwene,Austria,86
poland_austria,15,0,15,"Christoph Baumgartner passes to Marko Arnautovic (Austria), but he produces a wild shot from the edge of the box which goes well wide of the right post.",key_event,Shot,"Baumgartner, Arnautovic",Austria,164
poland_austria,17,0,17,"Marcel Sabitzer (Austria) receives a precise pass inside the box and drills a promising first-time blast towards the middle of the goal. His effort is blocked by Wojciech Szczesny who dives to keep the ball out. What a save!",key_event,Save,"Sabitzer, Szczesny",Austria,232
poland_austria,17,0,17,"Piotr Zielinski (Poland) unleashed a monstrous piledriver. He controlled a pass, glanced up at goal and shot from the edge of the box. It could have been a difficult one for the keeper, but the ball fortunately hit one of the defenders and ball bounced away.",key_event,Shot,Zielinski,Poland,246
poland_austria,18,0,18,"Surely that's handball by one of the Austria players in the box, but the referee just waves play on!",general,General,,Austria,110
poland_austria,18,0,18,"Nicola Zalewski (Poland) rips an amazing volley from deep inside the box that goes narrowly over the crossbar.",key_event,Shot,Zalewski,Poland,118
poland_austria,21,0,21,"Halil Umut Meler has a clear sight and sees a foul from Stefan Posch (Austria).",general,General,Posch,Austria,81
poland_austria,23,0,23,"The referee stops play as the linesman flags Marko Arnautovic (Austria) offside.",general,Offside,Arnautovic,Austria,84
poland_austria,24,0,24,"Krzysztof Piatek (Poland) dinks a cross into the box in an attempt to find one of his teammates, but the defence manages to clear. Piotr Zielinski (Poland) receives a rebound and has a go from distance. His shot flies towards the goal, but is blocked at the last moment by a defender.",general,General,"Piatek, Zielinski",Poland,271
poland_austria,27,0,27,"The defence had a hard time blocking out the strike from Piotr Zielinski (Poland). He didn't hesitate and finished from outside the box right after he had received a pass from his teammate.",general,General,Zielinski,Poland,186
poland_austria,29,0,29,"Przemyslaw Frankowski (Poland) whips the ball in, but it fails to reach any of his teammates as the opposition's defence averts the threat. Poland win a corner.",general,Corner,Frankowski,Poland,168
poland_austria,30,0,30,"Piotr Zielinski (Poland) takes the corner kick and sends a lovely ball into the penalty area, but the opposition's defence is ready and knocks the ball to safety.",general,Corner,Zielinski,Poland,175
poland_austria,30,0,30,"It's in the back of the net! Jan Bednarek has a shot blocked, but the ball falls to Krzysztof Piatek (Poland) who finds some space inside the box and buries the ball into the bottom right corner. The score is 1:1.",key_event,Goal,"Bednarek, Piatek",Poland,220
