data_source,minute,sequence_rank,real_commentary,real_type,our_sequence_commentary,sequence_id,average_score,average_score_no_sentiment,TF-IDF,Embeddings_BERT,content_overlap_ratio,real_sentiment,our_sentiment,sentiment_diff,real_word_count,our_word_count,real_content_words,our_content_words,matching_content_words,real_unique_players,our_unique_players,matching_players,entity_players_match,real_unique_teams,our_unique_teams,matching_teams,entity_teams_match,real_unique_events,our_unique_events,matching_events,entity_events_match,real_player_mentions,our_player_mentions,real_player_repetitions,our_player_repetitions,real_team_mentions,our_team_mentions,real_team_repetitions,our_team_repetitions,real_event_mentions,our_event_mentions,real_event_repetitions,our_event_repetitions,ner_score,average_score_with_ner
FLASHSCORE,1,1,The first half has just begun.,Kick Off,[Kick Off] The first half begins. Group Stage match between Poland and Netherlands!,3172,0.4296678791791167,0.2865399063924904,0.2105089159401429,0.49526465,0.1538461538461538,0.0417455025017261,0.1826937049627304,0.1409482024610042,6,13,4,11,2,0,3,0,0.0,0,2,0,0.0,0,0,0,0.0,0,3,0,0,0,2,0,0,0,0,0,0,0.5,0.4437343034650585
FLASHSCORE,2,1,"CHANCE! Cody Gakpo (Netherlands) goes very close! He gathers a cross inside the box and fires a low shot to the bottom left corner, but Wojciech Szczesny produces an excellent save. The ball goes behind for a corner. Netherlands will have an opportunity to threaten the opposition's goal.",Save,[Shot Saved] Attempt saved. Cody Gakpo's right-footed shot from the right side of the box denied by Wojciech Szczęsny.,3173,0.3186421423058407,0.3224274070098263,0.2004521258064608,0.62397295,0.1428571428571428,0.6926265358924866,-8.711591362953186e-05,0.6927136518061161,48,19,31,15,5,3,4,1,0.3333333333333333,1,0,0,0.0,6,3,2,0.3333333333333333,3,4,0,0,2,0,1,0,7,5,1,2,0.4,0.3349137133714975
FLASHSCORE,3,1,Joey Veerman (Netherlands) puts a cross into the box from the corner but there is no panic from the opposition and they easily clear.,Corner,"[Corner] Corner for the Netherlands, delivered by Joey Veerman. Conceded by Wojciech Szczęsny.",3174,0.4658814027946608,0.3654895054852189,0.2261226715136761,0.6350517,0.2352941176470588,0.2772645652294159,0.0443216599524021,0.2329429052770137,24,13,13,9,4,1,4,1,1.0,1,1,1,1.0,2,1,1,0.5,1,4,0,0,1,1,0,0,2,2,0,1,0.8181818181818182,0.5363414804131079
FLASHSCORE,4,1,Memphis Depay (Netherlands) slips through the defence and passes the ball in from the edge of the box. Cody Gakpo picks it up but loses it to one of the defenders.,General,"[Corner] Corner for Netherlands, delivered by Bart Verbruggen. Early pressure from the Dutch.",3175,0.3792859286443737,0.1888039892416989,0.1493088456151447,0.37362486,0.0434782608695652,0.0246414020657539,0.073909655213356,0.049268253147602,31,13,16,9,1,2,4,0,0.0,1,1,1,1.0,1,1,0,0.0,2,4,0,0,1,1,0,0,1,2,0,1,0.23076923076923078,0.34958258882126775
FLASHSCORE,6,1,"Cody Gakpo receives a sweet cross inside the box from Denzel Dumfries (Netherlands), but one of the defenders rushes in bravely to intercept the ball.",General,[Shot Missed] Attempt missed. Cody Gakpo's header from the center of the box goes wide.,3177,0.3495508448652803,0.3283887949416874,0.3037672467476166,0.55096436,0.1304347826086956,0.0965509787201881,-0.490412026643753,0.5869630053639412,25,15,16,11,3,2,3,1,0.5,1,0,0,0.0,1,3,0,0.0,2,3,0,0,1,0,0,0,1,3,0,0,0.3076923076923077,0.34117913833693575
FLASHSCORE,8,1,"Artur Soares Dias blows the whistle, Przemyslaw Frankowski (Poland) is penalised for a foul.",General,[Shot Missed] Attempt missed. Bartosz Salamon's right footed shot from midfield goes wide.,3179,0.2581269331276417,0.1051793793837229,0.0,0.31553814,0.0,-0.2080900222063064,-0.4911204278469085,0.2830304056406021,14,13,10,12,0,3,3,0,0.0,1,0,0,0.0,1,2,0,0.0,3,3,0,0,1,0,0,0,1,3,0,1,0.0,0.2065015468718796
FLASHSCORE,8,2,Cody Gakpo (Netherlands) tries to pass the ball into the penalty area but it's blocked. It will be a corner kick for Netherlands.,Corner,[Shot Missed] Attempt missed. Bartosz Salamon's right footed shot from midfield goes wide.,3179,0.2481717960909009,0.1406923234462738,0.0,0.42207697,0.0,-0.0617306418716907,-0.4911204278469085,0.4293897859752178,23,13,13,12,0,2,3,0,0.0,1,0,0,0.0,4,2,0,0.0,2,3,0,0,2,0,1,0,4,3,0,1,0.0,0.19853743680495645
FLASHSCORE,9,1,"Joey Veerman (Netherlands) sends in the corner, but fails to find the head of any of his teammates, allowing the defence to clear.",Corner,[Shot Missed] Attempt missed. Tijjani Reijnders' right footed shot from the centre of the box goes over the bar.,3180,0.3253854812390244,0.2224059056847143,0.220189020517125,0.4470287,0.0,-0.0861671715974807,-0.4518429636955261,0.3656757920980453,23,19,13,14,0,1,3,0,0.0,1,0,0,0.0,1,2,0,0.0,1,3,0,0,1,0,0,0,1,3,0,1,0.0,0.2603083856838159
FLASHSCORE,10,1,"Adam Buksa (Poland) receives a sweet pass inside the box, but his effort on goal is blocked by the defender.",General,[Shot Blocked] Attempt blocked. Adam Buksa's right footed shot from the left side of the box denied by Virgil van Dijk.,3181,0.4633463125662579,0.3732201404851773,0.271017004747366,0.66682523,0.1818181818181818,0.0481160022318363,-0.2181591689586639,0.2662751711905002,20,21,12,16,4,2,5,1,0.5,1,0,0,0.0,4,3,1,0.25,2,5,0,0,1,0,0,0,4,5,0,2,0.46153846153846156,0.46298474138270185
FLASHSCORE,10,2,What a big chance! Tijjani Reijnders (Netherlands) picks up an inch-perfect pass inside the box and fires the ball a whisker wide of the right post.,Shot,[Shot Blocked] Attempt blocked. Adam Buksa's right footed shot from the left side of the box denied by Virgil van Dijk.,3181,0.1336861779558247,0.2187099066399979,0.1875189225942238,0.40194413,0.0666666666666666,0.903225839138031,-0.2181591689586639,1.121385008096695,26,21,18,16,2,2,5,0,0.0,1,0,0,0.0,2,3,0,0.0,2,5,0,0,1,0,0,0,2,5,0,2,0.0,0.10694894223283909
