data_source,minute,sequence_rank,real_commentary,real_type,our_sequence_commentary,sequence_id,average_score,average_score_no_sentiment,TF-IDF,Embeddings_BERT,content_overlap_ratio,real_sentiment,our_sentiment,sentiment_diff,real_word_count,our_word_count,real_content_words,our_content_words,matching_content_words,real_unique_players,our_unique_players,matching_players,entity_players_match,real_unique_teams,our_unique_teams,matching_teams,entity_teams_match,real_unique_events,our_unique_events,matching_events,entity_events_match,real_player_mentions,our_player_mentions,real_player_repetitions,our_player_repetitions,real_team_mentions,our_team_mentions,real_team_repetitions,our_team_repetitions,real_event_mentions,our_event_mentions,real_event_repetitions,our_event_repetitions,ner_score
SPORTS_MOLE,1,1,"KICKOFF:  France kick off, and we are under way in Dusseldorf!",Kick Off,"[0:49] Antoine Griezmann under pressure, carries the ball - BUT LOSES IT! . Jeremy Doku loses control under pressure! . 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Belgium and France. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Antoine Griezmann under pressure, plays a medium pass along the ground to Adrien Rabiot into the central attacking third, Adrien Rabiot under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Belgium and France. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Adrien Rabiot under pressure, plays a short pass along the ground to Antoine Griezmann into the left attacking third",8,0.3930114771474631,0.2529307359522224,0.1432166505717825,0.5266866683959961,0.0888888888888888,0.1647304594516754,0.3514767587184906,0.1867462992668151,11,127,7,91,4,1,7,0,0.0,1,2,1,1.0,0,2,0,0.0,1,7,0,0,1,4,0,2,0,4,0,2,0.42857142857142855
SPORTS_MOLE,1,2,"KICKOFF:  France kick off, and we are under way in Dusseldorf!",Kick Off,"[0:00] Starting XI . Starting XI . Half Start . Half Start . 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Belgium and France. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Marcus Thuram under pressure, plays a short pass back along the ground to Aurélien Djani Tchouaméni",1,0.2897111965782756,0.2907933352480085,0.1245161922935637,0.6426006555557251,0.1052631578947368,0.1647304594516754,0.8782656788825989,0.7135352194309235,11,60,7,40,4,1,8,0,0.0,1,2,1,1.0,0,2,0,0.0,1,8,0,0,1,2,0,0,0,2,0,0,0.42857142857142855
SPORTS_MOLE,1,3,"KICKOFF:  France kick off, and we are under way in Dusseldorf!",Kick Off,"[0:41] 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Belgium and France. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Jules Koundé under pressure, plays a medium pass forward along the ground to Antoine Griezmann, Antoine Griezmann under pressure, carries the ball - BUT LOSES IT! . Arthur Theate closes down Antoine Griezmann . 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Belgium and France. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Antoine Griezmann under MASSIVE pressure, plays a short pass along the ground to N'Golo Kanté, N'Golo Kanté under pressure, carries the ball - BUT LOSES IT!",6,0.2599638480575457,0.2649244273545443,0.1421645245147709,0.5637198686599731,0.0888888888888888,0.1647304594516754,0.9196483492851256,0.7549178898334503,11,123,7,86,4,1,8,0,0.0,1,2,1,1.0,0,2,0,0.0,1,8,0,0,1,4,0,2,0,4,0,2,0.42857142857142855
SPORTS_MOLE,1,4,"KICKOFF:  France kick off, and we are under way in Dusseldorf!",Kick Off,"[0:21] Jules Koundé under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Belgium and France. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Jules Koundé under pressure, plays a short pass along the ground to Dayotchanculle Upamecano, Dayotchanculle Upamecano under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Belgium and France. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Dayotchanculle Upamecano under pressure, plays a long pass along the ground to Adrien Rabiot, Adrien Rabiot under pressure, drives forward with the ball",4,0.2590171141782517,0.2629607079239838,0.1502545588648775,0.538627564907074,0.1,0.1647304594516754,0.91754412651062,0.7528136670589447,11,114,7,83,4,1,7,0,0.0,1,2,1,1.0,0,2,0,0.0,1,7,0,0,1,4,0,2,0,4,0,2,0.42857142857142855
SPORTS_MOLE,1,5,"KICKOFF:  France kick off, and we are under way in Dusseldorf!",Kick Off,"[0:04] Antoine Griezmann under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Belgium and France. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Antoine Griezmann under pressure, plays a medium pass back along the ground to Jules Koundé, Jules Koundé under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Belgium and France. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Jules Koundé under pressure, plays a long pass along the ground to William Saliba, William Saliba under pressure, carries the ball",2,0.258818319008965,0.2574751748856157,0.1495503049205033,0.5203111171722412,0.1025641025641025,0.1647304594516754,0.9018827080726624,0.7371522486209869,11,113,7,83,4,1,7,0,0.0,1,2,1,1.0,0,2,0,0.0,1,7,0,0,1,4,0,2,0,4,0,2,0.42857142857142855
SPORTS_MOLE,1,6,"KICKOFF:  France kick off, and we are under way in Dusseldorf!",Kick Off,"[0:13] 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Belgium and France. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Theo Bernard François Hernández under pressure, plays a medium pass forward along the ground to Kylian Mbappé Lottin, Kylian Mbappé Lottin under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Belgium and France. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Kylian Mbappé Lottin under pressure, plays a short pass back along the ground to Theo Bernard François Hernández, Theo Bernard François Hernández under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Belgium and France. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Theo Bernard François Hernández under pressure, plays a medium pass back along the ground to William Saliba",3,0.2473677380538105,0.2515017467943986,0.1440759977833536,0.5174059867858887,0.0930232558139534,0.1647304594516754,0.9297647476196288,0.7650342881679535,11,164,7,122,4,1,7,0,0.0,1,2,1,1.0,0,2,0,0.0,1,7,0,0,1,6,0,4,0,6,0,4,0.42857142857142855
SPORTS_MOLE,1,7,"KICKOFF:  France kick off, and we are under way in Dusseldorf!",Kick Off,"[0:55] Theo Bernard François Hernández under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Belgium and France. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Theo Bernard François Hernández under pressure, plays a medium pass forward along the ground to Kylian Mbappé Lottin into the right attacking third, Kylian Mbappé Lottin receives under pressure in the right attacking third under pressure, carries the ball - BUT LOSES IT! . Jeremy Doku closes down Kylian Mbappé Lottin",9,0.2466663092958564,0.2256125669462991,0.1373300344262327,0.4578750133514404,0.0816326530612244,0.1647304594516754,0.8549029231071472,0.6901724636554718,11,92,7,69,4,1,7,0,0.0,1,2,1,1.0,0,2,0,0.0,1,7,0,0,1,2,0,0,0,2,0,0,0.42857142857142855
SPORTS_MOLE,1,8,"KICKOFF:  France kick off, and we are under way in Dusseldorf!",Kick Off,"[0:33] Kylian Mbappé Lottin under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Belgium and France. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Kylian Mbappé Lottin under pressure, plays a short pass along the ground to Theo Bernard François Hernández, Theo Bernard François Hernández under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Belgium and France. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Theo Bernard François Hernández under pressure, plays a medium pass back along the ground to William Saliba, William Saliba under pressure, carries the ball",5,0.239075199998113,0.2315558310835792,0.1446715883736656,0.454757809638977,0.0952380952380952,0.1647304594516754,0.9030971527099608,0.7383666932582855,11,121,7,91,4,1,7,0,0.0,1,2,1,1.0,0,2,0,0.0,1,7,0,0,1,4,0,2,0,4,0,2,0.42857142857142855
SPORTS_MOLE,1,9,"KICKOFF:  France kick off, and we are under way in Dusseldorf!",Kick Off,"[0:45] Marcus Thuram under pressure, carries the ball - BUT LOSES IT! . Amadou Onana closes down Marcus Thuram, Jan Vertonghen closes down the ball carrier . Marcus Thuram is dispossessed by Jan Vertonghen! . Jan Vertonghen in the duel",7,0.2214708045030016,0.1141878882917269,0.037970952516186,0.2591381669044494,0.0454545454545454,0.1647304594516754,-0.291949987411499,0.4566804468631744,11,40,7,27,1,1,3,0,0.0,1,0,0,0.0,0,0,0,0.0,1,3,0,0,1,0,0,0,0,0,0,0,0.0
SPORTS_MOLE,2,1,"Early on, France put a half-chance wide, as Rabiot prods the ball several yards to the left of Casteels' goal. It was a tough volley to execute, in all fairness to the Juventus midfielder.",General,"[1:31] Koen Casteels under pressure, carries the ball From the goal kick, Koen Casteels under pressure, plays a short pass forward along the ground to Amadou Onana, Amadou Onana under pressure, carries the ball From the goal kick, Amadou Onana under pressure, plays a medium pass along the ground to Jan Vertonghen, Jan Vertonghen under pressure, carries the ball",12,0.4418597009795633,0.2575689284526941,0.2368973393325432,0.454728364944458,0.081081081081081,0.0237605348229408,0.0184925533831119,0.0052679814398288,34,59,21,45,3,5,4,1,0.2,1,0,0,0.0,3,3,1,0.3333333333333333,5,4,0,0,1,0,0,0,3,6,0,3,0.16
