match_id,minute,period,home_team,away_team,home_score,away_score,stage,detected_type,player,team,llm_commentary,model,agent_model,momentum_used,chain_used,generated_at
3942227,0,1,England,Switzerland,0,0,Quarter-finals,Kick Off,,England,"[Kick Off] The Quarter-finals are underway! England versus Switzerland, both teams aiming for glory.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:25:51.137760
3942227,1,1,England,Switzerland,0,0,Quarter-finals,General,Phil Foden,England,"[General] Switzerland dominating the midfield early, holding 82% possession.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:25:53.732466
3942227,2,1,England,Switzerland,0,0,Quarter-finals,General,Kyle Walker,England,"[General] Switzerland in control, dominating midfield for the last 2 minutes. Aebischer leading the charge with six events.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:25:56.231100
3942227,3,1,England,Switzerland,0,0,Quarter-finals,General,Manuel Obafemi Akanji,Switzerland,"[General] England dominating early possession with 94%, Mainoo leading the charge in midfield.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:25:58.588557
3942227,4,1,England,Switzerland,0,0,Quarter-finals,General,Ruben Vargas,Switzerland,"[General] Switzerland dominating midfield early on with 80% possession, Schär leading the way.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:26:00.993707
3942227,5,1,England,Switzerland,0,0,Quarter-finals,General,John Stones,England,"[General] England firmly in control early on, dominating midfield with 100% possession.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:26:03.344766
3942227,6,1,England,Switzerland,0,0,Quarter-finals,Free Kick,Manuel Obafemi Akanji,Switzerland,[Foul] Foul by England on Akanji. Free kick awarded to Switzerland in their defensive half.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:26:05.166844
3942227,7,1,England,Switzerland,0,0,Quarter-finals,Free Kick,Dan Ndoye,Switzerland,[Foul] Foul by Declan Rice (England) on Dan Ndoye (Switzerland) in the defensive half.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:26:07.083639
3942227,8,1,England,Switzerland,0,0,Quarter-finals,General,Granit Xhaka,Switzerland,"[General] Switzerland dominating the midfield early, maintaining 100% possession. Rieder is highly active.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:26:09.776469
3942227,9,1,England,Switzerland,0,0,Quarter-finals,Shot (Off T),Breel-Donald Embolo,Switzerland,[Shot Missed] Attempt missed! Breel-Donald Embolo's right-footed shot goes wide from the six-yard box.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:26:10.923688
