match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
spain_croatia,0,0,0,"The current period has begun.",key_event,Kick Off,,Both,30
spain_croatia,1,0,1,"Spain awarded a throw-in in their own half.",general,General,,Spain,45
spain_croatia,3,0,3,"Michael Oliver signals a free kick to Croatia.",general,Free Kick,Oliver,Croatia,47
spain_croatia,4,0,4,"Throw-in for Croatia in their own half.",general,General,,Croatia,40
spain_croatia,6,0,6,"Croatia have a goal kick.",general,General,,Croatia,25
spain_croatia,7,0,7,"In Berlin Spain drive forward through Alvaro Morata. His shot is on target but it's saved.",general,General,Morata,Spain,97
spain_croatia,8,0,8,"Can Spain get the ball into an attacking position from this throw-in in Croatia's half?",general,General,,Spain,91
spain_croatia,10,0,10,"Free kick Spain.",general,Free Kick,,Spain,17
spain_croatia,10,0,10,"Goal kick for Croatia at Olympiastadion Berlin.",general,General,,Croatia,50
spain_croatia,11,0,11,"Croatia to take a throw-in in Spain territory.",general,General,,Croatia,47
spain_croatia,12,0,12,"Ball goes out of play for a Croatia goal kick.",general,General,,Croatia,47
spain_croatia,12,0,12,"Croatia awarded a free kick in their own half.",general,Free Kick,,Croatia,47
spain_croatia,14,0,14,"Michael Oliver awards Spain a goal kick.",general,General,Oliver,Spain,42
spain_croatia,14,0,14,"Michael Oliver signals a free kick to Croatia.",general,Free Kick,Oliver,Croatia,47
spain_croatia,15,0,15,"Croatia have a goal kick.",general,General,,Croatia,25
spain_croatia,16,0,16,"Michael Oliver signals a Croatia throw-in in Spain's half.",general,General,Oliver,Croatia,58
spain_croatia,16,0,16,"Throw-in for Croatia close to the penalty box.",general,General,,Croatia,49
spain_croatia,17,0,17,"Can Croatia capitalize from this dangerous free kick?",general,Free Kick,,Croatia,56
spain_croatia,18,0,18,"Michael Oliver signals a Croatia throw-in in Spain's half.",general,General,Oliver,Croatia,58
spain_croatia,18,0,18,"Throw-in for Spain at Olympiastadion Berlin.",general,General,,Spain,49
spain_croatia,19,0,19,"Can Spain get the ball into an attacking position from this throw-in in Croatia's half?",general,General,,Spain,91
spain_croatia,20,0,20,"Michael Oliver signals a free kick to Croatia in their own half.",general,Free Kick,Oliver,Croatia,64
spain_croatia,20,0,20,"Croatia to take a throw-in in Spain territory.",general,General,,Croatia,47
spain_croatia,22,0,22,"Spain are too eager and fall into an offside trap.",general,Offside,,Spain,51
spain_croatia,23,0,23,"Croatia attack but Ante Budimir's header doesn't find the target.",general,General,Budimir,Croatia,67
spain_croatia,23,0,23,"Goal kick for Spain at Olympiastadion Berlin.",general,General,,Spain,49
spain_croatia,23,0,23,"Michael Oliver awards Spain a goal kick.",general,General,Oliver,Spain,42
spain_croatia,24,0,24,"Ball safe as Croatia is awarded a throw-in in their half.",general,General,,Croatia,60
spain_croatia,25,0,25,"Free kick Spain.",general,Free Kick,,Spain,17
spain_croatia,25,0,25,"Can Spain get the ball into an attacking position from this throw-in in Croatia's half?",general,General,,Spain,91
spain_croatia,26,0,26,"Ball goes out of play for a Croatia goal kick.",general,General,,Croatia,47
spain_croatia,29,0,29,"Alvaro Morata is on target to give Spain a 1-0 advantage.",key_event,Goal,Morata,Spain,60
spain_croatia,30,0,30,"Croatia pushes forward through Mateo Kovacic, whose finish on goal is saved.",general,General,Kovacic,Croatia,83
spain_croatia,31,0,31,"Throw-in Spain.",general,General,,Spain,17
spain_croatia,31,0,31,"Ball safe as Spain is awarded a throw-in in their half.",general,General,,Spain,58
spain_croatia,32,0,32,"Great finish from Fabian Ruiz to give Spain a 2-0 lead.",key_event,Goal,Ruiz,Spain,59
spain_croatia,33,0,33,"Marcelo Brozovic of Croatia smashes in a shot on target. The keeper saves, though.",general,General,Brozovic,Croatia,83
spain_croatia,34,0,34,"Croatia's Lovro Majer misses with an attempt on goal.",general,General,Majer,Croatia,57
spain_croatia,34,0,34,"Michael Oliver awards Spain a goal kick.",general,General,Oliver,Spain,42
spain_croatia,34,0,34,"Spain awarded a throw-in in their own half.",general,General,,Spain,46
spain_croatia,34,0,34,"Throw-in for Spain in their own half.",general,General,,Spain,39
spain_croatia,35,0,35,"Spain awarded a free kick in their own half.",general,Free Kick,,Spain,45
spain_croatia,36,0,36,"Corner awarded to Spain.",general,Corner,,Spain,25
spain_croatia,36,0,36,"Robin Le Normand (Spain) wins the ball in the air but heads wide.",general,Corner,Le Normand,Spain,67
spain_croatia,36,0,36,"Ball goes out of play for a Croatia goal kick.",general,General,,Croatia,47
spain_croatia,36,0,36,"Spain to take a throw-in in Croatia territory.",general,General,,Spain,47
spain_croatia,37,0,37,"Croatia have a goal kick.",general,General,,Croatia,25
spain_croatia,39,0,39,"The match has been stopped briefly for attention to the injured Pedri.",general,Injury,Pedri,Spain,73
spain_croatia,40,0,40,"Spain's Pedri is on his feet again at Olympiastadion Berlin.",general,Injury,Pedri,Spain,60
spain_croatia,40,0,40,"Throw-in for Croatia at Olympiastadion Berlin.",general,General,,Croatia,49
spain_croatia,41,0,41,"Free kick Croatia.",general,Free Kick,,Croatia,19
