match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
ukraine_belgium,0,0,0,"Anthony Taylor will referee today's match.",general,General,Taylor,Both,47
ukraine_belgium,0,0,0,"The players are out at last! Belgium will take the kick-off.",general,Kick Off,,Belgium,61
ukraine_belgium,1,0,1,"The match has just started.",key_event,Kick Off,,Both,28
ukraine_belgium,1,0,1,"Roman Yaremchuk (Ukraine) sends a pass into the box, but the opposition's defence is alert to the danger and makes a clearance. Ukraine will take a corner kick.",general,Corner,Yaremchuk,Ukraine,166
ukraine_belgium,1,0,1,"Georgiy Sudakov (Ukraine) rolls the ball short to a teammate from the corner instead of sending a cross into the box.",general,Corner,Sudakov,Ukraine,123
ukraine_belgium,2,0,2,"Georgiy Sudakov (Ukraine) whips the ball in, but it fails to reach any of his teammates as the opposition's defence averts the threat.",general,General,Sudakov,Ukraine,141
ukraine_belgium,2,0,2,"Arthur Theate (Belgium) attempts to find one of his teammates, but puts far too much on the pass and the chance is gone.",general,General,Theate,Belgium,127
ukraine_belgium,4,0,4,"Vitali Mykolenko (Ukraine) sends a cross into the box, but Koen Casteels comes off his line to gather the ball.",general,General,"Mykolenko, Casteels",Ukraine,120
ukraine_belgium,5,0,5,"Arthur Theate (Belgium) attempts to send over a cross in order to find one of his teammates, but an opposition defender averts the danger by intercepting the effort.",general,General,Theate,Belgium,172
ukraine_belgium,6,0,6,"Youri Tielemans (Belgium) plays a through ball but overhits it.",general,General,Tielemans,Belgium,62
ukraine_belgium,6,0,6,"Anthony Taylor blows his whistle. Wout Faes (Belgium) commits a foul after dangerous play.",general,General,Faes,Belgium,94
ukraine_belgium,7,0,7,"Romelu Lukaku (Belgium) receives a diagonal pass, bursts into the box and shoots towards the bottom left corner. Anatoliy Trubin is well positioned, though, and it's a comfortable save.",key_event,Save,"Lukaku, Trubin",Belgium,189
ukraine_belgium,10,0,10,"Anthony Taylor blows his whistle for a foul after Ilya Zabarnyi (Ukraine) hacks down one of his opponents.",general,General,Zabarnyi,Ukraine,111
ukraine_belgium,11,0,11,"Youri Tielemans (Belgium) delivers a lovely cross into the penalty area. Nevertheless, an opposition defender is alert and averts the danger with a brilliant clearance.",general,General,Tielemans,Belgium,173
ukraine_belgium,12,0,12,"Kevin De Bruyne (Belgium) tries to latch onto a through ball, but it's too long. The ball is off of the pitch and it's a goal kick for Ukraine.",general,General,De Bruyne,Belgium,143
ukraine_belgium,13,0,13,"Kevin De Bruyne (Belgium) slides a pass forward, but one of the defenders cuts it out. Belgium have been awarded a corner kick.",general,Corner,De Bruyne,Belgium,136
ukraine_belgium,14,0,14,"Kevin De Bruyne (Belgium) takes the corner kick but the ball only finds the head of an opponent. The ball goes out of play. Belgium are awarded a corner kick.",general,Corner,De Bruyne,Belgium,159
ukraine_belgium,14,0,14,"Kevin De Bruyne (Belgium) takes the corner but fails to find any of his teammates as he overhits the effort.",general,Corner,De Bruyne,Belgium,118
ukraine_belgium,16,0,16,"The Belgium players are exchanging some short passes to try and open up the opposition's defence and hit them swiftly on the break.",general,General,,Belgium,138
