match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
serbia_england,0,0,0,"Daniele Orsato will officiate today.",general,General,Orsato,Both,38
serbia_england,0,0,0,"England will kick the game off.",general,Kick Off,,England,30
serbia_england,1,0,1,"Today's match has just started, enjoy the game!",key_event,Kick Off,,Both,50
serbia_england,3,0,3,"England have been awarded a free kick. A clumsy foul by Sergej Milinkovic-Savic (Serbia) and Daniele Orsato blows his whistle.",general,Free Kick,Milinkovic-Savic,Serbia,145
serbia_england,4,0,4,"The free kick is delivered by Trent Alexander-Arnold (England) but it's not one of his best and is easily cleared.",general,Free Kick,Alexander-Arnold,England,131
serbia_england,6,0,6,"Kieran Trippier (England) was standing in a clear offside position, making it an easy call for the linesman.",general,Offside,Trippier,England,116
serbia_england,6,0,6,"Filip Kostic (Serbia) found some space to play in a lofted pass, but he looks disappointed as none of his teammates managed to connect with it.",general,General,Kostic,Serbia,160
serbia_england,8,0,8,"Bukayo Saka (England) races towards goal but the defender gets back well to make a challenge.",general,General,Saka,England,97
serbia_england,9,0,9,"Nemanja Gudelj (Serbia) gives away a foul for a fierce tackle on an opponent.",general,General,Gudelj,Serbia,81
serbia_england,10,0,10,"Daniele Orsato blows for a foul after Sasa Lukic (Serbia) was too aggressive in the battle for the ball. England have a free kick.",general,Free Kick,Lukic,Serbia,139
serbia_england,10,0,10,"Kieran Trippier (England) takes the free kick and immediately restarts play with a short pass.",general,Free Kick,Trippier,England,98
serbia_england,11,0,11,"John Stones (England) commits a foul and Daniele Orsato immediately signals a free kick.",general,General,Stones,England,96
serbia_england,13,0,13,"Bukayo Saka displays his great technique and produces a beautiful lofted cross deep into the box. Jude Bellingham (England) gets onto the scoresheet by superbly heading it into the roof of the net – 0:1.",key_event,Goal,"Saka, Bellingham",England,228
serbia_england,16,0,16,"The ball possession at the moment is 20:80.",general,General,,Both,45
serbia_england,18,0,18,"Andrija Zivkovic (Serbia) makes a bad challenge and the referee blows his whistle for a foul.",general,General,Zivkovic,Serbia,103
serbia_england,19,0,19,"Phil Foden races towards the box before laying off to Trent Alexander-Arnold (England), who picks it up but drags a shot well wide of the left post from the edge of the box.",key_event,Shot,"Foden, Alexander-Arnold",England,187
serbia_england,20,0,20,"Good chance! Aleksandar Mitrovic (Serbia) nicely turned his man inside the box but placed his effort just wide of the right post. He should have scored!",key_event,Shot,Mitrovic,Serbia,165
serbia_england,21,0,21,"Daniele Orsato couldn't ignore the rough tackle by Strahinja Pavlovic (Serbia) and blew his whistle. It's a free kick to England in a dangerous position.",general,Free Kick,Pavlovic,Serbia,162
serbia_england,23,0,23,"Dusan Vlahovic (Serbia) shoots from outside the box, but his effort is blocked.",general,General,Vlahovic,Serbia,84
serbia_england,26,0,26,"Kyle Walker (England) breaks past challenges inside the box, but puts too much pace on his pass to Harry Kane. The ball goes out of play and Serbia will have a goal kick.",general,General,"Walker, Kane",England,179
serbia_england,27,0,27,"The foul by Harry Kane (England) was seen by Daniele Orsato who didn't hesitate to blow the whistle.",general,General,Kane,England,111
serbia_england,29,0,29,"Nemanja Gudelj (Serbia) manages to dispossess his opponent of the ball, but he commits a foul in the process and the referee blows his whistle. England have a free kick.",general,Free Kick,Gudelj,Serbia,178
serbia_england,30,0,30,"Trent Alexander-Arnold (England) elects to shoot from distance instead of sending the free kick into the box, but the defensive wall manages to block the shot. Wasted opportunity!",general,Free Kick,Alexander-Arnold,England,197
serbia_england,31,0,31,"The defence is alert as they clear a dangerous cross from Bukayo Saka (England).",general,General,Saka,England,86
serbia_england,32,0,32,"The game is interrupted, a clear handball by Bukayo Saka (England).",general,General,Saka,England,70
serbia_england,33,0,33,"Andrija Zivkovic (Serbia) attempts to find the head of one of his teammates with a promising cross into the box, but a defender outjumps the attackers and averts the threat.",general,General,Zivkovic,Serbia,182
serbia_england,34,0,34,"An attempted cross from Filip Kostic (Serbia) is cleared.",general,General,Kostic,Serbia,58
serbia_england,35,0,35,"Another attempt to send the ball beyond the defence by Sergej Milinkovic-Savic (Serbia) is thwarted and cleared to safety.",general,General,Milinkovic-Savic,Serbia,140
serbia_england,37,0,37,"A pass by Bukayo Saka (England) ends up in no man's land, and the attacking effort comes to an end.",general,General,Saka,England,107
serbia_england,38,0,38,"Filip Kostic (Serbia) crosses into the box from near the side line, but he doesn't connect as he wanted and it's cleared by the well-organized defence.",general,General,Kostic,Serbia,163
serbia_england,38,0,38,"Andrija Zivkovic (Serbia) attempts to send over a cross in order to find one of his teammates, but an opposition defender averts the danger by intercepting the effort.",general,General,Zivkovic,Serbia,179
serbia_england,39,0,39,"Nemanja Gudelj (Serbia) is booked after bringing down an opponent. Daniele Orsato had an easy-decision to make.",key_event,Yellow Card,Gudelj,Serbia,123
serbia_england,41,0,41,"The game is interrupted now, Filip Kostic (Serbia) picks up a knock and the physio has to come on.",general,Injury,Kostic,Serbia,109
serbia_england,43,0,43,"Dragan Stojkovic is forced to make a change. Filip Kostic (Serbia) is not able to carry on due to injury. He is replaced by Filip Mladenovic.",key_event,Substitution,"Kostic, Mladenovic, Stojkovic",Serbia,151
serbia_england,45,0,45,"We will have 2 min. of added time.",general,General,,Both,40
