match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
netherlands_austria,0,0,0,"Today's referee will be Ivan Kruzliak.",general,General,Kruzliak,Both,42
netherlands_austria,0,0,0,"The players are on the pitch and Austria will have the kick-off.",general,Kick Off,,Austria,65
netherlands_austria,1,0,1,"Today's match has just started, enjoy the game!",key_event,Kick Off,,Both,51
netherlands_austria,2,0,2,"Alexander Prass (Austria) clips an inviting cross into the box, but there's no one in a position to get on the end of it.",general,General,Prass,Austria,126
netherlands_austria,3,0,3,"Philipp Lienhart (Austria) sends a promising through ball, but the defence is alert and cuts out the pass.",general,General,Lienhart,Austria,117
netherlands_austria,5,0,5,"The Austria players keep the ball and are exchanging a combination of passes. They are waiting for gaps in the defence to open up.",general,General,,Austria,138
netherlands_austria,6,0,6,"Marko Arnautovic (Austria) sends a cross into the box, but Bart Verbruggen comes off his line to gather the ball.",general,General,"Arnautovic, Verbruggen",Austria,127
netherlands_austria,6,0,6,"The score has changed! Donyell Malen (Netherlands) turned the ball into his own net.",key_event,Own Goal,Malen,Austria,92
netherlands_austria,9,0,9,"Jerdy Schouten (Netherlands) delivers a crossfield pass, but the ball is cut out before it reaches its intended target.",general,General,Schouten,Netherlands,134
netherlands_austria,10,0,10,"One of the defenders reacts at the last minute to brilliantly block a pass from Donyell Malen (Netherlands).",general,General,Malen,Netherlands,118
netherlands_austria,12,0,12,"Philipp Lienhart (Austria) attempts to find one of his teammates, but puts far too much on the pass and the chance is gone.",general,General,Lienhart,Austria,133
netherlands_austria,13,0,13,"Cody Gakpo (Netherlands) commits a rough foul. Ivan Kruzliak stops the game and makes a call.",general,General,Gakpo,Netherlands,98
netherlands_austria,14,0,14,"What a big chance! Tijjani Reijnders (Netherlands) picks up an inch-perfect pass inside the box and misses the net well wide of the right post.",key_event,Shot,Reijnders,Netherlands,152
netherlands_austria,15,0,15,"Marcel Sabitzer (Austria) tries to create a chance, but puts too much weight on his pass.",general,General,Sabitzer,Austria,95
netherlands_austria,15,0,15,"Stefan Posch (Austria) commits a rough challenge and Ivan Kruzliak blows his whistle for a foul.",general,General,Posch,Austria,104
netherlands_austria,16,0,16,"The referee blows his whistle as Lutsharel Geertruida (Netherlands) was too aggressive in his challenge.",general,General,Geertruida,Netherlands,115
netherlands_austria,17,0,17,"Maximilian Wober (Austria) makes a bad challenge and the referee blows his whistle for a foul.",general,General,Wober,Austria,98
netherlands_austria,19,0,19,"The ball possession at the moment is 40:60.",general,General,,Both,47
