match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
spain_england,0,0,0,"Francois Letexier will referee today's match.",general,General,Letexier,Both,46
spain_england,0,0,0,"The players are out and the match is about to start. England will have the kick-off.",general,Kick Off,,England,80
spain_england,1,0,1,"Here we go, today's match is starting right now.",key_event,Kick Off,,Both,48
spain_england,2,0,2,"A long cross from the side is directed to the well-positioned Lamine Yamal (Spain), but the defence gets it clear.",general,General,Yamal,Spain,119
spain_england,4,0,4,"Lamine Yamal (Spain) races towards goal but the defender gets back well to make a challenge.",general,General,Yamal,Spain,96
spain_england,5,0,5,"Dani Olmo (Spain) sends a lofted cross into the penalty area. Unfortunately for him, the opponent's defence deals with his cross comfortably and intercepts it.",general,General,Olmo,Spain,159
spain_england,5,0,5,"Nico Williams (Spain) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. Spain get a corner.",general,Corner,Williams,Spain,174
spain_england,5,0,5,"Nico Williams (Spain) swings in a dangerous cross from the resulting corner kick, but none of his teammates manage to outjump the defence.",general,Corner,Williams,Spain,140
spain_england,6,0,6,"Spain seem to be finding their feet as they enjoy some possession. Great movement by the offensive players allows the defenders to set up the attack.",general,General,,Spain,147
spain_england,8,0,8,"Dani Olmo (Spain) sends a quick through ball into space for his teammate who is lurking close to the offside line, but one of the defenders intercepts and clears the danger.",general,General,Olmo,Spain,173
spain_england,10,0,10,"Rodri (Spain) was trying to get to the ball but clattered into the legs of the opponent as well. Francois Letexier blows his whistle for an infringement.",general,General,Rodri,Spain,150
spain_england,11,0,11,"Marc Guehi (England) commits a foul during an attacking move.",general,General,Guehi,England,60
spain_england,12,0,12,"Nico Williams (Spain) goes on a weaving run through the defence and gets within shooting range but his effort is blocked. The referee points to the corner flag and Spain will take a corner.",general,Corner,Williams,Spain,186
spain_england,13,0,13,"Nico Williams (Spain) looks like he will be the one to try and deliver a quality ball into the penalty box from the corner kick.",general,Corner,Williams,Spain,127
spain_england,13,0,13,"Robin Le Normand (Spain) wins the ball from the corner kick and strikes. The effort lacks accuracy and goes miles wide of the left post.",key_event,Shot,Le Normand,Spain,137
spain_england,14,0,14,"Nico Williams (Spain) tries to send a pass but it's blocked.",general,General,Williams,Spain,58
spain_england,15,0,15,"Kyle Walker (England) sends a sweet pass into the penalty area, but one of the defenders averts the danger.",general,General,Walker,England,113
spain_england,16,0,16,"Phil Foden (England) launches a powerful cross from the corner into the box, but the ball is intercepted by the defender.",general,Corner,Foden,England,123
spain_england,17,0,17,"Declan Rice (England) receives a good pass just outside the box, unleashes a strike from a promising position, but the shot is blocked by the defender.",key_event,Shot,Rice,England,151
spain_england,19,0,19,"Another attempt to send the ball beyond the defence by Dani Olmo (Spain) is thwarted and cleared to safety.",general,General,Olmo,Spain,113
spain_england,19,0,19,"Daniel Carvajal (Spain) sends a cross into the box, but Jordan Pickford comes off his line to gather the ball.",general,General,"Carvajal, Pickford",Spain,116
spain_england,22,0,22,"Marc Cucurella (Spain) makes a strong challenge and Francois Letexier blows for a foul.",general,General,Cucurella,Spain,89
spain_england,23,0,23,"Lamine Yamal (Spain) sends a long ball in, but Jordan Pickford comfortably gathers the ball.",general,General,"Yamal, Pickford",Spain,95
spain_england,24,0,24,"A pass lands at the feet of Lamine Yamal (Spain) in the middle of the box, he looks up and shoots but the effort is superbly blocked by a defender.",key_event,Shot,Yamal,Spain,148
spain_england,24,0,24,"Spain take a short corner kick.",general,Corner,,Spain,30
spain_england,24,0,24,"A lofted cross from Nico Williams (Spain) is unsuccessful as the opponent's defence quickly clears the ball out of the penalty area.",general,General,Williams,Spain,130
spain_england,24,0,24,"Francois Letexier blows his whistle after Daniel Carvajal (Spain) kicks an opponent's legs instead of the ball.",general,General,Carvajal,Spain,116
