match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
turkey_netherlands,0,0,0,"The referee of today's match will be Clement Turpin.",general,General,Turpin,Both,54
turkey_netherlands,0,0,0,"The players are on the pitch and Netherlands will have the kick-off.",general,Kick Off,,Netherlands,68
turkey_netherlands,1,0,1,"The match has just started.",key_event,Kick Off,,Both,28
turkey_netherlands,1,0,1,"Memphis Depay (Netherlands) has a great chance to score from deep inside the box! He creates some space for the shot, but blazes it high over the crossbar. Very bad attempt.",key_event,Shot,Depay,Netherlands,174
turkey_netherlands,2,0,2,"Baris Alper Yilmaz (Turkey) is offside and the linesman raises his flag.",general,Offside,Yilmaz,Turkey,75
turkey_netherlands,4,0,4,"Tijjani Reijnders (Netherlands) slaloms his way past challenges, but an opposing player does well to get the ball away.",general,General,Reijnders,Netherlands,120
turkey_netherlands,7,0,7,"Memphis Depay (Netherlands) expertly controls the pass inside the penalty area and shoots, but it's inadvertently blocked a defender.",key_event,Shot,Depay,Netherlands,134
turkey_netherlands,7,0,7,"Cody Gakpo (Netherlands) is caught offside!",general,Offside,Gakpo,Netherlands,42
turkey_netherlands,8,0,8,"Clement Turpin blows his whistle and signals a foul after Xavi Simons (Netherlands) brought his opponent down.",general,General,Simons,Netherlands,114
turkey_netherlands,10,0,10,"Cody Gakpo (Netherlands) crosses the ball into the box, but one of the defending players averts the threat.",general,General,Gakpo,Netherlands,110
turkey_netherlands,11,0,11,"Salih Ozcan (Turkey) strikes from the edge of the box, but hits it really poorly and sends the ball way over the bar.",key_event,Shot,Ozcan,Turkey,123
turkey_netherlands,12,0,12,"Denzel Dumfries (Netherlands) is unable to feed an accurate cross into the box.",general,General,Dumfries,Netherlands,79
turkey_netherlands,12,0,12,"Xavi Simons (Netherlands) bangs the ball towards goal from the edge of the box, but it's rising all the way and sails high over the bar.",key_event,Shot,Simons,Netherlands,137
