match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
netherlands_france,0,0,0,"The referee of today's match will be Anthony Taylor.",general,General,Taylor,Both,56
netherlands_france,0,0,0,"The match will be delayed due to minute of silence.",general,General,,Both,56
netherlands_france,0,0,0,"Netherlands will kick the game off.",general,Kick Off,,Netherlands,36
netherlands_france,1,0,1,"Today's match has just started, enjoy the game!",key_event,Kick Off,,Both,51
netherlands_france,1,0,1,"Jeremie Frimpong (Netherlands) collects a great pass inside the box and misses a golden opportunity. His low drive is headed for the bottom left corner, but the goalkeeper pulls off a marvellous diving save and denies him. The ball goes behind for a corner. Netherlands will have an opportunity to threaten the opposition's goal.",key_event,Save,"Frimpong, Maignan",Netherlands,332
netherlands_france,2,0,2,"The resulting corner, taken by Memphis Depay (Netherlands), comes to nothing.",general,Corner,Depay,Netherlands,77
netherlands_france,4,0,4,"Antoine Griezmann (France) receives a clever pass and shoots from mid-range. His shot looks like it's going into the roof of the net, but Bart Verbruggen has other ideas and makes a brilliant save. France get a corner.",key_event,Save,"Griezmann, Verbruggen",France,221
netherlands_france,5,0,5,"Antoine Griezmann (France) takes a short corner kick.",general,Corner,Griezmann,France,57
netherlands_france,6,0,6,"Dayot Upamecano (France) plays a long ball to Marcus Thuram, but the defence is well organised and manages to get it clear.",general,General,"Upamecano, Thuram",France,140
netherlands_france,10,0,10,"Memphis Depay (Netherlands) plays a one-two with Cody Gakpo, but the move breaks down.",general,General,"Depay, Gakpo",Netherlands,93
netherlands_france,12,0,12,"The foul by Denzel Dumfries (Netherlands) was seen by Anthony Taylor who didn't hesitate to blow the whistle.",general,General,Dumfries,Netherlands,122
netherlands_france,13,0,13,"Jules Kounde (France) sends a beautiful cross into the penalty area, but the opposition's defence manages to clear the ball to safety.",general,General,Kounde,France,148
netherlands_france,14,0,14,"Antoine Griezmann is not given a chance to finish after receiving a sweet pass by Adrien Rabiot (France).",general,General,"Griezmann, Rabiot",France,120
netherlands_france,14,0,14,"Big chance! A simple pass from N'Golo Kante left Antoine Griezmann (France) with just the keeper to beat inside the box, but his shot went agonisingly just past the left post.",key_event,Shot,"Kante, Griezmann",France,185
netherlands_france,16,0,16,"Mike Maignan makes a brilliant save! Cody Gakpo (Netherlands) easily weaves through the defence and unleashes a shot from just outside of the box. His effort goes towards the bottom right corner but is saved by the keeper! The ball goes out for a corner. Netherlands can continue in their attacking effort.",key_event,Save,"Maignan, Gakpo",Netherlands,302
