data_source,minute,sequence_rank,real_commentary,real_type,our_sequence_commentary,sequence_id,average_score,average_score_no_sentiment,TF-IDF,Embeddings_BERT,content_overlap_ratio,real_sentiment,our_sentiment,sentiment_diff,real_word_count,our_word_count,real_content_words,our_content_words,matching_content_words,real_unique_players,our_unique_players,matching_players,entity_players_match,real_unique_teams,our_unique_teams,matching_teams,entity_teams_match,real_unique_events,our_unique_events,matching_events,entity_events_match,real_player_mentions,our_player_mentions,real_player_repetitions,our_player_repetitions,real_team_mentions,our_team_mentions,real_team_repetitions,our_team_repetitions,real_event_mentions,our_event_mentions,real_event_repetitions,our_event_repetitions,ner_score,average_score_with_ner
FOX,1,1,Goal kick for Spain at Olympiastadion.,General,"[Kick Off] The Final is underway! Spain versus England, both teams eager to claim glory.",105,0.2948942945579199,0.2800352793507454,0.1208107450608159,0.57643795,0.1428571428571428,0.2653328776359558,0.9258615374565125,0.6605286598205566,6,15,4,12,2,2,2,0,0.0,1,2,1,1.0,2,0,0,0.0,2,2,0,0,1,2,0,0,2,0,0,0,0.3333333333333333,0.30258210228614707
FOX,1,2,Francois Letexier signals a Spain throw-in in England's half.,General,"[Kick Off] The Final is underway! Spain versus England, both teams eager to claim glory.",105,0.1761838343769234,0.203202360847582,0.0854793537439359,0.40648067,0.1176470588235294,0.0209897924214601,0.9258615374565125,0.9048717450350524,9,15,7,12,2,1,2,0,0.0,2,2,2,1.0,1,0,0,0.0,1,2,0,0,2,2,0,0,1,0,0,0,0.6,0.2609470675064826
FOX,2,1,Throw-in Spain.,General,"[General] Spain dominating early with 73% possession, controlling midfield play.",106,0.3536921575262767,0.2160497635066009,0.10371551133313,0.43332267,0.1111111111111111,0.0359537452459335,0.2693344056606293,0.2333806604146957,2,10,2,8,1,1,1,0,0.0,1,1,1,1.0,1,0,0,0.0,1,1,0,0,1,1,0,0,1,0,0,0,0.42857142857142855,0.3686680121201948
FOX,5,1,Spain have been awarded a corner by Francois Letexier.,Corner,"[Corner] Corner for Spain, delivered by Nico Williams. Conceded by John Stones.",109,0.529176585849072,0.376824260388408,0.291635818638729,0.6570188,0.1818181818181818,0.0411694273352623,0.0549358651041984,0.0137664377689361,9,12,5,9,2,1,4,0,0.0,1,1,1,1.0,1,1,1,1.0,1,4,0,0,1,1,0,0,1,2,0,1,0.5555555555555556,0.5344523836487061
FOX,8,1,England awarded a throw-in in their own half.,General,"[General] Spain dominating possession with 72%, controlling the midfield for 3 minutes. Fabián Ruiz leading the charge.",112,0.2530738664790988,0.1169174114863077,0.0,0.35075223,0.0,-0.0282768197357654,0.3101799488067627,0.3384567685425281,8,17,5,11,0,0,2,0,0.0,1,1,0,0.0,1,0,0,0.0,0,2,0,0,1,1,0,0,1,0,0,0,0.0,0.20245909229149434
FOX,8,2,Spain have a dangerous throw-in.,General,"[General] Spain dominating possession with 72%, controlling the midfield for 3 minutes. Fabián Ruiz leading the charge.",112,0.1935096595345865,0.2036178792395764,0.056997528521406,0.47693303,0.0769230769230769,-0.5266350507736206,0.3101799488067627,0.8368149995803833,5,17,3,11,1,0,2,0,0.0,1,1,1,1.0,1,0,0,0.0,0,2,0,0,1,1,0,0,1,0,0,0,1.0,0.35480772717281994
FOX,9,1,Spain to take a throw-in in England territory.,General,"[General] Even contest in midfield, both teams feeling each other out.",113,0.2443636806987745,0.134289695860018,0.1102666677268437,0.29260242,0.0,0.0350432209670543,-0.3903711438179016,0.425414364784956,8,11,5,10,0,0,2,0,0.0,2,0,0,0.0,1,0,0,0.0,0,2,0,0,2,0,0,0,1,0,0,0,0.0,0.19549094458837754
FOX,9,2,Throw-in for England at Olympiastadion.,General,"[General] Even contest in midfield, both teams feeling each other out.",113,0.2205866591206017,0.1335916888145371,0.0665592466079485,0.33421582,0.0,0.1280572861433029,-0.3903711438179016,0.5184284299612045,5,11,3,10,0,2,2,0,0.0,1,0,0,0.0,1,0,0,0.0,2,2,0,0,1,0,0,0,1,0,0,0,0.0,0.17646932732934878
FOX,10,1,Francois Letexier signals a free kick to England.,Free Kick,[Foul] Foul by Rodrigo Hernández (Spain) on Jude Bellingham (England) near the right wing.,114,0.2439931612467986,0.1770161464818612,0.0504012589678056,0.4139805,0.0666666666666666,0.1016183495521545,-0.4534574449062347,0.5550757944583893,8,14,6,11,1,1,3,0,0.0,1,2,1,1.0,1,1,0,0.0,1,3,0,0,1,2,0,0,1,2,0,1,0.3333333333333333,0.26186119290188326
FOX,11,1,Spain awarded a free kick in their own half.,Free Kick,[Foul] Foul by Marc Guehi (England) on Aymeric Laporte (Spain). Free kick awarded on the right wing.,115,0.4144668136718303,0.3524190032227079,0.1891385872961234,0.58240414,0.2857142857142857,-0.0464785881340503,-0.4458683431148529,0.3993897549808025,9,17,6,13,4,0,4,0,0.0,1,2,1,1.0,1,2,1,1.0,0,4,0,0,1,2,0,0,1,3,0,1,1.0,0.5315734516059213
FOX,13,1,Spain are pushing forward but Robin Le Normand's finish is wide of the goal.,General,[Shot Missed] Attempt missed. Robin Le Normand's right footed shot from the centre of the box goes wide.,117,0.3586454255492185,0.294643095878852,0.2412020914199728,0.4552272,0.1875,0.0003728568553924,-0.4489747285842895,0.449347585439682,14,18,8,13,3,1,3,1,1.0,1,0,0,0.0,2,2,0,0.0,1,3,0,0,1,0,0,0,2,3,0,1,0.4444444444444444,0.37580523008494704
FOX,13,2,Corner awarded to Spain.,Corner,[Shot Missed] Attempt missed. Robin Le Normand's right footed shot from the centre of the box goes wide.,117,0.1979813426733017,0.0895248750845591,0.0,0.26857463,0.0,0.027674525976181,-0.4489747285842895,0.4766492545604706,4,18,3,13,0,1,3,0,0.0,1,0,0,0.0,1,2,0,0.0,1,3,0,0,1,0,0,0,1,3,0,1,0.0,0.1583850750879059
FOX,13,3,Francois Letexier awards England a goal kick.,General,[Shot Missed] Attempt missed. Robin Le Normand's right footed shot from the centre of the box goes wide.,117,0.1840573921799659,0.1116416255633036,0.0,0.33492488,0.0,0.1497205793857574,-0.4489747285842895,0.598695307970047,7,18,6,13,0,1,3,0,0.0,1,0,0,0.0,2,2,0,0.0,1,3,0,0,1,0,0,0,2,3,0,1,0.0,0.1472459144059906
FOX,15,1,Can England get the ball into an attacking position from this throw-in in Spain's half?,General,"[General] England asserting dominance with 100% possession, particularly in midfield. Phil Foden heavily involved.",119,0.2627559737242582,0.2094798615743481,0.1068312141805181,0.47160837,0.05,0.0590421110391616,0.6364578008651733,0.5774156898260117,15,14,9,12,1,1,2,0,0.0,2,1,1,0.5,1,0,0,0.0,1,2,0,0,2,1,0,0,1,0,0,0,0.3,0.27020477887090133
FOX,16,1,England have been awarded a corner by Francois Letexier.,Corner,"[Corner] Corner for England. Phil Foden delivers, conceded by Aymeric Laporte.",120,0.5312997688595247,0.3755509845987018,0.2503377231230956,0.69449705,0.1818181818181818,0.0281616374850273,0.0267077591270208,0.0014538783580064,9,11,5,9,2,1,3,0,0.0,1,1,1,1.0,1,1,1,1.0,1,3,0,0,1,1,0,0,1,2,0,1,0.5555555555555556,0.5361509264277653
FOX,18,1,Throw-in for Spain in their own half.,General,[General] Spain maintaining total control with 100% possession in their defensive third.,122,0.4060364279062896,0.2778417551400064,0.2353586009785925,0.51483333,0.0833333333333333,0.0851638317108154,0.2945433855056762,0.2093795537948608,7,12,4,9,1,1,1,0,0.0,1,1,1,1.0,1,0,0,0.0,1,1,0,0,1,1,0,0,1,0,0,0,0.42857142857142855,0.4105434278176987
FOX,19,1,Francois Letexier signals a Spain throw-in in England's half.,General,"[General] Spain dominating possession with 93.9%, controlling the midfield for 2 minutes.",123,0.3267447125351538,0.1930977740881986,0.0481850575248992,0.4541852,0.0769230769230769,0.0209897924214601,0.2933042645454407,0.2723144721239805,9,12,7,7,1,1,1,0,0.0,2,1,1,0.5,1,0,0,0.0,1,1,0,0,2,1,0,0,1,0,0,0,0.3,0.3213957724647991
FOX,20,1,Ball safe as Spain is awarded a throw-in in their half.,General,[Foul] Foul by Declan Rice (England) on Daniel Olmo (Spain) in the attacking third.,124,0.2084379715711278,0.2035026646972235,0.1207856783374614,0.41829374,0.0714285714285714,0.3244668245315552,-0.4522892832756042,0.7767561078071594,11,14,6,10,1,1,3,0,0.0,1,2,1,1.0,1,1,0,0.0,1,3,0,0,1,2,0,0,1,2,0,1,0.42857142857142855,0.2524646621060604
FOX,22,1,Francois Letexier signals a free kick to England in their own half.,Free Kick,[Foul] Foul by Marc Cucurella (Spain) on Phil Foden (England) in the defensive half.,126,0.2967156947330057,0.231790002773261,0.1291895029645839,0.43284717,0.1333333333333333,0.0943110063672065,-0.4141962230205536,0.5085072293877602,12,14,8,10,2,1,3,0,0.0,1,2,1,1.0,1,1,0,0.0,1,3,0,0,1,2,0,0,1,2,0,1,0.3333333333333333,0.3040392220486981
FOX,23,1,Ball safe as Spain is awarded a throw-in in their half.,General,[Foul] Foul by Declan Rice (England) on Daniel Olmo Carvajal (Spain) in midfield.,127,0.2100385369675004,0.2064475042047294,0.125021340887689,0.4228926,0.0714285714285714,0.3244668245315552,-0.4547215402126312,0.7791883647441864,11,13,6,10,1,1,3,0,0.0,1,2,1,1.0,1,1,0,0.0,1,3,0,0,1,2,0,0,1,2,0,1,0.42857142857142855,0.2537451152287005
FOX,24,1,Corner awarded to Spain.,Corner,"[Corner] Corner for Spain, delivered by Lamine Yamal. Conceded by Marc Guehi. Open game unfolding.",128,0.5257193845420847,0.3779194142301571,0.2152117647368784,0.7518798,0.1666666666666666,0.027674525976181,0.0585552304983139,0.0308807045221328,4,15,3,12,2,1,5,1,1.0,1,1,1,1.0,1,1,1,1.0,1,5,0,0,1,1,0,0,1,2,0,1,1.0,0.6205755053762825
