match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
portugal_france,0,0,0,"Michael Oliver will supervise the game today.",general,General,Oliver,Both,46
portugal_france,0,0,0,"France will kick the game off.",general,Kick Off,,France,30
portugal_france,1,0,1,"The first half of this match is about to start.",key_event,Kick Off,,Both,46
portugal_france,2,0,2,"An attempted cross from Jules Kounde (France) is cleared.",general,General,Kounde,France,55
portugal_france,2,0,2,"Randal Kolo Muani (France) produces an inaccurate low pass into the box that is blocked by the one of the defenders. If this pass had slipped through, the ball would have probably ended up in the back of the net.",general,General,Kolo Muani,France,213
portugal_france,3,0,3,"Bruno Fernandes (Portugal) jumps into a tackle and Michael Oliver signals a foul.",general,General,Fernandes,Portugal,84
portugal_france,6,0,6,"Some great controlled play and passing in the middle of the pitch from Portugal.",general,General,,Portugal,78
portugal_france,8,0,8,"Nuno Mendes (Portugal) swings in a cross, but the ball is cleared to safety by one of the defending players.",general,General,Mendes,Portugal,115
portugal_france,9,0,9,"William Saliba (France) makes an unfair challenge by holding his opponent to prevent him from getting the ball. Portugal get a free kick.",general,Free Kick,Saliba,France,137
portugal_france,10,0,10,"The resulting set piece, sent into the penalty area by Bruno Fernandes (Portugal), was easily dealt with by one of the defenders. The ball goes out of play. Portugal are awarded a corner kick.",general,Corner,Fernandes,Portugal,189
portugal_france,11,0,11,"The resulting corner from Bruno Fernandes (Portugal) comes to nothing.",general,Corner,Fernandes,Portugal,66
portugal_france,13,0,13,"A pass by Nuno Mendes (Portugal) ends up in no man's land, and the attacking effort comes to an end.",general,General,Mendes,Portugal,108
portugal_france,15,0,15,"Mike Maignan leaps to intercept the corner kick from Bruno Fernandes (Portugal).",general,Corner,"Maignan, Fernandes",Portugal,79
portugal_france,16,0,16,"Bruno Fernandes (Portugal) takes a shot from the edge of the box, but it's not a big threat for the goalkeeper as his effort is blocked by a defender. Good work from Portugal as they win a corner.",key_event,Shot,Fernandes,Portugal,190
portugal_france,17,0,17,"Bruno Fernandes (Portugal) steps up to send the ball in.",general,Corner,Fernandes,Portugal,53
portugal_france,17,0,17,"Cristiano Ronaldo (Portugal) commits a foul and Michael Oliver immediately signals a free kick.",general,General,Ronaldo,Portugal,94
portugal_france,18,0,18,"Rafael Leao (Portugal) sends a lofted cross into the box which is headed clear.",general,General,Leao,Portugal,81
portugal_france,19,0,19,"Rafael Leao (Portugal) races towards goal but the defender gets back well to make a challenge. The referee points to the corner flag. It's a corner to Portugal.",general,Corner,Leao,Portugal,153
portugal_france,20,0,20,"Bruno Fernandes (Portugal) takes the corner but fails to find any of his teammates. The ball is easily cleared out of danger.",general,Corner,Fernandes,Portugal,126
portugal_france,20,0,20,"Theo Hernandez (France) wastes an opportunity. He has a lot of space around him and fires in a terrific shot from long range towards the middle of the target, but the goalkeeper makes a brilliant save and stops this one!",key_event,Save,Hernandez,France,216
portugal_france,22,0,22,"Kylian Mbappe (France) passes the ball into the box but an opposing player clears.",general,General,Mbappe,France,82
portugal_france,23,0,23,"Eduardo Camavinga (France) is disappointed with himself because he got into a good area but produced a poor cross.",general,General,Camavinga,France,119
portugal_france,25,0,25,"It looks like Pepe (Portugal) saw red with that tackle. Michael Oliver won't tolerate such behaviour on the pitch and blows for a foul. A free kick has been awarded to France.",general,Free Kick,Pepe,Portugal,174
portugal_france,25,0,25,"The free kick is taken by Antoine Griezmann (France), but ball is cleared.",general,Free Kick,Griezmann,France,73
portugal_france,26,0,26,"The linesman raises his flag. Kylian Mbappe (France) is adjudged offside.",general,Offside,Mbappe,France,72
portugal_france,27,0,27,"Rafael Leao (Portugal) sends a sweet pass into the penalty area, but one of the defenders averts the danger. Portugal will take a corner kick.",general,Corner,Leao,Portugal,138
portugal_france,28,0,28,"A horde of players are waiting inside the penalty area for a cross from the corner, but Bruno Fernandes (Portugal) takes it short.",general,Corner,Fernandes,Portugal,131
portugal_france,28,0,28,"Antoine Griezmann (France) fires the ball towards goal from outside the penalty area, but it is blocked by one of his teammates.",key_event,Shot,Griezmann,France,128
