match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
denmark_england,0,0,0,"Artur Soares Dias will referee today's match.",general,General,Soares Dias,Both,49
denmark_england,0,0,0,"England will kick-off.",general,Kick Off,,England,23
denmark_england,1,0,1,"The first half has just begun.",key_event,Kick Off,,Both,32
denmark_england,1,0,1,"Pierre-Emile Hojbjerg (Denmark) produces a ferocious strike from the edge of the box. His dangerous effort towards the middle of the goal is blocked by Jordan Pickford, who pulls off a superb save to keep the ball out of the net.",key_event,Save,"Hojbjerg, Pickford",Denmark,239
denmark_england,2,0,2,"Kyle Walker (England) tries to send a pass but it's blocked.",general,General,Walker,England,60
denmark_england,4,0,4,"Some great controlled play and passing in the middle of the pitch from England.",general,General,,England,77
denmark_england,6,0,6,"Kasper Schmeichel is alert and has a clear sight of a long through ball from Trent Alexander-Arnold (England). Easy save! The ball is off of the pitch and it's a goal kick for Denmark.",general,General,"Schmeichel, Alexander-Arnold",England,183
denmark_england,8,0,8,"Joakim Maehle (Denmark) brings his opponent down. Artur Soares Dias has a clear sight of it and blows his whistle for a foul. England are awarded a free kick. Let's see what they create from this.",general,Free Kick,Maehle,Denmark,196
denmark_england,9,0,9,"Kyle Walker (England) requires medical treatment, so the referee stops play and signals for the physio to come onto the pitch.",general,Injury,Walker,England,138
denmark_england,10,0,10,"Kyle Walker (England) is able to continue to play.",general,Injury,Walker,England,50
denmark_england,11,0,11,"Jude Bellingham (England) goes on a solo run, but he fails to create a chance as an opposition player blocks him.",general,General,Bellingham,England,135
denmark_england,12,0,12,"Rasmus Hojlund (Denmark) is clearly in an offside position after the ball is played through to him and the linesman raises his flag.",general,Offside,Hojlund,Denmark,149
denmark_england,13,0,13,"Wonderful movement by England. The players are holding possession, mostly exchanging one-touch passes. They control the pace of the game now.",general,General,,England,156
denmark_england,13,0,13,"Phil Foden (England) makes a good run with the ball into the box, but mishits his shot as it goes high over the bar. The ball goes out of play and Denmark will have a goal kick. The ball goes out of play and Denmark will have a goal kick.",key_event,Shot,Foden,England,226
denmark_england,17,0,17,"Harry Kane (England) collects a pass from the flank, looks up and fires in a goal-bound shot from the edge of the box which canons off a defender to safety.",key_event,Shot,Kane,England,168
denmark_england,18,0,18,"Kyle Walker (England) passes the ball into the box but an opposing player clears.",general,General,Walker,England,82
denmark_england,18,0,18,"Goal! Harry Kane (England) fires the rebound into the bottom left corner after the ball breaks to him in the box. The score is 0:1.",key_event,Goal,Kane,England,142
denmark_england,22,0,22,"The linesman raises his flag as one of the players from Denmark was in an offside position.",general,Offside,,Denmark,94
denmark_england,23,0,23,"Victor Kristiansen (Denmark) sends a lofted cross into the box which is headed clear. The ball has crossed the sideline. Denmark are taking a throw-in.",general,General,Kristiansen,Denmark,157
denmark_england,25,0,25,"Jonas Wind (Denmark) rises high to head a nice lofted cross towards the middle of the goal. Unfortunately for him, his close-range effort lacks pace and Jordan Pickford makes a comfortable save.",key_event,Save,"Wind, Pickford",Denmark,201
denmark_england,27,0,27,"Artur Soares Dias shows a yellow card to Jannik Vestergaard (Denmark) for his blatant foul.",key_event,Yellow Card,Vestergaard,Denmark,94
denmark_england,28,0,28,"England restart play with a quick free kick.",general,Free Kick,,England,47
denmark_england,28,0,28,"Marc Guehi (England) latches onto a cross inside the box but fires a poor effort well wide of the right post. The ball goes out of play and Denmark will have a goal kick.",key_event,Shot,Guehi,England,177
denmark_england,30,0,30,"Joakim Maehle (Denmark) serves up a nice cross, but Jordan Pickford punches the ball away.",general,General,"Maehle, Pickford",Denmark,100
