match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
georgia_portugal,0,0,0,"The referee of today's match will be Sandro Scharer.",general,General,Scharer,Both,56
georgia_portugal,0,0,0,"Portugal will kick-off.",general,Kick Off,,Portugal,24
georgia_portugal,1,0,1,"The first half has started.",key_event,Kick Off,,Both,27
georgia_portugal,2,0,2,"Goal! Georges Mikautadze plays a pass to the feet of Khvicha Kvaratskhelia (Georgia), and he shoots into the bottom right corner from inside the box. It's 1:0.",key_event,Goal,"Mikautadze, Kvaratskhelia",Georgia,174
georgia_portugal,4,0,4,"Pedro Neto (Portugal) found some space to play in a lofted pass, but he looks disappointed as none of his teammates managed to connect with it.",general,General,Neto,Portugal,153
georgia_portugal,5,0,5,"A fine lofted pass into the box, sent by Francisco Conceicao (Portugal), is intercepted by the opposition's defence.",general,General,Conceicao,Portugal,127
georgia_portugal,7,0,7,"The Portugal players are exchanging some short passes to try and open up the opposition's defence and hit them swiftly on the break.",general,General,,Portugal,138
georgia_portugal,10,0,10,"Francisco Conceicao (Portugal) attempts to find one of his teammates, but puts far too much on the pass and the chance is gone.",general,General,Conceicao,Portugal,132
georgia_portugal,10,0,10,"Francisco Conceicao (Portugal) skips past his man but can't keep the ball in play. The ball goes out of play and Georgia will have a goal kick.",general,General,Conceicao,Portugal,150
georgia_portugal,12,0,12,"A lofted cross from Giorgi Kochorashvili (Georgia) is unsuccessful as the opponent's defence quickly clears the ball out of the penalty area.",general,General,Kochorashvili,Georgia,148
georgia_portugal,12,0,12,"Sandro Scharer has a clear sight and sees a foul from Otar Kakabadze (Georgia).",general,General,Kakabadze,Georgia,78
georgia_portugal,13,0,13,"Otar Kiteishvili (Georgia) looks to break free, but an opposing player clears the ball away.",general,General,Kiteishvili,Georgia,91
georgia_portugal,14,0,14,"Joao Felix (Portugal) whips a promising cross into the box, but the opposition's defence intercepts the ball.",general,General,Felix,Portugal,116
georgia_portugal,16,0,16,"Lasha Dvali (Georgia) gives away a foul for a fierce tackle on an opponent. A free kick has been awarded to Portugal.",general,Free Kick,Dvali,Georgia,119
