match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
austria_turkey,0,0,0,"Artur Soares Dias will officiate today.",general,General,Dias,Both,40
austria_turkey,0,0,0,"Austria will kick-off.",general,Kick Off,,Austria,22
austria_turkey,1,0,1,"The match has just started.",key_event,Kick Off,,Both,28
austria_turkey,1,0,1,"Arda Guler (Turkey) slides a pass forward, but one of the defenders cuts it out. Turkey force a corner. They send men into the box.",general,Corner,Guler,Turkey,138
austria_turkey,1,0,1,"Arda Guler (Turkey) floats the ball in from the corner but it's intercepted.",general,Corner,Guler,Turkey,75
austria_turkey,1,0,1,"Goal! Merih Demiral (Turkey) fires the rebound into the roof of the net after the ball breaks to him in the box. The score is 0:1.",key_event,Goal,Demiral,Turkey,139
austria_turkey,3,0,3,"Christoph Baumgartner (Austria) unleashes a decent effort from just outside the box which goes narrowly wide of the left post.",key_event,Shot,Baumgartner,Austria,130
austria_turkey,5,0,5,"Marcel Sabitzer (Austria) sends a pass into the box, but his attempt is thwarted and cleared. Austria force their opponents to concede a corner.",general,Corner,Sabitzer,Austria,146
austria_turkey,6,0,6,"The corner from Romano Schmid (Austria) is hurriedly cleared.",general,Corner,Schmid,Austria,59
austria_turkey,6,0,6,"Austria force a corner. Their opponents will face another attacking threat.",general,Corner,,Austria,78
austria_turkey,7,0,7,"What a miss! The corner finds Philipp Lienhart (Austria) unmarked in the box with the goal at his mercy, but somehow he mistimes his header and sends it just over the bar. The ball is off of the pitch and it's a goal kick for Turkey.",key_event,Chance,Lienhart,Austria,235
austria_turkey,10,0,10,"Marcel Sabitzer (Austria) nearly creates a chance, but his attempt to pick out a teammate with a through ball does not come off.",general,General,Sabitzer,Austria,129
austria_turkey,11,0,11,"Artur Soares Dias shows a yellow card to Orkun Kokcu (Turkey), who isn't surprised as the tackle was really hard and late.",key_event,Yellow Card,Kokcu,Turkey,130
austria_turkey,11,0,11,"Orkun Kokcu (Turkey) will miss the next game because of that yellow card.",general,General,Kokcu,Turkey,70
