match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
romania_ukraine,0,0,0,"Glenn Nyberg will supervise the game today.",general,General,Nyberg,Both,45
romania_ukraine,0,0,0,"The players are out and the match is about to start. Ukraine will have the kick-off.",general,Kick Off,,Ukraine,84
romania_ukraine,1,0,1,"The first half of this match is about to start.",key_event,Kick Off,,Both,48
romania_ukraine,1,0,1,"Mykhailo Mudryk (Ukraine) attempts to find one of his teammates with a sweet pass into the box, but one of the defending players reacts well and intercepts the effort.",general,General,Mudryk,Ukraine,181
romania_ukraine,4,0,4,"Andrei Ratiu (Romania) sends a cross into the box, but Andriy Lunin comes off his line to gather the ball.",general,General,"Ratiu, Lunin",Romania,117
romania_ukraine,5,0,5,"Ilya Zabarnyi (Ukraine) tries to create a chance, but puts too much weight on his pass.",general,General,Zabarnyi,Ukraine,96
romania_ukraine,6,0,6,"Rough tackle by Razvan Marin (Romania). The referee blows his whistle for a foul.",general,General,Marin,Romania,90
romania_ukraine,7,0,7,"Taras Stepanenko (Ukraine) sends a cross into the box, but the opposition's defence clears the ball to safety.",general,General,Stepanenko,Ukraine,126
romania_ukraine,7,0,7,"Viktor Tsygankov (Ukraine) blasts the ball from just outside the box, but his attempt is blocked by the defender.",general,General,Tsygankov,Ukraine,128
romania_ukraine,8,0,8,"Florinel Coman (Romania) slams the ball towards the middle of the goal, but it fails to surprise Andriy Lunin and he's equal to it.",key_event,Save,"Coman, Lunin",Romania,150
romania_ukraine,9,0,9,"The Ukraine players keep the ball and are exchanging a combination of passes. They are waiting for gaps in the defence to open up.",general,General,,Ukraine,141
romania_ukraine,12,0,12,"Artem Dovbyk (Ukraine) goes on a solo run, but he fails to create a chance as an opposition player blocks him.",general,General,Dovbyk,Ukraine,123
romania_ukraine,12,0,12,"Georgiy Sudakov (Ukraine) decides to strike the ball towards goal, but his effort fails to threaten the goalkeeper after being well blocked by one of the defenders.",general,General,Sudakov,Ukraine,170
romania_ukraine,14,0,14,"Viktor Tsygankov (Ukraine) whips a promising cross into the box, but the opposition's defence intercepts the ball.",general,General,Tsygankov,Ukraine,128
romania_ukraine,18,0,18,"Glenn Nyberg blows his whistle. Georgiy Sudakov (Ukraine) commits a foul after dangerous play.",general,General,Sudakov,Ukraine,102
romania_ukraine,19,0,19,"29:71 – this is the current ball possession ratio.",general,General,,Both,51
romania_ukraine,21,0,21,"Yukhym Konoplya (Ukraine) sends over a cross from the side into the penalty area in order to find one of his teammates, but he fails and the opportunity goes begging.",general,General,Konoplya,Ukraine,174
romania_ukraine,21,0,21,"Yukhym Konoplya (Ukraine) sends a beautiful cross into the penalty area, but the opposition's defence manages to clear the ball to safety.",general,General,Konoplya,Ukraine,155
