data_source,minute,sequence_rank,real_commentary,real_type,our_sequence_commentary,sequence_id,average_score,average_score_no_sentiment,TF-IDF,Embeddings_BERT,content_overlap_ratio,real_sentiment,our_sentiment,sentiment_diff,real_word_count,our_word_count,real_content_words,our_content_words,matching_content_words,real_unique_players,our_unique_players,matching_players,entity_players_match,real_unique_teams,our_unique_teams,matching_teams,entity_teams_match,real_unique_events,our_unique_events,matching_events,entity_events_match,real_player_mentions,our_player_mentions,real_player_repetitions,our_player_repetitions,real_team_mentions,our_team_mentions,real_team_repetitions,our_team_repetitions,real_event_mentions,our_event_mentions,real_event_repetitions,our_event_repetitions
FLASHSCORE,0,1,The players are on the pitch and Portugal will have the kick-off.,Kick Off,,-1,0.0,0.0,0.0,0.0,0.0,0.1290208250284195,0.0,0.1290208250284195,12,0,5,0,0,0,0,0,0.0,1,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
FLASHSCORE,1,1,Tomas Soucek (Czech Republic) plays a through ball but overhits it.,General,"[0:38] Lukáš Provod under pressure, carries the ball under pressure, plays a dangerous short pass along the ground to Vladimír Coufal into the DANGER ZONE, Vladimír Coufal receives under pressure in the left attacking third under pressure, carries the ball under pressure, plays a dangerous short pass along the ground to Tomáš Souček into the DANGER ZONE",7,0.3956537846936467,0.2353125418840095,0.0531517057884262,0.5838204026222229,0.0689655172413793,-0.2566522061824798,-0.1333297193050384,0.1233224868774414,11,57,8,44,2,2,2,0,0.0,1,0,0,0.0,0,1,0,0.0,2,2,0,0,1,0,0,0,0,2,0,1
FLASHSCORE,1,2,Tomas Soucek (Czech Republic) plays a through ball but overhits it.,General,"[0:20] Patrik Schick takes on the defender under pressure, drives forward with the ball - BUT LOSES IT! . João Pedro Cavaco Cancelo closes down Patrik Schick . Patrik Schick loses control under pressure! . Bruno Miguel Borges Fernandes wins the ball back",5,0.3799139773045147,0.1987501618192149,0.0880856902178783,0.4748314619064331,0.0333333333333333,-0.2566522061824798,-0.1800576299428939,0.0765945762395858,11,43,8,31,1,2,3,0,0.0,1,0,0,0.0,0,0,0,0.0,2,3,0,0,1,0,0,0,0,0,0,0
FLASHSCORE,1,3,"Today's match has just started, enjoy the game!",Kick Off,"[0:00] Starting XI . Starting XI . Half Start . Half Start . 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Czech Republic and Portugal. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Bruno Miguel Borges Fernandes under pressure, plays a medium pass back along the ground to Nuno Mendes",1,0.3660042338529768,0.19159764752911768,0.0655580061229525,0.4854254126548767,0.0238095238095238,0.9681601524353028,0.8573841452598572,0.1107760071754455,8,62,6,42,1,1,8,0,0.0,0,2,0,0.0,0,2,0,0.0,1,8,0,0,0,2,0,0,0,2,0,0
FLASHSCORE,1,4,Tomas Soucek (Czech Republic) plays a through ball but overhits it.,General,"[0:30] Lukáš Provod receives under pressure in the left attacking third under pressure, carries the ball - BUT LOSES IT! . Bruno Miguel Borges Fernandes closes down Lukáš Provod . Lukáš Provod under MASSIVE pressure, plays a dangerous short pass along the ground to Vladimír Coufal into the DANGER ZONE, Vladimír Coufal receives under pressure in the left attacking third",6,0.3534525055947357,0.17685604350599357,0.0641864580675064,0.4092388153076172,0.0571428571428571,-0.2566522061824798,-0.3734103143215179,0.116758108139038,11,60,8,45,2,2,3,0,0.0,1,0,0,0.0,0,1,0,0.0,2,3,0,0,1,0,0,0,0,1,0,0
FLASHSCORE,1,5,Tomas Soucek (Czech Republic) plays a through ball but overhits it.,General,"[0:09] Pavel Šulc under pressure, carries the ball under pressure, plays a medium pass along the ground to Vladimír Coufal, Vladimír Coufal under pressure, carries the ball under pressure, plays a medium pass forward along the ground to Pavel Šulc into the left attacking third, but the pass doesn't find its target . Nuno Mendes intercepts!",3,0.3485758351563031,0.2040111472743901,0.0759003273263035,0.4694664478302002,0.0666666666666666,-0.2566522061824798,-0.0389221049845218,0.217730101197958,11,56,8,42,2,2,3,0,0.0,1,0,0,0.0,0,1,0,0.0,2,3,0,0,1,0,0,0,0,3,0,2
FLASHSCORE,1,6,Tomas Soucek (Czech Republic) plays a through ball but overhits it.,General,"[0:17] Pavel Šulc under pressure, plays a short pass along the ground to Vladimír Coufal . Bruno Miguel Borges Fernandes closes down Pavel Šulc . Vladimír Coufal under pressure, carries the ball is dispossessed by Bruno Miguel Borges Fernandes! . Bruno Miguel Borges Fernandes in the duel",4,0.3184369696880961,0.16318289521079388,0.0367955744641914,0.3786790370941162,0.074074074074074,-0.2566522061824798,-0.0408513993024826,0.2158008068799972,11,47,8,35,2,2,3,0,0.0,1,0,0,0.0,0,1,0,0.0,2,3,0,0,1,0,0,0,0,1,0,0
FLASHSCORE,1,7,Tomas Soucek (Czech Republic) plays a through ball but overhits it.,General,[0:07] Vitor Machado Ferreira wins the ball back closes down the ball carrier . Pavel Šulc wins the ball back,2,0.2859250557880477,0.1591368850682677,0.0891101138303847,0.3327449858188629,0.0555555555555555,-0.2566522061824798,0.0770582258701324,0.3337104320526123,11,20,8,15,1,2,2,0,0.0,1,0,0,0.0,0,0,0,0.0,2,2,0,0,1,0,0,0,0,0,0,0
FLASHSCORE,1,8,"Today's match has just started, enjoy the game!",Kick Off,[0:07] Vitor Machado Ferreira wins the ball back closes down the ball carrier . Pavel Šulc wins the ball back,2,0.1380191406665414,0.14772616307711198,0.1002813422911046,0.3428971469402313,0.0,0.9681601524353028,0.0770582258701324,0.8911019265651703,8,20,6,15,0,1,2,0,0.0,0,0,0,0.0,0,0,0,0.0,1,2,0,0,0,0,0,0,0,0,0,0
FLASHSCORE,1,9,Tomas Soucek (Czech Republic) plays a through ball but overhits it.,General,"[0:00] Starting XI . Starting XI . Half Start . Half Start . 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Czech Republic and Portugal. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Bruno Miguel Borges Fernandes under pressure, plays a medium pass back along the ground to Nuno Mendes",1,0.0914804339765846,0.1599860291162252,0.059100385365905,0.3494291305541992,0.0714285714285714,-0.2566522061824798,0.8573841452598572,1.114036351442337,11,62,8,42,3,2,8,1,0.5,1,2,1,1.0,0,2,0,0.0,2,8,0,0,1,2,0,0,0,2,0,0
