match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
belgium_slovakia,0,0,0,"Let us introduce today's referee to you, and it's Halil Umut Meler.",general,General,Meler,Both,70
belgium_slovakia,0,0,0,"The players are out and the match is about to start. Slovakia will have the kick-off.",general,Kick Off,,Slovakia,84
belgium_slovakia,1,0,1,"The first half has started.",key_event,Kick Off,,Both,29
belgium_slovakia,3,0,3,"Romelu Lukaku (Belgium) receives a precise pass and is given time inside the box to send a promising strike towards the middle of the goal. Martin Dubravka guesses his intention and denies him with a fine save.",key_event,Save,"Lukaku, Dubravka",Belgium,227
belgium_slovakia,6,0,6,"Martin Dubravka displays his ability to read the game and clears the danger after Romelu Lukaku (Belgium) threatened to latch onto a through ball from just outside the box.",general,General,"Dubravka, Lukaku",Belgium,174
belgium_slovakia,7,0,7,"Koen Casteels was forced into action to thwart Juraj Kucka (Slovakia). He found himself some space after picking up a pass and unleashed a shot towards the roof of the net but couldn't beat the keeper.",key_event,Save,"Casteels, Kucka",Slovakia,218
belgium_slovakia,7,0,7,"Goal! Ivan Schranz (Slovakia) was in the right place at the right time to get to the rebound inside the box and gleefully rifles the ball low inside the right post. It's 0:1.",key_event,Goal,Schranz,Slovakia,188
belgium_slovakia,8,0,8,"The Slovakia players halt their celebrations as referee Halil Umut Meler makes the VAR signal to review the goal, most likely to ascertain if there was an offside in the build-up play.",general,VAR,Meler,Slovakia,189
belgium_slovakia,8,0,8,"Here comes the VAR verdict: Referee Halil Umut Meler signals that there was no offside and the goal stands! The Slovakia players celebrate.",key_event,VAR,Meler,Slovakia,142
belgium_slovakia,10,0,10,"Jeremy Doku (Belgium) commits a foul and Halil Umut Meler immediately signals a free kick.",general,General,Doku,Belgium,93
belgium_slovakia,11,0,11,"The game is interrupted as Denis Vavro (Slovakia) is flagged offside.",general,Offside,Vavro,Slovakia,71
belgium_slovakia,13,0,13,"Halil Umut Meler blows his whistle after Peter Pekarik (Slovakia) brings one of his opponents down with a strong tackle. Belgium win a free kick and will be able to apply some pressure on the opposition goal.",general,Free Kick,Pekarik,Slovakia,208
belgium_slovakia,13,0,13,"Kevin De Bruyne (Belgium) attempts to find one of his teammates with a cross from the resultant free kick, but he fails to hit the ball properly and sends it off the pitch.",general,Free Kick,De Bruyne,Belgium,173
belgium_slovakia,14,0,14,"The referee blows his whistle as Wout Faes (Belgium) was too aggressive in his challenge.",general,General,Faes,Belgium,98
belgium_slovakia,16,0,16,"A great run by Jeremy Doku (Belgium) gets him into the box, but his powerful shot is bravely blocked by a defender.",general,General,Doku,Belgium,128
belgium_slovakia,16,0,16,"Leandro Trossard nearly gets in a one-on-one with the goalkeeper after a defence-splitting pass from Kevin De Bruyne (Belgium), but one of the defenders makes a clearance to snuff out the chance.",general,General,"Trossard, De Bruyne",Belgium,202
belgium_slovakia,18,0,18,"It looks like Timothy Castagne (Belgium) saw red with that tackle. Halil Umut Meler won't tolerate such behaviour on the pitch and blows for a foul.",general,General,Castagne,Belgium,159
belgium_slovakia,19,0,19,"Robert Bozenik receives a sweet cross inside the box from Ivan Schranz (Slovakia), but one of the defenders rushes in bravely to intercept the ball. Now Slovakia have a corner.",general,Corner,"Bozenik, Schranz",Slovakia,187
belgium_slovakia,19,0,19,"Lukas Haraslin (Slovakia) takes the corner, but one of the defenders reacts well and rises highest to head the ball away.",general,Corner,Haraslin,Slovakia,135
belgium_slovakia,21,0,21,"Unlucky! A great strike from Leandro Trossard (Belgium) near the edge of the box had the keeper scrambling but flew just over the bar.",key_event,Shot,Trossard,Belgium,147
belgium_slovakia,22,0,22,"Kevin De Bruyne (Belgium) is penalised for a foul. Halil Umut Meler had a clear view and blows his whistle.",general,General,De Bruyne,Belgium,113
belgium_slovakia,23,0,23,"He should have scored! Robert Bozenik (Slovakia) gathered a short pass deep inside the box but took too long to shoot, allowing the defender to make the block.",general,General,Bozenik,Slovakia,171
belgium_slovakia,26,0,26,"The ball is cleared after Jeremy Doku (Belgium) attempted to dribble past an opposing player.",general,General,Doku,Belgium,99
belgium_slovakia,28,0,28,"Halil Umut Meler blows the whistle, Peter Pekarik (Slovakia) is penalised for a foul.",general,General,Pekarik,Slovakia,92
belgium_slovakia,30,0,30,"Orel Mangala (Belgium) picks up a yellow card for a foul.",key_event,Yellow Card,Mangala,Belgium,57
