match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
slovakia_ukraine,0,0,0,"The referee of today's match will be Michael Oliver.",general,General,Oliver,Both,57
slovakia_ukraine,0,0,0,"Slovakia will kick-off.",general,Kick Off,,Slovakia,24
slovakia_ukraine,1,0,1,"The referee blows his whistle and we are underway.",key_event,Kick Off,,Both,54
slovakia_ukraine,3,0,3,"The ball is cleared after Mykhailo Mudryk (Ukraine) attempted to dribble past an opposing player.",general,General,Mudryk,Ukraine,112
slovakia_ukraine,3,0,3,"The referee blows his whistle as Andriy Yarmolenko (Ukraine) was too aggressive in his challenge.",general,General,Yarmolenko,Ukraine,110
slovakia_ukraine,4,0,4,"One of the players from Slovakia times his run too early and the referee blows his whistle for offside.",general,Offside,,Slovakia,116
slovakia_ukraine,5,0,5,"Andriy Yarmolenko (Ukraine) is caught offside!",general,Offside,Yarmolenko,Ukraine,49
slovakia_ukraine,6,0,6,"A cross from Oleksandr Tymchyk (Ukraine) fails to reach the box as the defence clears the ball away to safety.",general,General,Tymchyk,Ukraine,126
slovakia_ukraine,8,0,8,"Slovakia are bossing possession at the moment by exchanging some precise passes from player to player.",general,General,,Slovakia,114
slovakia_ukraine,8,0,8,"Lukas Haraslin (Slovakia) swings a cross into the box, but it's far too close to Anatoliy Trubin, who smothers the ball.",general,General,"Haraslin, Trubin",Slovakia,136
slovakia_ukraine,10,0,10,"Andriy Yarmolenko (Ukraine) attempted to pick out a free teammate inside the box, but Martin Dubravka comes off the line to clear the ball away.",general,General,"Yarmolenko, Dubravka",Ukraine,161
slovakia_ukraine,10,0,10,"Lukas Haraslin (Slovakia) zig-zags his way into the box and drills a low shot towards the left post, but the goalkeeper pulls off a superb stop.",key_event,Save,"Haraslin, Trubin",Slovakia,161
slovakia_ukraine,11,0,11,"Ivan Schranz (Slovakia) drives a shot towards the right side of the goal from inside the box, but Anatoliy Trubin leaps like a salmon and knocks the ball away.",key_event,Save,"Schranz, Trubin",Slovakia,170
slovakia_ukraine,12,0,12,"Ondrej Duda (Slovakia) strikes a shot towards goal from the edge of the penalty box, but it flies just wide of the left post.",key_event,Shot,Duda,Slovakia,138
slovakia_ukraine,13,0,13,"That didn't go as planned! Volodymyr Brazhko (Ukraine) tried his luck from the edge of the box, but his effort towards the middle of the goal was too weak to get past Martin Dubravka, who easily kept it out.",key_event,Save,"Brazhko, Dubravka",Ukraine,212
slovakia_ukraine,16,0,16,"Volodymyr Brazhko (Ukraine) is penalised for holding. Michael Oliver signals a set piece.",general,Free Kick,Brazhko,Ukraine,96
slovakia_ukraine,16,0,16,"Slovakia are about to take a free kick from a very dangerous position.",general,Free Kick,,Slovakia,72
slovakia_ukraine,17,0,17,"David Hancko (Slovakia) takes the resulting free kick from 22 metres out. He attempts to send his effort into the left side of the goal, but Anatoliy Trubin is alert and keeps the ball out.",general,Free Kick,"Hancko, Trubin",Slovakia,195
slovakia_ukraine,17,0,17,"It's a goal! Ivan Schranz (Slovakia) makes it 1:0. He jumped highest to connect with a perfect cross from Lukas Haraslin and planted his close-range header low into the middle of the goal. Anatoliy Trubin was helpless.",key_event,Goal,"Schranz, Haraslin, Trubin",Slovakia,228
slovakia_ukraine,23,0,23,"Mykhailo Mudryk (Ukraine) attempts to surprise the keeper with a shot from distance, but it lacks accuracy and goes high over the crossbar.",key_event,Shot,Mudryk,Ukraine,152
slovakia_ukraine,24,0,24,"Peter Pekarik (Slovakia) commits a rough foul. Michael Oliver stops the game and makes a call.",general,General,Pekarik,Slovakia,102
slovakia_ukraine,25,0,25,"The possession of the ball - 59:41.",general,General,,Both,35
slovakia_ukraine,28,0,28,"A first-time shot by Artem Dovbyk (Ukraine) inside the box is unwittingly blocked by one of his own players. The ball goes out of play. Ukraine are awarded a corner kick.",general,Corner,Dovbyk,Ukraine,174
slovakia_ukraine,29,0,29,"Oleksandr Zinchenko (Ukraine) goes over to take the corner kick and it looks like he will swing the ball into the penalty box.",general,Corner,Zinchenko,Ukraine,136
slovakia_ukraine,29,0,29,"A horde of players are waiting inside the penalty area for a cross from the corner, but Oleksandr Zinchenko (Ukraine) takes it short.",general,Corner,Zinchenko,Ukraine,152
slovakia_ukraine,29,0,29,"Mykhailo Mudryk (Ukraine) takes a shot from the edge of the box, but it's not a big threat for the goalkeeper as his effort is blocked by a defender.",key_event,Shot,Mudryk,Ukraine,156
slovakia_ukraine,29,0,29,"Andriy Yarmolenko (Ukraine) blows a clear opportunity! He needed only to tap the ball in, but narrowly misses the goal.",key_event,Shot,Yarmolenko,Ukraine,130
slovakia_ukraine,31,0,31,"Ondrej Duda (Slovakia) goes over to take the corner kick and it looks like he will send the ball into the penalty box.",general,Corner,Duda,Slovakia,127
