data_source,minute,sequence_rank,real_commentary,real_type,our_sequence_commentary,sequence_id,average_score,average_score_no_sentiment,TF-IDF,Embeddings_BERT,content_overlap_ratio,real_sentiment,our_sentiment,sentiment_diff,real_word_count,our_word_count,real_content_words,our_content_words,matching_content_words,real_unique_players,our_unique_players,matching_players,entity_players_match,real_unique_teams,our_unique_teams,matching_teams,entity_teams_match,real_unique_events,our_unique_events,matching_events,entity_events_match,real_player_mentions,our_player_mentions,real_player_repetitions,our_player_repetitions,real_team_mentions,our_team_mentions,real_team_repetitions,our_team_repetitions,real_event_mentions,our_event_mentions,real_event_repetitions,our_event_repetitions,ner_score,average_score_with_ner
BBC,1,1,Here we go! Who will be meeting Spain in Sunday's final? The second semi-final is under way.,Kick Off,[Kick Off] The first half begins. Euro 2024 Semi-Final between Netherlands and England!,0,0.4221634710610084,0.2584625773668517,0.1386555352926939,0.5367322,0.1,0.2457178086042404,0.1589839607477188,0.0867338478565216,17,13,11,12,2,3,3,0,0.0,1,2,0,0.0,0,0,0,0.0,3,3,0,0,1,2,0,0,0,0,0,0,0.0,0.33773077748723446
BBC,2,1,The Netherlands win a free-kick inside the opening 20 seconds. A long ball forward and Donyell Malen is trying to reach it but he's offside.,Offside,[Foul] Foul by Declan Rice (England) on Donyell Malen (Netherlands). Free kick awarded.,1,0.3682421512467539,0.3240060497738091,0.1474045781544352,0.5746136,0.25,0.1443489491939544,-0.3547005951404571,0.4990495443344116,25,13,15,11,5,2,4,1,0.5,1,2,1,1.0,1,2,0,0.0,2,4,0,0,1,2,0,0,1,3,0,1,0.5384615384615384,0.40228603445631245
BBC,3,1,Jude Bellingham is tussling for the ball with Xavi Simons in the centre circle. Tonight could be a good battle between the two 21-year-olds. It's a slow and steady start from both sides.,General,[Foul] Foul by Jerdy Schouten (Netherlands) on Phil Foden (England) in midfield.,2,0.0084680380020506,0.0857824864114611,0.0221986717359094,0.23514879,0.0,0.7826166749000549,-0.4408586323261261,1.223475307226181,33,12,20,9,0,4,3,0,0.0,0,2,0,0.0,0,1,0,0.0,4,3,0,0,0,2,0,0,0,2,0,1,0.0,0.0067744309019456715
BBC,4,1,Nice move by England involving Jude Bellingham and Harry Kane before the ball is played out wide to Bukayo Saka who sends in a cross which is headed away.,General,[Foul] Foul by Nathan Aké (Netherlands) on Marc Guehi (England). Free kick awarded on the right wing.,3,0.11519659407225,0.1927600217830704,0.0643709936653275,0.48265907,0.03125,0.6746605038642883,-0.4428331851959228,1.1174936890602112,29,17,21,13,1,4,4,0,0.0,1,2,1,1.0,1,2,0,0.0,4,4,0,0,1,2,0,0,1,3,0,1,0.14285714285714285,0.12072870349245184
BBC,6,1,Great work by Bukayo Saka to steal the ball off Cody Gakpo out wide on the halfway line but England cannot make it count.,General,[Foul] Foul by Virgil van Dijk (Netherlands) on Harry Kane (England). Free kick for England.,5,0.2755633156048415,0.1925365044735747,0.1021181661994963,0.4370298,0.0384615384615384,0.2648029923439026,-0.2105532586574554,0.475356251001358,24,15,17,12,1,2,5,0,0.0,1,2,1,1.0,0,2,0,0.0,2,5,0,0,1,3,0,1,0,3,0,1,0.2727272727272727,0.2749961052773899
BBC,6,2,That's a rocket! No wonder they are saying good things about Xavi Simons. He wins the ball off Declan Rice and from the edge of the box unleashes an unstoppable finish into the net. Jordan Pickford dives in an attempt to keep it out but he wasn't getting to that.,Goal,[Foul] Foul by Virgil van Dijk (Netherlands) on Harry Kane (England). Free kick for England.,5,0.0209677182137966,0.0776070406039555,0.0,0.23282112,0.0,0.9383969902992249,-0.2105532586574554,1.1489502489566803,50,15,28,12,0,5,5,0,0.0,0,2,0,0.0,2,2,0,0.0,5,5,0,0,0,3,0,1,2,3,0,1,0.0,0.01677417420866394
BBC,9,1,Time for cool heads. England been behind before at this tournament but they have serious work to do.,General,[Foul] Foul by Jerdy Schouten (Netherlands) on Jude Bellingham (England) near the box.,8,0.17166096363907,0.09147845731106,0.031767708309875,0.18384413,0.0588235294117647,0.1508817821741104,-0.4369097352027893,0.5877915173768997,18,13,9,10,1,1,3,0,0.0,1,2,1,1.0,0,1,0,0.0,1,3,0,0,1,2,0,0,0,2,0,1,1.0,0.337328770068948
BBC,11,1,"Bukayo Saka wins a free-kick inside the Dutch half after being shoved to the floor by Cody Gakpo. By the way, Saka has been one of England's better players so far.",Free Kick,[Foul] Foul by Cody Mathès Gakpo (Netherlands) on Bukayo Saka (England). Free kick awarded.,10,0.2460737220277309,0.4006259033189773,0.2497871952141222,0.6477427,0.3043478260869565,0.8363128900527954,-0.3812699317932129,1.2175828218460083,31,14,20,12,7,4,4,2,0.5,1,2,1,1.0,0,2,0,0.0,5,4,1,0,1,2,0,0,0,3,0,1,0.391304347826087,0.27511984945623147
BBC,13,1,"That goal was timed at 6:41. The Netherlands have avoided defeat in their last four matches when scoring first in the European Championship, since a 2-1 loss to Portugal in 2012.",General,[Shot Saved] Attempt saved. Harry Kane's right footed shot from the edge of the box denied by Bart Verbruggen.,12,0.3252315890920939,0.1313400401350898,0.0713068645230062,0.32271326,0.0,0.0752114579081535,-0.0178823061287403,0.0930937640368938,31,19,17,14,0,2,4,0,0.0,2,0,0,0.0,1,3,0,0.0,2,4,0,0,2,0,0,0,1,5,0,2,0.0,0.2601852720972225
BBC,14,1,SO CLOSE! Good work by Bukayo Saka leads to an attempt by Harry Kane which flashes agonisingly over. Kane is hurt after connecting with Denzel Dumfries while getting his shot away.,Shot,[Yellow Card] Denzel Dumfries (Netherlands) receives a yellow card for a foul on Harry Kane (England).,13,0.2396990820338342,0.2358036358581667,0.1125835153029133,0.45197025,0.1428571428571428,0.6252076029777527,-0.1234069764614105,0.7486145794391632,31,16,23,12,4,3,3,2,0.6666666666666666,0,2,0,0.0,2,2,0,0.0,4,3,1,0,0,2,0,0,2,3,0,1,0.5555555555555556,0.3028703768552897
