match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
3941019,1,0,1,"KICKOFF:  France kick off, and we are under way in Dusseldorf!",key_event,Kick Off,,France,61
3941019,2,0,2,"Early on, France put a half-chance wide, as Rabiot prods the ball several yards to the left of Casteels' goal. It was a tough volley to execute, in all fairness to the Juventus midfielder.",general,General,"Rabiot, Casteels",France,195
3941019,4,0,4,"Interestingly, six players that started the 2018 World Cup semi-final between these nations also start in Germany today: Mbappe, Kante and Griezmann for France; De Bruyne, Lukaku and Vertonghen for Belgium.",general,General,"Mbappe, Kante, Griezmann, De Bruyne, Lukaku, Vertonghen",Both,204
3941019,6,0,6,"France are enjoying their first sustained spell of pressure, but it all dies out when Thuram tries to win a free kick from Theate on the right byline and his claims are quickly dismissed by the referee.",general,General,"Thuram, Theate",France,187
3941019,8,0,8,"This is just the second time Openda and Lukaku have started together for their national team, and it seems a curious point of the tournament to experiment. Will Tedesco's tinkering pay off, though?",general,General,"Openda, Lukaku, Tedesco",Belgium,195
3941019,10,0,10,"Allowed to travel through midfield and towards the edge of Belgium's area, Griezmann eyes up a shot. However, his 20-yard effort is sent bobbling low along the turf, and Casteels comfortably gathers it.",general,General,"Griezmann, Casteels",France,198
3941019,12,0,12,"Griezmann and Kounde cleverly combine on the right flank, and the ball is cut back into the box by the latter, only to evade every French player. A real moment of concern for the Belgians there.",general,General,"Griezmann, Kounde",France,185
3941019,14,0,14,"After Hernandez lays a short pass off to Mbappe on the left side of the area, the France captain lashes an angled shot towards goal. It takes a deflection and flies wide, but the referee somehow misses the Belgian defender's touch and awards a goal kick instead.",general,Shot,"Hernandez, Mbappe",France,261
3941019,15,0,15,"YELLOW CARD!  After France are mistakenly denied a corner kick, Tchouameni protests a little too long and too loudly, so he receives the game's first booking. He'll have to tread carefully from now on.",key_event,Yellow Card,Tchouameni,France,190
3941019,17,0,17,"CHANCE!  France continue to press for an opening goal: Thuram arrives in front of his marker at the near post, only to steer a header from Griezmann's corner well wide of the target.",key_event,Chance,"Thuram, Griezmann",France,168
3941019,19,0,19,"It's quite surprising just how passively Belgium have started this match, perhaps paying their old rivals a little bit too much respect. They've barely laid a glove on Les Bleus thus far.",general,General,,Belgium,171
3941019,20,0,20,"With a wildly optimistic effort, Rabiot thumps a 30-yarder high and wide of the target. There was no pressure on the ball, so he felt entitled to have a go - surely the wrong option, though.",general,Shot,Rabiot,France,180
