match_id,minute,period,home_team,away_team,home_score,away_score,stage,detected_type,player,team,llm_commentary,model,agent_model,momentum_used,chain_used,generated_at
3941022,0,1,Austria,Turkey,0,1,Round of 16,Kick Off,,Turkey,"[Kick Off] The Round of 16 begins! Austria faces Turkey, both eager to advance.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:52:47.147010
3941022,0,1,Austria,Turkey,0,1,Round of 16,Goal,Merih Demiral,Turkey,"[Goal] Goal! Austria 0, Turkey 1. Merih Demiral heads in from the corner delivery.",gpt-4o-mini,gpt-4o,False,True,2026-01-01T19:52:48.147928
3941022,1,1,Austria,Turkey,0,1,Round of 16,General,Philipp Mwene,Austria,"[General] Austria dominating the early exchanges, controlling 100% possession in midfield.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:52:51.507039
3941022,2,1,Austria,Turkey,0,1,Round of 16,Shot (Off T),Christoph Baumgartner,Austria,[Shot Missed] Attempt missed! Christoph Baumgartner dribbles past his man but fires wide from the edge of the box.,gpt-4o-mini,gpt-4o,False,True,2026-01-01T19:52:53.639957
3941022,3,1,Austria,Turkey,0,1,Round of 16,General,Philipp Mwene,Austria,"[General] Austria dominating early with 91% possession, Seiwald heavily involved in midfield play.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:52:57.156539
3941022,4,1,Austria,Turkey,0,1,Round of 16,Injury,Christoph Baumgartner,Austria,[Injury] Early concern for Austria as Christoph Baumgartner goes down with an injury.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:52:58.881473
3941022,6,1,Austria,Turkey,0,1,Round of 16,Shot (Off T),Philipp Lienhart,Austria,[Shot Missed] Lienhart's header from the six-yard box goes over the bar. Austria pushing forward.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:53:00.294673
3941022,7,1,Austria,Turkey,0,1,Round of 16,Corner,Christoph Baumgartner,Austria,"[Corner] Corner for Austria. Baumgartner delivers, conceded by Günok.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:53:01.322070
3941022,8,1,Austria,Turkey,0,1,Round of 16,General,Nicolas Seiwald,Austria,"[General] Turkey controlling the midfield with 54% possession, Demiral highly active early on.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:53:04.690712
3941022,9,1,Austria,Turkey,0,1,Round of 16,General,Orkun Kökçü,Turkey,"[General] Turkey dominating midfield with 67% possession, led by Arda Güler's nine touches.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:53:07.993421
3941022,10,1,Austria,Turkey,0,1,Round of 16,Yellow Card,Orkun Kökçü,Turkey,[Yellow Card] Orkun Kökçü (Turkey) shown a yellow card for a foul on Christoph Baumgartner (Austria).,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:53:10.181162
3941022,11,1,Austria,Turkey,0,1,Round of 16,Shot (Blocked),Philipp Lienhart,Austria,[Shot Blocked] Pressure from Austria! Lienhart's right-footed effort from the center of the box is blocked by Kökçü.,gpt-4o-mini,gpt-4o,False,True,2026-01-01T19:53:11.414478
3941022,12,1,Austria,Turkey,0,1,Round of 16,Free Kick,Fehmi Mert Günok,Turkey,[Foul] Foul by Romano Schmid (Austria) on Ferdi Erenay Kadıoğlu (Turkey). Free kick awarded in Turkey's defensive half.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:53:12.800954
3941022,13,1,Austria,Turkey,0,1,Round of 16,Free Kick,Arda Güler,Turkey,[Foul] Foul by Austria on Arda Güler in the attacking third.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:53:13.796066
3941022,14,1,Austria,Turkey,0,1,Round of 16,Free Kick,Kaan Ayhan,Turkey,[Foul] Foul by Marko Arnautović (Austria) on Kaan Ayhan (Turkey. Free kick awarded in midfield.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:53:14.879523
3941022,15,1,Austria,Turkey,0,1,Round of 16,General,Philipp Lienhart,Austria,[General] Austria dominating the midfield early on with 100% possession. Lienhart highly active.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:53:18.345302
3941022,16,1,Austria,Turkey,0,1,Round of 16,General,Kevin Danso,Austria,"[General] Austria in control, dominating midfield for the last 2 minutes. Nicolas Seiwald leading the charge with 14 events.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:53:23.580047
3941022,17,1,Austria,Turkey,0,1,Round of 16,General,Philipp Mwene,Austria,"[General] Austria in control, dominating midfield for the last 3 minutes. Kevin Danso active with 10 events.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:53:27.383549
3941022,18,1,Austria,Turkey,0,1,Round of 16,Shot (Off T),Arda Güler,Turkey,[Shot Missed] Attempt missed! Arda Güler dribbles past his man but fires wide from midfield with his left foot.,gpt-4o-mini,gpt-4o,False,True,2026-01-01T19:53:29.461491
3941022,19,1,Austria,Turkey,0,1,Round of 16,General,Merih Demiral,Turkey,"[General] Austria controlling the game with 59% possession, Lienhart active in midfield.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:53:33.298018
