data_source,minute,sequence_rank,real_commentary,real_type,our_sequence_commentary,sequence_id,average_score,average_score_no_sentiment,TF-IDF,Embeddings_BERT,content_overlap_ratio,real_sentiment,our_sentiment,sentiment_diff,real_word_count,our_word_count,real_content_words,our_content_words,matching_content_words,real_unique_players,our_unique_players,matching_players,entity_players_match,real_unique_teams,our_unique_teams,matching_teams,entity_teams_match,real_unique_events,our_unique_events,matching_events,entity_events_match,real_player_mentions,our_player_mentions,real_player_repetitions,our_player_repetitions,real_team_mentions,our_team_mentions,real_team_repetitions,our_team_repetitions,real_event_mentions,our_event_mentions,real_event_repetitions,our_event_repetitions,ner_score
FOX,0,1,The current period has begun.,Kick Off,,-1,0.0,0.0,0.0,0.0,0.0,0.0585893616080284,0.0,0.0585893616080284,5,0,3,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
FOX,0,1,Fabian Ruiz (Spain) is not on the pitch at the moment but still receives a yellow card.,Yellow Card,,-1,0.0,0.0,0.0,0.0,0.0,-0.1503732949495315,0.0,0.1503732949495315,17,0,10,0,0,1,0,0,0.0,1,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
FOX,1,1,Spain's Pedri gets in a shot on goal at Stuttgart Arena. But the effort is unsuccessful.,General,"[0:20] Unai Simón Mendibil under pressure, carries the ball under pressure, plays a short pass along the ground to Aymeric Laporte, Aymeric Laporte under pressure, carries the ball under pressure, plays a medium pass forward along the ground to Marc Cucurella Saseta, Marc Cucurella Saseta under pressure, carries the ball - BUT LOSES IT!",5,0.3244007039224241,0.1267724627461875,0.0711231214424505,0.309194266796112,0.0,-0.3183322846889496,-0.2356177121400833,0.0827145725488662,16,54,9,41,0,3,3,0,0.0,1,0,0,0.0,3,1,0,0.0,3,3,0,0,1,0,0,0,3,2,0,1,0.0
FOX,1,2,Spain's Pedri gets in a shot on goal at Stuttgart Arena. But the effort is unsuccessful.,General,"[0:52] Pedro González López under pressure, shoots with the left foot from a DANGEROUS position - SAVED by the goalkeeper! Parried away!",10,0.3003910276834687,0.1523919750974603,0.0594054608720623,0.3977704644203186,0.0,-0.3183322846889496,-0.0627204701304435,0.255611814558506,16,22,9,14,0,3,2,0,0.0,1,0,0,0.0,3,2,1,0.3333333333333333,3,2,0,0,1,0,0,0,3,2,0,0,0.10526315789473684
FOX,1,3,Spain's Pedri gets in a shot on goal at Stuttgart Arena. But the effort is unsuccessful.,General,[0:41] Emre Can loses control under pressure! . Fabián Ruiz Peña wins the ball back,8,0.2951216614906894,0.142902894704197,0.0361672159691281,0.3925414681434631,0.0,-0.3183322846889496,-0.0701102465391159,0.2482220381498336,16,15,9,11,0,3,2,0,0.0,1,0,0,0.0,3,0,0,0.0,3,2,0,0,1,0,0,0,3,0,0,0,0.0
FOX,1,4,Spain's Pedri gets in a shot on goal at Stuttgart Arena. But the effort is unsuccessful.,General,"[0:42] Fabián Ruiz Peña under pressure, carries the ball under pressure, plays a short pass forward along the ground to Nicholas Williams Arthuer into the right attacking third, Nicholas Williams Arthuer under pressure, drives forward with the ball under pressure, plays a dangerous medium pass forward along the ground to Álvaro Borja Morata Martín into the central attacking third . Jonathan Tah closes down Nicholas Williams Arthuer",9,0.2803397001388186,0.135279492744143,0.0668722576151347,0.3389662206172943,0.0,-0.3183322846889496,-0.033852607011795,0.2844796776771545,16,67,9,54,0,3,4,0,0.0,1,0,0,0.0,3,1,0,0.0,3,4,0,0,1,0,0,0,3,2,0,1,0.0
FOX,1,5,Spain's Pedri gets in a shot on goal at Stuttgart Arena. But the effort is unsuccessful.,General,"[0:29] Nicholas Williams Arthuer under pressure, carries the ball under pressure, plays a medium pass forward along the ground to Álvaro Borja Morata Martín, Álvaro Borja Morata Martín under pressure, carries the ball under pressure, plays a short pass along the ground to Nicholas Williams Arthuer, but the pass doesn't find its target, Nicholas Williams Arthuer closes down the ball carrier",6,0.2737100597115746,0.1233873115999686,0.0792393824527228,0.2909225523471832,0.0,-0.3183322846889496,-0.043010588735342,0.2753216959536075,16,61,9,48,0,3,2,0,0.0,1,0,0,0.0,3,1,0,0.0,3,2,0,0,1,0,0,0,3,3,0,2,0.0
FOX,1,6,Spain's Pedri gets in a shot on goal at Stuttgart Arena. But the effort is unsuccessful.,General,"[0:53] The goalkeeper deals with it under pressure, plays a long pass forward for treatment",11,0.262469495749961,0.1357533175633889,0.0361672159691281,0.3710927367210388,0.0,-0.3183322846889496,0.0390496850013732,0.3573819696903229,16,15,9,9,0,3,0,0,0.0,1,0,0,0.0,3,2,1,0.3333333333333333,3,0,0,0,1,0,0,0,3,2,0,0,0.10526315789473684
FOX,1,7,Spain's Pedri gets in a shot on goal at Stuttgart Arena. But the effort is unsuccessful.,General,"[0:37] Pedro González López closes down Toni Kroos . Antonio Rüdiger under pressure, carries the ball under pressure, plays a short pass along the ground to Joshua Kimmich, Joshua Kimmich under pressure, carries the ball under pressure, plays a short pass along the ground to Emre Can",7,0.2583321169557728,0.1175228698276887,0.0554003844330937,0.2971682250499725,0.0,-0.3183322846889496,0.0009078569710254,0.319240141659975,16,47,9,36,0,3,5,0,0.0,1,0,0,0.0,3,1,0,0.0,3,5,0,0,1,0,0,0,3,2,0,1,0.0
FOX,1,8,Spain's Pedri gets in a shot on goal at Stuttgart Arena. But the effort is unsuccessful.,General,"[0:01] Toni Kroos under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Germany and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Toni Kroos under pressure, plays a long ball forward through the air to Kai Havertz into the central attacking third, but the pass doesn't find its target . 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between Germany and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Robin Aime Robert Le Normand under pressure, plays a short pass, INTERCEPTED! Spain loses the ball . Jamal Musiala wins the ball back under pressure, carries the ball - BUT LOSES IT!",2,0.1174879753030991,0.2169722727189668,0.1265329994577588,0.5074346661567688,0.0169491525423728,-0.3183322846889496,0.8626326322555542,1.1809649169445038,16,130,9,91,1,3,7,0,0.0,1,2,1,1.0,3,2,0,0.0,3,7,0,0,1,5,0,3,3,4,0,2,0.15789473684210525
