match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
switzerland_italy,0,0,0,"Szymon Marciniak will referee today's match.",general,General,Marciniak,Both,48
switzerland_italy,0,0,0,"Switzerland will kick the game off.",general,Kick Off,,Switzerland,36
switzerland_italy,1,0,1,"Here we go, today's match is starting right now.",key_event,Kick Off,,Both,48
switzerland_italy,1,0,1,"The defender bravely blocks the shot from Breel Embolo (Switzerland) inside the box.",key_event,Shot,Embolo,Switzerland,85
switzerland_italy,2,0,2,"Michel Aebischer (Switzerland) crosses into the box from near the side line, but he doesn't connect as he wanted and it's cleared by the well-organized defence. Switzerland will have a chance to score from a corner kick.",general,Corner,Aebischer,Switzerland,212
switzerland_italy,2,0,2,"Michel Aebischer (Switzerland) launches the ball from the resulting corner, but one of the defenders is first to the ball and deals with the threat.",general,Corner,Aebischer,Switzerland,150
switzerland_italy,3,0,3,"Nicolo Barella (Italy) makes a rough challenge and Szymon Marciniak blows his whistle for a foul. Free kick. Switzerland will probably just try to cross the ball in from here.",general,General,Barella,Italy,170
switzerland_italy,3,0,3,"Ricardo Rodriguez (Switzerland) attempts to find one of his teammates, but puts far too much on the pass and the chance is gone.",general,General,Rodriguez,Switzerland,132
switzerland_italy,4,0,4,"Bryan Cristante (Italy) gives away a foul for a fierce tackle on an opponent. A free kick has been awarded to Switzerland.",general,General,Cristante,Italy,124
switzerland_italy,4,0,4,"Ruben Vargas (Switzerland) sends the ball into the box from the side of the pitch, but his cross is blocked.",general,General,Vargas,Switzerland,109
switzerland_italy,6,0,6,"Stephan El Shaarawy (Italy) is picked out by one of his teammates with a great cross, but his poor control allows the defence to clear and avert the threat.",general,General,El Shaarawy,Italy,165
switzerland_italy,8,0,8,"Ricardo Rodriguez (Switzerland) looks to break free, but an opposing player clears the ball away.",general,General,Rodriguez,Switzerland,95
switzerland_italy,9,0,9,"Bryan Cristante (Italy) makes an overly-aggressive challenge and Szymon Marciniak blows his whistle for a foul.",general,General,Cristante,Italy,114
switzerland_italy,9,0,9,"Nicolo Barella (Italy) is clearly asking for some medical attention with his painful gestures. The extent of his injury is yet to be discovered.",general,General,Barella,Italy,148
