match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
france_belgium,0,0,0,"First Half begins.",key_event,Kick Off,,Both,19
france_belgium,2,0,2,"Attempt missed. Adrien Rabiot (France) left footed shot from the centre of the box misses to the left. Assisted by Aurélien Tchouaméni with a cross.",general,General,"Rabiot, Tchouaméni",France,144
france_belgium,3,0,3,"Offside, France. Marcus Thuram is caught offside.",general,Offside,Thuram,France,52
france_belgium,10,0,10,"Attempt saved. Antoine Griezmann (France) left footed shot from outside the box is saved in the centre of the goal. Assisted by Adrien Rabiot.",general,General,"Griezmann, Rabiot",France,142
france_belgium,14,0,14,"Corner, France. Conceded by Timothy Castagne.",general,Corner,Castagne,France,47
france_belgium,14,0,14,"Attempt missed. Kylian Mbappé (France) right footed shot from the left side of the box is high and wide to the right. Assisted by Théo Hernández following a corner.",general,Corner,"Mbappé, Hernández",France,159
france_belgium,14,0,14,"Aurélien Tchouaméni (France) is shown the yellow card.",key_event,Yellow Card,Tchouaméni,France,52
france_belgium,17,0,17,"Corner, France. Conceded by Arthur Theate.",general,Corner,Theate,France,45
france_belgium,18,0,18,"Attempt missed. Marcus Thuram (France) header from the centre of the box is high and wide to the right. Assisted by Antoine Griezmann with a cross following a corner.",general,Corner,"Thuram, Griezmann",France,158
france_belgium,20,0,20,"Attempt missed. Adrien Rabiot (France) left footed shot from outside the box is high and wide to the right. Assisted by Aurélien Tchouaméni.",general,General,"Rabiot, Tchouaméni",France,140
france_belgium,23,0,23,"Foul by Antoine Griezmann (France).",general,Foul,Griezmann,France,37
france_belgium,23,0,23,"Jérémy Doku (Belgium) wins a free kick on the left wing.",general,Free Kick,Doku,Belgium,58
france_belgium,23,0,23,"Antoine Griezmann (France) is shown the yellow card for a bad foul.",key_event,Yellow Card,Griezmann,France,68
france_belgium,24,0,24,"Foul by Adrien Rabiot (France).",general,Foul,Rabiot,France,32
france_belgium,24,0,24,"Jérémy Doku (Belgium) wins a free kick in the defensive half.",general,Free Kick,Doku,Belgium,63
france_belgium,24,0,24,"Adrien Rabiot (France) is shown the yellow card for a bad foul.",key_event,Yellow Card,Rabiot,France,63
france_belgium,25,0,25,"Delay in match because of an injury Jérémy Doku (Belgium).",general,Injury,Doku,Belgium,60
france_belgium,26,0,26,"Delay over. They are ready to continue.",general,General,,Both,42
france_belgium,27,0,27,"Attempt blocked. Yannick Carrasco (Belgium) left footed shot from the centre of the box is blocked.",general,General,Carrasco,Belgium,100
france_belgium,33,0,33,"Antoine Griezmann (France) wins a free kick in the defensive half.",general,Free Kick,Griezmann,France,66
france_belgium,33,0,33,"Foul by Kevin De Bruyne (Belgium).",general,Foul,De Bruyne,Belgium,35
france_belgium,34,0,34,"Attempt missed. Marcus Thuram (France) header from the centre of the box is close, but misses the top right corner. Assisted by Jules Koundé with a cross.",general,General,"Thuram, Koundé",France,147
france_belgium,35,0,35,"Foul by Jules Koundé (France).",general,Foul,Koundé,France,30
france_belgium,35,0,35,"Jérémy Doku (Belgium) wins a free kick in the defensive half.",general,Free Kick,Doku,Belgium,63
france_belgium,36,0,36,"Aurélien Tchouaméni (France) wins a free kick in the defensive half.",general,Free Kick,Tchouaméni,France,66
france_belgium,36,0,36,"Foul by Loïs Openda (Belgium).",general,Foul,Openda,Belgium,31
france_belgium,39,0,39,"Attempt missed. Aurélien Tchouaméni (France) right footed shot from outside the box is close, but misses the top right corner. Assisted by Antoine Griezmann.",general,General,"Tchouaméni, Griezmann",France,154
france_belgium,41,0,41,"Attempt missed. Marcus Thuram (France) right footed shot from the centre of the box misses to the right.",general,General,Thuram,France,96
france_belgium,43,0,43,"Delay in match because of an injury Arthur Theate (Belgium).",general,Injury,Theate,Belgium,60
france_belgium,44,0,44,"Delay over. They are ready to continue.",general,General,,Both,42
france_belgium,44,0,44,"Adrien Rabiot (France) wins a free kick in the defensive half.",general,Free Kick,Rabiot,France,61
france_belgium,44,0,44,"Foul by Kevin De Bruyne (Belgium).",general,Foul,De Bruyne,Belgium,35
france_belgium,45,0,45,"Corner, France. Conceded by Wout Faes.",general,Corner,Faes,France,42
