data_source,minute,sequence_rank,real_commentary,real_type,our_sequence_commentary,sequence_id,average_score,average_score_no_sentiment,TF-IDF,Embeddings_BERT,content_overlap_ratio,real_sentiment,our_sentiment,sentiment_diff,real_word_count,our_word_count,real_content_words,our_content_words,matching_content_words,real_unique_players,our_unique_players,matching_players,entity_players_match,real_unique_teams,our_unique_teams,matching_teams,entity_teams_match,real_unique_events,our_unique_events,matching_events,entity_events_match,real_player_mentions,our_player_mentions,real_player_repetitions,our_player_repetitions,real_team_mentions,our_team_mentions,real_team_repetitions,our_team_repetitions,real_event_mentions,our_event_mentions,real_event_repetitions,our_event_repetitions
FOX,0,1,The current period has begun.,Kick Off,,-1,0.0,0.0,0.0,0.0,0.0,0.0585893616080284,0.0,0.0585893616080284,5,0,3,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
FOX,0,1,Kieran Trippier (England) is not on the pitch at the moment but still receives a yellow card.,Yellow Card,,-1,0.0,0.0,0.0,0.0,0.0,-0.1835677027702331,0.0,0.1835677027702331,17,0,10,0,0,1,0,0,0.0,1,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
FOX,1,1,Felix Zwayer signals a free kick to Netherlands.,Free Kick,"[0:32] Virgil van Dijk under pressure, delivers the free kick a medium pass along the ground to Stefan de Vrij, Stefan de Vrij under pressure, carries the ball under pressure, delivers the free kick a short pass forward along the ground to Jerdy Schouten, Jerdy Schouten under pressure, carries the ball under pressure, delivers the free kick a short pass back along the ground to Stefan de Vrij",6,0.3989624570737226,0.24465716861916162,0.1314573414097004,0.5225141644477844,0.08,0.1672322750091552,0.0291105974465608,0.1381216775625944,8,68,6,50,2,1,5,0,0.0,1,0,0,0.0,1,2,1,1.0,1,5,0,0,1,0,0,0,1,6,0,4
FOX,1,2,Felix Zwayer signals a free kick to Netherlands.,Free Kick,"[0:44] Virgil van Dijk under pressure, carries the ball under pressure, delivers the free kick a medium pass to Stefan de Vrij, Stefan de Vrij under pressure, carries the ball under pressure, delivers the free kick a medium pass along the ground to Denzel Dumfries, Denzel Dumfries under pressure, carries the ball",7,0.3819870777995453,0.2190086837372602,0.1062553241408854,0.4598616361618042,0.0909090909090909,0.1672322750091552,0.0381545349955558,0.1290777400135994,8,52,6,39,2,1,5,0,0.0,1,0,0,0.0,1,2,1,1.0,1,5,0,0,1,0,0,0,1,4,0,2
FOX,1,3,Felix Zwayer signals a free kick to Netherlands.,Free Kick,"[0:02] Jordan Pickford under pressure, carries the ball from the central defensive third into the right defensive third - BUT LOSES IT! . Memphis Depay closes down Jordan Pickford . 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between England and Netherlands. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Jordan Pickford under MASSIVE pressure, plays a long ball forward through the air into the left attacking third, INTERCEPTED! England loses the ball . 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between England and Netherlands. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Virgil van Dijk under pressure, plays a long ball forward through the air to Memphis Depay, but the pass doesn't find its target . 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between England and Netherlands. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! John Stones under pressure, plays a medium pass forward through the air to Harry Kane into the central attacking third",2,0.3733136484731145,0.18800054966859123,0.0886026296849678,0.4420656859874725,0.0333333333333333,0.1672322750091552,0.0964852198958396,0.0707470551133155,8,191,6,135,2,1,9,0,0.0,1,2,1,1.0,1,2,0,0.0,1,9,0,0,1,7,0,5,1,5,0,3
FOX,1,4,Felix Zwayer signals a free kick to Netherlands.,Free Kick,"[0:53] Stefan de Vrij under pressure, carries the ball under pressure, delivers the free kick a medium pass forward along the ground to Denzel Dumfries, Denzel Dumfries under pressure, carries the ball from the left defensive third into the left midfield under pressure, delivers the free kick a long ball forward through the air to Donyell Malen into the left attacking third . Marc Guehi under pressure, delivers the free kick a long pass back along the ground to Jordan Pickford",8,0.3727147676184669,0.21813682269849968,0.1181047988142814,0.4807501137256622,0.0555555555555555,0.1672322750091552,0.0036808773875236,0.1635513976216316,8,81,6,60,2,1,6,0,0.0,1,0,0,0.0,1,2,1,1.0,1,6,0,0,1,0,0,0,1,5,0,3
FOX,1,5,Felix Zwayer signals a free kick to Netherlands.,Free Kick,"[0:16] Cody Mathès Gakpo is fouled, Nathan Aké under pressure, delivers the free kick a medium pass back along the ground to Virgil van Dijk, Virgil van Dijk under pressure, carries the ball from the right defensive third into the central defensive third under pressure, delivers the free kick a short pass along the ground to Nathan Aké, Nathan Aké under pressure, carries the ball",5,0.330907825553927,0.1941436183777295,0.09716568764306,0.4207490384578705,0.064516129032258,0.1672322750091552,-0.0915672779083252,0.2587995529174804,8,65,6,50,2,1,4,0,0.0,1,0,0,0.0,1,3,1,1.0,1,4,0,0,1,0,0,0,1,5,0,2
FOX,1,6,Felix Zwayer signals a free kick to Netherlands.,Free Kick,[0:14] Tijjani Reijnders closes down Harry Kane . Harry Kane loses control under pressure! . Cody Mathès Gakpo wins the ball back,3,0.2548104859888553,0.10110010703404743,0.0,0.3033003211021423,0.0,0.1672322750091552,-0.1168261021375656,0.2840583771467209,8,22,6,18,0,1,3,0,0.0,1,0,0,0.0,1,0,0,0.0,1,3,0,0,1,0,0,0,1,0,0,0
FOX,1,7,Felix Zwayer signals a free kick to Netherlands.,Free Kick,"[0:16] Cody Mathès Gakpo under pressure, carries the ball - BUT LOSES IT! . Kyle Walker closes down Cody Mathès Gakpo ⚠️ FOUL by Kyle Walker in the central midfield",4,0.2415628656744957,0.09687945246696471,0.0,0.2906383574008941,0.0,0.1672322750091552,-0.1571546196937561,0.3243868947029114,8,29,6,20,0,1,2,0,0.0,1,0,0,0.0,1,1,0,0.0,1,2,0,0,1,0,0,0,1,1,0,0
FOX,1,8,Felix Zwayer signals a free kick to Netherlands.,Free Kick,"[0:00] Starting XI . Starting XI . Half Start . Half Start, 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between England and Netherlands. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Kobbie Mainoo under pressure, plays a long pass back along the ground to Jordan Pickford",1,0.2166054115264493,0.1988851647335791,0.100861950836865,0.4431619644165039,0.0526315789473684,0.1672322750091552,0.8974661231040955,0.7302338480949402,8,58,6,39,2,1,7,0,0.0,1,2,1,1.0,1,2,0,0.0,1,7,0,0,1,2,0,0,1,2,0,0
