match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
turkey_georgia,0,0,0,"Facundo Tello is introduced as the referee for today's match.",general,General,Tello,Both,64
turkey_georgia,0,0,0,"The players are out and the match is about to start. Georgia will have the kick-off.",general,Kick Off,,Georgia,84
turkey_georgia,1,0,1,"The first half of this match is about to start.",key_event,Kick Off,,Both,48
turkey_georgia,1,0,1,"The Turkey players are exchanging some short passes to try and open up the opposition's defence and hit them swiftly on the break.",general,General,,Turkey,145
turkey_georgia,2,0,2,"A long pass, executed by Samet Akaydin (Turkey), missed the precision to reach his teammates.",general,General,Akaydin,Turkey,105
turkey_georgia,4,0,4,"Arda Guler (Turkey) found some space to play in a lofted pass, but he looks disappointed as none of his teammates managed to connect with it.",general,General,Guler,Turkey,161
turkey_georgia,5,0,5,"Giorgi Chakvetadze (Georgia) produces a dangerous lofted cross into the box which is intercepted.",general,General,Chakvetadze,Georgia,103
turkey_georgia,6,0,6,"Kaan Ayhan (Turkey) produces a lovely ball into the penalty area but the defender manages to intercept and comfortably averts the danger. The referee blows his whistle, Turkey are awarded a corner kick.",general,Corner,Ayhan,Turkey,213
turkey_georgia,6,0,6,"Hakan Calhanoglu (Turkey) is heading toward the corner flag to take the set piece.",general,Corner,Calhanoglu,Turkey,84
turkey_georgia,6,0,6,"Kaan Ayhan (Turkey) gets his head on the corner, but he can't find the target as his header flies high over the crossbar.",key_event,Shot,Ayhan,Turkey,139
turkey_georgia,7,0,7,"Hakan Calhanoglu (Turkey) brings down the pass, looks up and shoots from distance, but it's straight at a defender who unwittingly blocks it.",general,General,Calhanoglu,Turkey,151
turkey_georgia,8,0,8,"Arda Guler (Turkey) trips an opposition player and Facundo Tello signals a foul.",general,General,Guler,Turkey,90
turkey_georgia,9,0,9,"Kaan Ayhan (Turkey) serves up a nice cross, but the defence clears the danger.",general,General,Ayhan,Turkey,88
turkey_georgia,10,0,10,"Arda Guler (Turkey) looks like he will be the one to try and deliver a quality ball into the penalty box from the corner kick.",general,Corner,Guler,Turkey,137
turkey_georgia,10,0,10,"Abdulkerim Bardakci (Turkey) outbattles the defender to win the ball from the corner, but he can't quite control his header and sends it just wide of the left post.",key_event,Shot,Bardakci,Turkey,181
turkey_georgia,10,0,10,"Kaan Ayhan (Turkey) blows a good opportunity to score. Without hesitation he fires in a shot from mid range, but the ball crashes against the left post!",key_event,Shot,Ayhan,Turkey,163
turkey_georgia,12,0,12,"Anzor Mekvabishvili (Georgia) connected with a pass around the edge of the box, aimed and shot. His attempt went towards the left-hand post, but Mert Gunok was alert and the score remains the same.",key_event,Save,"Mekvabishvili, Gunok",Georgia,209
