match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
germany_denmark,0,0,0,"The referee of today's match will be Michael Oliver.",general,General,Oliver,Both,54
germany_denmark,0,0,0,"Germany will kick-off.",general,Kick Off,,Germany,23
germany_denmark,1,0,1,"The match has just started.",key_event,Kick Off,,Both,28
germany_denmark,2,0,2,"Joachim Andersen (Denmark) commits an ugly challenge. The referee sees it and immediately blows his whistle. Germany win a free kick and will be able to apply some pressure on the opposition goal.",general,General,Andersen,Denmark,196
germany_denmark,3,0,3,"David Raum (Germany) sees an unmarked teammate and attempts to send him a low pass. However, one of the defenders reads the game perfectly and averts the danger.",general,General,Raum,Germany,166
germany_denmark,4,0,4,"Corner kick. Toni Kroos (Germany) is ready to send the ball into the box.",general,Corner,Kroos,Germany,77
germany_denmark,4,0,4,"Nico Schlotterbeck (Germany) meets the corner and displays his eye for goal as he coolly plants a header from close range into the bottom left corner. The score is 1:0.",key_event,Disallowed Goal,Schlotterbeck,Germany,171
germany_denmark,4,0,4,"Wait! Referee Michael Oliver has indicated he is going to review the Germany goal using VAR. It's probably to see if there was a foul in the build-up.",general,VAR,,Germany,154
germany_denmark,4,0,4,"The goal by Germany is DISALLOWED on the advice of the video assistant referee due to a foul.",key_event,VAR,,Germany,92
germany_denmark,7,0,7,"Joshua Kimmich (Germany) wastes an opportunity. He finds himself in acres of space and fires in a terrific shot from long range straight towards the top right corner, but the goalkeeper makes a brilliant save and stops this one!",key_event,Save,Kimmich,Germany,220
germany_denmark,7,0,7,"Toni Kroos (Germany) steps up to send the ball in.",general,Corner,Kroos,Germany,49
germany_denmark,7,0,7,"Nico Schlotterbeck (Germany) outjumps the defence to meet the resulting corner and heads the ball towards the top right corner. His long-range header is not powerful enough, and the keeper comfortably makes a save.",key_event,Save,Schlotterbeck,Germany,202
germany_denmark,8,0,8,"Toni Kroos (Germany) launches the ball from the resulting corner, but one of the defenders is first to the ball and deals with the threat.",general,Corner,Kroos,Germany,139
germany_denmark,10,0,10,"Kai Havertz (Germany) had a golden opportunity. He volleyed from point blank range low towards the middle of the net, but Kasper Schmeichel was alert and made an amazing save!",key_event,Save,"Havertz, Schmeichel",Germany,179
germany_denmark,11,0,11,"Toni Kroos (Germany) goes over to take the corner kick and it looks like he will send the ball into the penalty box.",general,Corner,Kroos,Germany,119
germany_denmark,11,0,11,"Robert Andrich (Germany) peeled away from his marker and got on the end of the resulting corner, but he sends his header straight at the goalkeeper.",key_event,Save,Andrich,Germany,159
germany_denmark,12,0,12,"Joshua Kimmich (Germany) sends a cross into the box, but Kasper Schmeichel comes off his line to gather the ball.",general,General,"Kimmich, Schmeichel",Germany,121
germany_denmark,13,0,13,"Fine play by Jamal Musiala (Germany) opens up space on the edge of the box for the shot, but his effort lacks accuracy and flies miles past the left post.",key_event,Shot,Musiala,Germany,162
germany_denmark,14,0,14,"Ilkay Gundogan (Germany) brings his opponent down. Michael Oliver has a clear sight of it and blows his whistle for a foul. Denmark are awarded the free kick.",general,General,Gundogan,Germany,158
germany_denmark,15,0,15,"Christian Eriksen (Denmark) takes the free kick from a long way out but the defender manages to get it clear.",general,Free Kick,Eriksen,Denmark,114
germany_denmark,15,0,15,"Rough tackle by Andreas Christensen (Denmark). The referee blows his whistle for a foul. Germany earn a free kick which could lead to a goal-scoring opportunity.",general,Free Kick,Christensen,Denmark,163
