match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
spain_france,0,0,0,"Slavko Vincic will supervise the game today.",general,General,Vincic,Both,45
spain_france,0,0,0,"The players are out at last! France will take the kick-off.",general,Kick Off,,France,57
spain_france,1,0,1,"The first half has just begun.",key_event,Kick Off,,Both,29
spain_france,3,0,3,"Fabian Ruiz (Spain) fails to pick a body out in the box with an over-hit chip pass. The ball goes out of play and France will have a goal kick.",general,General,Ruiz,Spain,142
spain_france,4,0,4,"Lamine Yamal (Spain) jumps into a tackle and Slavko Vincic signals a foul.",general,General,Yamal,Spain,77
spain_france,5,0,5,"Spain are playing possession football and controlling the game at present. They are exchanging inch-perfect passes from player to player, making it difficult for the opposition to win the ball.",general,General,,Spain,199
spain_france,5,0,5,"What a chance that is! Lamine Yamal swings the ball into the box, and Fabian Ruiz (Spain) gets in front of his man and powers his header just over the bar.",key_event,Chance,"Yamal, Ruiz",Spain,154
spain_france,7,0,7,"Kylian Mbappe (France) received a clever through ball which could have put him in a promising position, but the defence was alert to the danger.",general,General,Mbappe,France,147
spain_france,8,0,8,"Nacho Fernandez (Spain) was trying to get to the ball but clattered into the legs of the opponent as well. Slavko Vincic blows his whistle for an infringement. It's a free kick to France, but they probably won't attempt a direct shot on goal from here.",general,Free Kick,Nacho,Spain,242
spain_france,9,0,9,"Goal! Randal Kolo Muani (France) makes the score 0:1 after burying a close-range header in the right side of the goal after a good run and cross by Kylian Mbappe.",key_event,Goal,"Kolo Muani, Mbappe",France,168
spain_france,11,0,11,"Nico Williams (Spain) tries to pass the ball into the penalty area but it's blocked.",general,General,Williams,Spain,85
spain_france,12,0,12,"Fabian Ruiz (Spain) attempts to find the head of one of his teammates with a promising cross into the box, but a defender outjumps the attackers and averts the threat.",general,General,Ruiz,Spain,168
spain_france,14,0,14,"Jesus Navas (Spain) is booked after bringing down an opponent. Slavko Vincic had an easy-decision to make.",key_event,Yellow Card,Navas,Spain,107
spain_france,15,0,15,"Adrien Rabiot (France) is writhing in pain and can now receive medical treatment after the referee signals for the physio to come onto the pitch.",general,General,Rabiot,France,143
spain_france,16,0,16,"The resulting free kick from 27 metres out taken by Kylian Mbappe (France) was blocked by the defensive wall, which was perfectly positioned by the goalkeeper.",general,Free Kick,Mbappe,France,162
spain_france,17,0,17,"Adrien Rabiot (France) seems to have picked up a minor injury, but it looks like he will be able to continue playing.",general,General,Rabiot,France,119
spain_france,19,0,19,"Kylian Mbappe (France) makes space for himself in the box after some nice work, but his shot is immediately charged down by a defender.",key_event,Shot,Mbappe,France,138
spain_france,21,0,21,"Lamine Yamal (Spain) unleashes a powerful shot from long distance. His precise attempt glances off the post into the top left corner and leaves the goalkeeper beaten.",key_event,Goal,Yamal,Spain,169
spain_france,23,0,23,"The ball is cleared after Jesus Navas (Spain) attempted to dribble past an opposing player. Good work from Spain as they win a corner.",general,Corner,Navas,Spain,138
spain_france,23,0,23,"Nico Williams (Spain) swings in a dangerous cross from the resulting corner kick, but none of his teammates manage to outjump the defence.",general,Corner,Williams,Spain,142
spain_france,25,0,25,"It's a goal! Dani Olmo (Spain) displays superb quick feet and dribbling as he jinks his way through multiple challenges and takes a shot from inside the box, which is deflected and goes past stranded Mike Maignan. 2:1.",key_event,Goal,"Olmo, Maignan",Spain,221
spain_france,27,0,27,"A pass by Ousmane Dembele (France) ends up in no man's land, and the attacking effort comes to an end. The ball is off of the pitch and it's a goal kick for Spain.",general,General,Dembele,France,164
spain_france,28,0,28,"Ousmane Dembele (France) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack.",general,General,Dembele,France,164
spain_france,28,0,28,"Slavko Vincic has a clear sight and sees a foul from Alvaro Morata (Spain). France win a free kick and will be able to apply some pressure on the opposition goal.",general,Free Kick,Morata,Spain,157
spain_france,29,0,29,"Ousmane Dembele (France) sends in a lofted cross from a mid-range free kick. His effort, however, goes out of play. The ball is off of the pitch and it's a goal kick for Spain.",general,Free Kick,Dembele,France,171
spain_france,30,0,30,"Dani Olmo (Spain) goes on a solo run, but he fails to create a chance as an opposition player blocks him.",general,General,Olmo,Spain,110
spain_france,33,0,33,"The ball spins up and hits the hand of Jules Kounde (France) after he fails to control it and the referee blows his whistle for a foul.",general,General,Kounde,France,137
spain_france,34,0,34,"Ousmane Dembele (France) is unable to feed an accurate cross into the box.",general,General,Dembele,France,72
spain_france,35,0,35,"Slavko Vincic blows his whistle for a foul after Theo Hernandez (France) hacks down one of his opponents.",general,General,Hernandez,France,106
spain_france,36,0,36,"Fabian Ruiz (Spain) gets on the end of a pass and takes a shot from the edge of the box, but it's blocked by one of the defending players. Spain will have a chance to score from a corner kick.",general,Corner,Ruiz,Spain,182
