match_id,minute,period,home_team,away_team,home_score,away_score,stage,detected_type,player,team,llm_commentary,model,agent_model,momentum_used,chain_used,generated_at
3941019,0,1,France,Belgium,0,0,Round of 16,Kick Off,,France,"[Kick Off] The Round of 16 is underway! France versus Belgium, both teams eager to advance.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:43:54.262765
3941019,1,1,France,Belgium,0,0,Round of 16,Shot (Off T),Adrien Rabiot,France,[Shot Missed] Rabiot's left-footed effort from the center of the box goes over the bar.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:43:55.376137
3941019,2,1,France,Belgium,0,0,Round of 16,General,Marcus Thuram,France,"[General] Belgium dominating midfield early with 61% possession, France struggling to regain control.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:43:58.523857
3941019,3,1,France,Belgium,0,0,Round of 16,Free Kick,Wout Faes,Belgium,"[Foul] Foul by France on Wout Faes in midfield, free kick awarded to Belgium.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:44:00.437913
3941019,4,1,France,Belgium,0,0,Round of 16,General,Arthur Theate,Belgium,"[General] France firmly in control early on, dominating possession with 100% in midfield.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:44:03.127975
3941019,5,1,France,Belgium,0,0,Round of 16,General,Koen Casteels,Belgium,"[General] Belgium dominating early with 96% possession, controlling the midfield effectively.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:44:05.910186
3941019,6,1,France,Belgium,0,0,Round of 16,General,Amadou Onana,Belgium,"[General] Belgium in control, dominating midfield for the last 2 minutes. Jan Vertonghen leading the charge.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:44:09.580253
3941019,7,1,France,Belgium,0,0,Round of 16,General,N'Golo Kanté,France,"[General] France dominating midfield early on, holding 78% possession, led by Tchouaméni's activity.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:44:13.309690
3941019,8,1,France,Belgium,0,0,Round of 16,General,Dayotchanculle Upamecano,France,"[General] France in control, dominating midfield for the last 2 minutes. Rabiot active with 12 events.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:44:15.846055
3941019,9,1,France,Belgium,0,0,Round of 16,Shot (Saved),Antoine Griezmann,France,"[Shot Saved] Attempt saved! Griezmann beats his man and fires from the edge of the box, but Casteels denies him.",gpt-4o-mini,gpt-4o,False,True,2026-01-01T19:44:17.020965
3941019,10,1,France,Belgium,0,0,Round of 16,General,N'Golo Kanté,France,"[General] France controlling the midfield with 58% possession, Tchouaméni leading the way.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:44:20.126098
3941019,11,1,France,Belgium,0,0,Round of 16,General,Dayotchanculle Upamecano,France,"[General] France dominating early, with 100% possession in Belgium's defensive third. Koundé highly involved.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:44:22.837194
3941019,12,1,France,Belgium,0,0,Round of 16,General,Antoine Griezmann,France,"[General] France in control, dominating midfield for the last 2 minutes with 90% possession. Tchouaméni leading the charge.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:44:25.728565
3941019,13,1,France,Belgium,0,0,Round of 16,Yellow Card,Aurélien Djani Tchouaméni,France,[Yellow Card] Aurélien Tchouaméni (France) receives a yellow card for a late challenge.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:44:28.286304
3941019,14,1,France,Belgium,0,0,Round of 16,General,William Saliba,France,"[General] Belgium firmly in control, dominating possession at 91% in France's defensive third.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:44:31.513566
3941019,15,1,France,Belgium,0,0,Round of 16,General,Theo Bernard François Hernández,France,"[General] France firmly in control, dominating midfield with 100% possession so far.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:44:34.385426
3941019,16,1,France,Belgium,0,0,Round of 16,General,Arthur Theate,Belgium,"[General] France in control, dominating midfield for the last 2 minutes, led by Upamecano.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:44:37.189295
3941019,17,1,France,Belgium,0,0,Round of 16,Shot (Off T),Marcus Thuram,France,[Shot Missed] Attempt missed! Marcus Thuram heads the ball over from the center of the box. France pressing with three corners so far.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:44:38.457940
3941019,18,1,France,Belgium,0,0,Round of 16,General,Aurélien Djani Tchouaméni,France,"[General] France asserting dominance with 100% possession, Tchouaméni leading the charge.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:44:41.333778
3941019,19,1,France,Belgium,0,0,Round of 16,Shot (Off T),Adrien Rabiot,France,[Shot Missed] Attempt missed! Rabiot dribbles past his man but shoots off target from the edge of the box.,gpt-4o-mini,gpt-4o,False,True,2026-01-01T19:44:42.398319
3941019,20,1,France,Belgium,0,0,Round of 16,General,Koen Casteels,Belgium,"[General] France dominating midfield with 95% possession, Tchouaméni leading the charge with 9 touches.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:44:47.119113
3941019,21,1,France,Belgium,0,0,Round of 16,General,Jules Koundé,France,"[General] Belgium firmly in control, dominating midfield with 100% possession.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:44:49.945606
3941019,22,1,France,Belgium,0,0,Round of 16,Yellow Card,Antoine Griezmann,France,[Yellow Card] Antoine Griezmann shown a yellow card for a foul on Jeremy Doku.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:44:51.706387
3941019,23,1,France,Belgium,0,0,Round of 16,Yellow Card,Adrien Rabiot,France,[Yellow Card] Adrien Rabiot (France) shown a yellow card for a foul on Jeremy Doku (Belgium).,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:44:53.589303
3941019,23,1,France,Belgium,0,0,Round of 16,Injury,Jeremy Doku,Belgium,"[Injury] Concern for Belgium as Doku limps off the pitch, receiving medical attention.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:44:55.867017
3941019,25,1,France,Belgium,0,0,Round of 16,Free Kick,Kevin De Bruyne,Belgium,[Foul] Foul by Adrien Rabiot (France) on Kevin De Bruyne (Belgium) in midfield.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:44:57.018194
3941019,26,1,France,Belgium,0,0,Round of 16,Shot (Blocked),Yannick Ferreira Carrasco,Belgium,[Shot Blocked] Attempt blocked! Carrasco's left-footed strike from the center of the box denied by Hernández.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:44:58.062729
