data_source,minute,sequence_rank,real_commentary,real_type,our_sequence_commentary,sequence_id,average_score,average_score_no_sentiment,TF-IDF,Embeddings_BERT,content_overlap_ratio,real_sentiment,our_sentiment,sentiment_diff,real_word_count,our_word_count,real_content_words,our_content_words,matching_content_words,real_unique_players,our_unique_players,matching_players,entity_players_match,real_unique_teams,our_unique_teams,matching_teams,entity_teams_match,real_unique_events,our_unique_events,matching_events,entity_events_match,real_player_mentions,our_player_mentions,real_player_repetitions,our_player_repetitions,real_team_mentions,our_team_mentions,real_team_repetitions,our_team_repetitions,real_event_mentions,our_event_mentions,real_event_repetitions,our_event_repetitions
BBC,1,1,An incredible noise inside the Olympiastadion as England get the Euro 2024 final under way.,Kick Off,"[0:00] Starting XI . Starting XI, Half Start . Half Start . 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between England and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Kobbie Mainoo under pressure, plays a long pass back along the ground to Jordan Pickford",1,0.4186335733356909,0.24208812989431436,0.1685993658210813,0.4601040482521057,0.0975609756097561,0.9321261048316956,0.8803960084915161,0.0517300963401794,15,58,11,39,4,2,7,0,0.0,1,2,1,1.0,0,2,0,0.0,2,7,0,0,1,2,0,0,0,2,0,0
BBC,1,2,An incredible noise inside the Olympiastadion as England get the Euro 2024 final under way.,Kick Off,"[0:02] Jordan Pickford under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between England and Spain. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Jordan Pickford under pressure, plays a long ball forward through the air to Bukayo Saka into the left attacking third, but it goes out of play, Bukayo Saka receives under pressure in the left attacking third . From the goal kick, Unai Simón Mendibil under pressure, plays a medium pass along the ground to Robin Aime Robert Le Normand",2,0.408454959961047,0.2512146901717056,0.2528758040231462,0.4329716563224792,0.0677966101694915,0.9321261048316956,0.8123018741607666,0.1198242306709289,15,98,11,70,4,2,8,0,0.0,1,2,1,1.0,0,4,0,0.0,2,8,0,0,1,2,0,0,0,4,0,0
BBC,1,3,An incredible noise inside the Olympiastadion as England get the Euro 2024 final under way.,Kick Off,"[0:58] Daniel Carvajal Ramos under pressure, carries the ball is dispossessed by Jude Bellingham! . Jude Bellingham in the duel under pressure, carries the ball under pressure, plays a short pass along the ground to Phil Foden",5,0.1384790643348468,0.16352494449008473,0.1975978409993767,0.2572627067565918,0.0357142857142857,0.9321261048316956,-0.0045324712991714,0.936658576130867,15,37,11,26,1,2,3,0,0.0,1,0,0,0.0,0,1,0,0.0,2,3,0,0,1,0,0,0,0,1,0,0
BBC,1,4,An incredible noise inside the Olympiastadion as England get the Euro 2024 final under way.,Kick Off,"[0:35] Robin Aime Robert Le Normand under pressure, carries the ball From the goal kick, Robin Aime Robert Le Normand under pressure, plays a medium pass forward along the ground to Daniel Carvajal Ramos, Daniel Carvajal Ramos under pressure, carries the ball - BUT LOSES IT! . Jude Bellingham closes down Daniel Carvajal Ramos . From the goal kick, Daniel Carvajal Ramos under MASSIVE pressure, plays a medium pass forward along the ground to Daniel Olmo Carvajal",3,0.1084839562968999,0.13755228508135878,0.1556659440119759,0.2292131334543228,0.0277777777777777,0.9321261048316956,-0.046594925224781,0.9787210300564766,15,77,11,57,1,2,5,0,0.0,1,0,0,0.0,0,3,0,0.0,2,5,0,0,1,0,0,0,0,6,0,3
BBC,1,5,An incredible noise inside the Olympiastadion as England get the Euro 2024 final under way.,Kick Off,"[0:40] Daniel Olmo Carvajal struggles to control under pressure, From the goal kick, Álvaro Borja Morata Martín under pressure, plays a short pass along the ground to Lamine Yamal Nasraoui Ebana, but the pass doesn't find its target . Crucial block by Marc Guehi! . Daniel Carvajal Ramos under pressure, plays a short pass through the air to Daniel Olmo Carvajal, Daniel Olmo Carvajal under pressure, carries the ball",4,0.0803461241267684,0.134734280247498,0.1601632239409721,0.2213123440742492,0.0227272727272727,0.9321261048316956,-0.1506922394037246,1.0828183442354202,15,69,11,52,1,2,6,0,0.0,1,0,0,0.0,0,4,0,0.0,2,6,0,0,1,0,0,0,0,6,0,2
BBC,2,1,"Spain are seeing a lot of the ball in these early exchanges but they're being forced back. A first touch for Luke Shaw, a first tackle which he wins.",General,"[1:38] Luke Shaw under pressure, carries the ball takes on the defender . Daniel Carvajal Ramos in the duel",10,0.4357220574967099,0.3025080353934941,0.1640799018500378,0.6184442043304443,0.125,0.1766125261783599,0.0119766499847173,0.1646358761936426,29,19,16,12,3,1,2,1,1.0,1,0,0,0.0,1,0,0,0.0,1,2,0,0,1,0,0,0,1,0,0,0
BBC,2,2,"Spain are seeing a lot of the ball in these early exchanges but they're being forced back. A first touch for Luke Shaw, a first tackle which he wins.",General,"[1:31] Luke Shaw under pressure, carries the ball under pressure, plays a short pass along the ground to Declan Rice . Daniel Olmo Carvajal closes down Luke Shaw . Declan Rice under pressure, carries the ball under pressure, plays a short pass along the ground to Jude Bellingham",9,0.3906457848153757,0.24448194171683615,0.1025497336893269,0.5371460914611816,0.09375,0.1766125261783599,0.0057498402893543,0.1708626858890056,29,48,16,37,3,1,4,1,1.0,1,0,0,0.0,1,1,0,0.0,1,4,0,0,1,0,0,0,1,2,0,1
BBC,2,3,"Spain are seeing a lot of the ball in these early exchanges but they're being forced back. A first touch for Luke Shaw, a first tackle which he wins.",General,"[1:31] Lamine Yamal Nasraoui Ebana under pressure, carries the ball is dispossessed by Luke Shaw! . Luke Shaw in the duel",8,0.3674582332129075,0.25330796039830233,0.1799689887979802,0.4549548923969269,0.125,0.1766125261783599,-0.1134784221649169,0.290090948343277,29,21,16,14,3,1,2,1,1.0,1,0,0,0.0,1,0,0,0.0,1,2,0,0,1,0,0,0,1,0,0,0
BBC,2,4,"Spain are seeing a lot of the ball in these early exchanges but they're being forced back. A first touch for Luke Shaw, a first tackle which he wins.",General,"[1:39] Daniel Carvajal Ramos surges forward on a BRILLIANT run from the left midfield into the left defensive third under pressure, plays a short pass along the ground to Robin Aime Robert Le Normand, Robin Aime Robert Le Normand under pressure, carries the ball under pressure, plays a short pass along the ground to Daniel Carvajal Ramos, Daniel Carvajal Ramos under pressure, carries the ball - BUT LOSES IT!",11,0.3459421266773286,0.19686898849526277,0.0721888083851108,0.4934181571006775,0.025,0.1766125261783599,0.383450984954834,0.206838458776474,29,69,16,50,1,1,2,0,0.0,1,0,0,0.0,1,1,0,0.0,1,2,0,0,1,0,0,0,1,2,0,1
BBC,2,5,"Spain are seeing a lot of the ball in these early exchanges but they're being forced back. A first touch for Luke Shaw, a first tackle which he wins.",General,"[1:10] Aymeric Laporte under pressure, drives forward with the ball from the central defensive third into the right midfield under pressure, plays a long pass along the ground to Robin Aime Robert Le Normand, Robin Aime Robert Le Normand under pressure, carries the ball from the left defensive third into the left midfield under pressure, plays a medium pass along the ground to Aymeric Laporte, Aymeric Laporte under pressure, drives forward with the ball",7,0.3387940384651121,0.16307365251314596,0.0820773035719963,0.381502628326416,0.0256410256410256,0.1766125261783599,0.0425677224993705,0.1340448036789894,29,74,16,54,1,1,2,0,0.0,1,0,0,0.0,1,1,0,0.0,1,2,0,0,1,0,0,0,1,2,0,1
