match_id,minute,plus_time,minute_display,commentary_text,line_type,event_type,players_mentioned,team_focus,commentary_length
romania_netherlands,0,0,0,"Felix Zwayer will referee today's match.",general,General,Zwayer,Both,43
romania_netherlands,0,0,0,"Netherlands will kick the game off.",general,Kick Off,,Netherlands,35
romania_netherlands,1,0,1,"The referee blows his whistle and we are underway.",key_event,Kick Off,,Both,50
romania_netherlands,1,0,1,"Felix Zwayer blows the whistle, Memphis Depay (Netherlands) is penalised for a foul.",general,General,Depay,Netherlands,90
romania_netherlands,2,0,2,"Razvan Marin (Romania) sends a cross into the box, but the opposition's defence quickly intercepts the ball.",general,General,Marin,Romania,116
romania_netherlands,3,0,3,"Ianis Hagi (Romania) is down injured and the referee stops play so that he can receive medical treatment.",general,General,Hagi,Romania,113
romania_netherlands,5,0,5,"Steven Bergwijn (Netherlands) finds himself beyond the last defender, but the game is stopped by the referee after the linesman signals for offside.",general,Offside,Bergwijn,Netherlands,153
romania_netherlands,6,0,6,"A run and shot from the edge of the box by Xavi Simons (Netherlands) causes Florin Nita little worry as it's towards the middle of the goal. Easy save.",key_event,Save,"Simons, Nita",Netherlands,157
romania_netherlands,6,0,6,"Ianis Hagi (Romania) is moving okay again after that injury scare.",general,General,Hagi,Romania,63
romania_netherlands,8,0,8,"A pass into the penalty area from Ianis Hagi (Romania) is intercepted by the defence.",general,General,Hagi,Romania,88
romania_netherlands,10,0,10,"Dennis Man (Romania) swings in a cross, but the ball is cleared to safety by one of the defending players.",general,General,Man,Romania,113
romania_netherlands,11,0,11,"The game is interrupted as Memphis Depay (Netherlands) is flagged offside.",general,Offside,Depay,Netherlands,71
romania_netherlands,14,0,14,"Great solo effort from Dennis Man (Romania)! He beat a couple of players and shot from the edge of the box, but the effort rose just over the bar.",key_event,Shot,Man,Romania,152
romania_netherlands,16,0,16,"Memphis Depay (Netherlands) skips past his man but can't keep the ball in play.",general,General,Depay,Netherlands,77
romania_netherlands,17,0,17,"Denzel Dumfries (Netherlands) tries to send a pass but it's blocked.",general,General,Dumfries,Netherlands,66
romania_netherlands,17,0,17,"Memphis Depay (Netherlands) will deliver the corner kick.",general,Corner,Depay,Netherlands,55
romania_netherlands,17,0,17,"Stefan de Vrij (Netherlands) gets himself onto the end of the corner, but his header is blocked.",key_event,Shot,de Vrij,Netherlands,98
romania_netherlands,18,0,18,"Corner kick. Memphis Depay (Netherlands) is ready to send the ball into the box.",general,Corner,Depay,Netherlands,78
romania_netherlands,19,0,19,"The corner from Memphis Depay (Netherlands) is cleared away by the defence.",general,Corner,Depay,Netherlands,75
romania_netherlands,20,0,20,"Cody Gakpo (Netherlands) finishes his beautiful individual effort with a superb strike from inside the box. Florin Nita is just a bystander as the ball flies into the left side of the goal. The score is 0:1.",key_event,Goal,"Gakpo, Nita",Netherlands,210
