data_source,minute,sequence_rank,real_commentary,real_type,our_sequence_commentary,sequence_id,average_score,average_score_no_sentiment,TF-IDF,Embeddings_BERT,content_overlap_ratio,real_sentiment,our_sentiment,sentiment_diff,real_word_count,our_word_count,real_content_words,our_content_words,matching_content_words,real_unique_players,our_unique_players,matching_players,entity_players_match,real_unique_teams,our_unique_teams,matching_teams,entity_teams_match,real_unique_events,our_unique_events,matching_events,entity_events_match,real_player_mentions,our_player_mentions,real_player_repetitions,our_player_repetitions,real_team_mentions,our_team_mentions,real_team_repetitions,our_team_repetitions,real_event_mentions,our_event_mentions,real_event_repetitions,our_event_repetitions,ner_score
FLASHSCORE,0,1,Michael Oliver will supervise the game today.,General,,-1,0.0,0.0,0.0,0.0,0.0,0.0231309793889522,0.0,0.0231309793889522,7,0,5,0,0,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
FLASHSCORE,0,1,France will kick the game off.,Kick Off,,-1,0.0,0.0,0.0,0.0,0.0,0.0558845251798629,0.0,0.0558845251798629,6,0,4,0,0,0,0,0,0.0,1,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
FLASHSCORE,1,1,The first half of this match is about to start.,Kick Off,"[0:31] Randal Kolo Muani under pressure, carries the ball - BUT LOSES IT! . Nuno Mendes closes down Randal Kolo Muani . 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Portugal. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Randal Kolo Muani under MASSIVE pressure, plays a short pass back along the ground to N'Golo Kanté, N'Golo Kanté under pressure, carries the ball from the left attacking third into the left midfield 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Portugal. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! N'Golo Kanté under pressure, plays a medium pass along the ground to Antoine Griezmann",5,0.3274516404252187,0.2206325203949789,0.2397373667146047,0.402929425239563,0.0192307692307692,0.0536048263311386,0.4056958258152008,0.3520909994840622,10,131,5,94,1,0,7,0,0.0,0,2,0,0.0,0,2,0,0.0,0,7,0,0,0,4,0,2,0,4,0,2,0.5
FLASHSCORE,1,2,The first half of this match is about to start.,Kick Off,"[0:21] William Saliba under pressure, carries the ball - BUT LOSES IT! . Cristiano Ronaldo dos Santos Aveiro closes down William Saliba . 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Portugal. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! William Saliba under MASSIVE pressure, plays a long pass along the ground to Dayotchanculle Upamecano, Dayotchanculle Upamecano under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Portugal. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Dayotchanculle Upamecano under pressure, plays a medium pass forward along the ground to N'Golo Kanté",4,0.2944285925239522,0.2236589913249279,0.2291134870133412,0.4214553236961365,0.0204081632653061,0.0536048263311386,0.5468674302101135,0.4932626038789749,10,122,5,88,1,0,8,0,0.0,0,2,0,0.0,0,2,0,0.0,0,8,0,0,0,4,0,2,0,4,0,2,0.5
FLASHSCORE,1,3,The first half of this match is about to start.,Kick Off,"[0:00] Starting XI . Starting XI . Half Start . Half Start, 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Portugal. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Antoine Griezmann under pressure, plays a short pass back along the ground to Aurélien Djani Tchouaméni",1,0.2833515944199441,0.3249959521315731,0.3302410276711213,0.5636657476425171,0.081081081081081,0.0536048263311386,0.8951863050460815,0.8415814787149429,10,59,5,40,3,0,7,0,0.0,0,2,0,0.0,0,2,0,0.0,0,7,0,0,0,2,0,0,0,2,0,0,0.5
FLASHSCORE,1,4,The first half of this match is about to start.,Kick Off,"[0:57] Vitor Machado Ferreira closes down Antoine Griezmann . 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Portugal. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Antoine Griezmann under MASSIVE pressure, plays a long ball through the air to Jules Koundé into the left attacking third, Jules Koundé under pressure, carries the ball under pressure, plays a long ball forward through the air to Kylian Mbappé Lottin into the central attacking third, but the pass doesn't find its target, Kylian Mbappé Lottin receives under pressure in the central attacking third",8,0.2365643261783061,0.2221666662444985,0.215097198000103,0.4332209825515747,0.0181818181818181,0.0536048263311386,0.7738475203514099,0.7202426940202713,10,104,5,78,1,0,7,0,0.0,0,2,0,0.0,0,2,0,0.0,0,7,0,0,0,2,0,0,0,2,0,0,0.5
FLASHSCORE,1,5,The first half of this match is about to start.,Kick Off,"[0:01] Aurélien Djani Tchouaméni under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Portugal. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Aurélien Djani Tchouaméni under pressure, plays a short pass along the ground to Eduardo Camavinga, Eduardo Camavinga under pressure, carries the ball from the central midfield into the right midfield 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Portugal. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Eduardo Camavinga under pressure, plays a medium pass back along the ground to Dayotchanculle Upamecano, Dayotchanculle Upamecano under pressure, carries the ball from the central defensive third into the central midfield",2,0.2243524120377433,0.2354667138559197,0.2491935917711071,0.4359299540519714,0.0212765957446808,0.0536048263311386,0.8625953197479248,0.8089904934167862,10,132,5,96,1,0,6,0,0.0,0,2,0,0.0,0,2,0,0.0,0,6,0,0,0,4,0,2,0,4,0,2,0.5
FLASHSCORE,1,6,The first half of this match is about to start.,Kick Off,"[0:42] Theo Bernard François Hernández under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Portugal. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Theo Bernard François Hernández under pressure, plays a dangerous medium pass back along the ground to Kylian Mbappé Lottin into the DANGER ZONE, Kylian Mbappé Lottin receives under pressure in the right attacking third under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Portugal. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Kylian Mbappé Lottin under pressure, plays a dangerous short pass along the ground to Eduardo Camavinga into the DANGER ZONE",6,0.2224894280480412,0.2309766018055633,0.2397041022006236,0.4336178600788116,0.0196078431372549,0.0536048263311386,0.8565769195556641,0.8029720932245255,10,131,5,98,1,0,6,0,0.0,0,2,0,0.0,0,2,0,0.0,0,6,0,0,0,4,0,2,0,4,0,2,0.5
FLASHSCORE,1,7,The first half of this match is about to start.,Kick Off,"[0:50] 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Portugal. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Eduardo Camavinga under pressure, plays a short pass along the ground to Theo Bernard François Hernández, Theo Bernard François Hernández receives under pressure in the right attacking third under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Portugal. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Theo Bernard François Hernández under pressure, plays a dangerous short pass along the ground to Kylian Mbappé Lottin into the DANGER ZONE, Kylian Mbappé Lottin receives under pressure in the right attacking third",7,0.2102749748410859,0.2387744374913743,0.2312234506576388,0.464691698551178,0.0204081632653061,0.0536048263311386,0.928828239440918,0.8752234131097794,10,129,5,96,1,0,6,0,0.0,0,2,0,0.0,0,2,0,0.0,0,6,0,0,0,4,0,2,0,4,0,2,0.5
FLASHSCORE,1,8,The first half of this match is about to start.,Kick Off,"[0:08] N'Golo Kanté under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Portugal. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! N'Golo Kanté under pressure, plays a medium pass back along the ground to William Saliba, William Saliba under pressure, carries the ball 🏆 THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between France and Portugal. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! William Saliba under pressure, plays a short pass along the ground to Aurélien Djani Tchouaméni, Aurélien Djani Tchouaméni under pressure, carries the ball from the right defensive third into the right midfield - BUT LOSES IT!",3,0.2084717449198837,0.234817807429456,0.2418781331251845,0.4412986934185028,0.0212765957446808,0.0536048263311386,0.924171268939972,0.8705664426088333,10,128,5,92,1,0,6,0,0.0,0,2,0,0.0,0,2,0,0.0,0,6,0,0,0,4,0,2,0,4,0,2,0.5
